Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of 1 No Type-V Quarter for Executive Engineer Tanda at Nagrota Bagwan in Distt Kangra Himachal Pradesh. (SH- Construction of 1 No Type-V Quarter including water supply sanitary installation etc),Construction of 1 No Type-V Quarter for Executive Engineer Tanda at Nagrota Bagwan in Distt Kangra Himachal Pradesh. (SH- Construction of 1 No Type-V Quarter including water supply sanitary installation etc),Please refer Tender documents. ,NA ,"34,06,851",Civil Works - Buildings,NA ,Tender,120.0,365.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,01-Oct-2020 05:00 PM,16-Oct-2020 11:30 AM,01-Oct-2020 05:00 PM,15-Oct-2020 05:00 PM,NA ,NA ,01-Oct-2020 05:00 PM,15-Oct-2020 05:00 PM,22-Oct-2020 03:00 PM,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,1.0,DD - Demand Draft,"1,500",Executive Engineer HP PWD Tanda,Kangra,No,PWD,PWD Civil Work-7264-94- Tanda,2020_PWD_41204_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"59,000",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,AOC,PWD,2020_PWD_41204_1,PWD Civil Work-7264-94- Tanda,Construction of 1 No Type-V Quarter for Executive Engineer Tanda at Nagrota Bagwan in Distt Kangra Himachal Pradesh. (SH- Construction of 1 No Type-V Quarter including water supply sanitary installation etc),Dr Suresh Kumar walia,Internal,Er Surinder AE Ajit Kumar Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,20-Oct-2020 03:00 PM,22-Oct-2020 03:00 PM,techsummary_60808.pdf (846.30 KB),Dr Suresh Kumar Walia,Internal,Er Surinder AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,17-Mar-2021 03:30 PM,finsummary_60808.pdf (193.31 KB),17-Mar-2021,"INR 3,772,354",365.0,Suresh Kumar Walia,17-Mar-2021 03:31 PM,Award.pdf (430.00 KB),Award,1.0,182680.0,ASHISH KUMAR GOVT CONTRACTOR,15-Oct-2020 04:30 PM,Rejected-Technical,Not Fulfill criteria,20-Oct-2020 03:02 PM,Technical,Sum,Suresh Kumar Walia,20-Oct-2020 02:58 PM,technical_60808.pdf,Finance,Sum,Suresh Kumar Walia,24-Oct-2020 12:31 PM,finance_60808.pdf,BOQ Comparative Chart,1.0,182650.0,Shubham Kashyap,INR,"3,772,354",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,182684.0,Harbhajan singh,15-Oct-2020 04:30 PM,Rejected-Finance,Lowest 3,17-Mar-2021 03:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,182526.0,Saravjeet,14-Oct-2020 03:34 PM,Rejected-Finance,Lowest 2,17-Mar-2021 03:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,182650.0,Shubham Kashyap,15-Oct-2020 01:58 PM,Accepted-AOC,L1,17-Mar-2021 03:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that contractor has not more than 2 work in hand in this Division,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
