S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",22-Dec-2017 02:45 PM,30-Jan-2018 11:30 AM,22-Dec-2017 02:45 PM,25-Jan-2018 05:00 PM,NA ,NA ,22-Dec-2017 02:45 PM,25-Jan-2018 05:00 PM,15-Feb-2019 04:25 PM,Assam Police,S/III-301/UNI/KITBAG/17-18/3,2017_AP_4599_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,100.0,"Inspector General of Police (Admin), Assam",Guwahati,No,Supply of Kit Bag,Supply of Kit Bag (Khaki/Black) to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,"30,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,1.0,Extension,Date,,AOC,Finance,Admitted for further evaluation.,Pabitra Kumar Gogoi,15-Feb-2019 04:29 PM,,BOQ Comparative Chart,"Dr. Y K Gautam, IPS",Internal,,Samiron Deka,04-Oct-2019 01:16 PM,finsummary_7343.pdf (802.98 KB),Technical,As per Technical Committee report.,Samiron Deka,15-Feb-2019 04:14 PM,,1.0,26094.0,Hrishita Private Limited,INR,3620877.0,Assam Police,2017_AP_4599_1,S/III-301/UNI/KITBAG/17-18/3,Supply of Kit Bag,06-Feb-2021,INR 3620877.0,60.0,Samiron Deka,06-Feb-2021 01:12 PM,SupplyOrder-KitBag.pdf (1598.00 KB),1,26242,ANKAY SUPPLY CENTRE,25-Jan-2018 12:51 AM,Rejected-Finance,Due to L5,04-Oct-2019 01:16 PM,"Dr. Y. K. Gautam, IPS",Internal,,Samiron Deka,15-Feb-2019 04:20 PM,15-Feb-2019 04:25 PM,techsummary_7343.pdf (446.41 KB),AOC
2.0,BC - Bankers Cheque,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25944,Chandra Hosiery Works,17-Jan-2018 08:56 PM,Rejected-Technical,Not qualified,15-Feb-2019 04:20 PM,,,,,,,,AOC
3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26094,Hrishita Private Limited,18-Jan-2018 02:15 PM,Accepted-AOC,Approved by the Purchase Committee,06-Feb-2021 01:12 PM,,,,,,,,AOC
4.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26279,M/s INTERLINK,18-Jan-2018 01:21 PM,Rejected-Finance,Due to L2,04-Oct-2019 01:16 PM,,,,,,,,AOC
5.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26835,M/S Parbati Enterprise,24-Jan-2018 03:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 04:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26294,M/s PUBERUN,18-Jan-2018 01:44 PM,Rejected-Finance,Due to L3,04-Oct-2019 01:16 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,26899,M/S SATI DRUGS and SURGICALS,25-Jan-2018 01:20 PM,Rejected-Technical,Not qualified,15-Feb-2019 04:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,26537,MS Shati Construction n Supply Co,21-Jan-2018 07:43 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 04:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,26467,M/S T. R. ENTERPRISE,20-Jan-2018 04:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 04:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,26896,P and P CLIMB INDUSTRIES,25-Jan-2018 12:16 AM,Rejected-Technical,Not qualified,15-Feb-2019 04:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,26263,PURBANCHAL LEATHER INDUSTRIES,24-Jan-2018 11:39 PM,Rejected-Technical,Not qualified,15-Feb-2019 04:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25770,RAVIS,17-Jan-2018 08:47 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 04:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,26132,SSK INDUSTRIES,18-Jan-2018 02:10 AM,Rejected-Finance,Due to L4,04-Oct-2019 01:16 PM,,,,,,,,AOC
