Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
06-Feb-2021,INR 3014845.0,60.0,Samiron Deka,06-Feb-2021 01:01 PM,SupplyOrder-GroundSheet.pdf (1678.00 KB),"Dr. Y. K. Gautam, IPS",Internal,,Samiron Deka,15-Feb-2019 11:13 AM,15-Feb-2019 11:15 AM,techsummary_7390.pdf (438.50 KB),Technical,As per Technical Committee report.,Samiron Deka,15-Feb-2019 11:09 AM,,Assam Police,2017_AP_4647_1,S/III-301/UNI/GSHEET/17-18/3,Supply of Ground Sheet,1.0,26219.0,SSK INDUSTRIES,INR,3014845.0,"Dr. Y K Gautam, IPS",Internal,,Samiron Deka,04-Oct-2019 12:56 PM,finsummary_7390.pdf (731.27 KB),1,26123,Hrishita Private Limited,18-Jan-2018 01:47 PM,Rejected-Technical,Not qualified.,15-Feb-2019 11:13 AM,Finance,Admitted for further evaluation.,Pabitra Kumar Gogoi,15-Feb-2019 11:20 AM,,BOQ Comparative Chart,AOC,200.0,"Inspector General of Police (Admin), Assam",Guwahati,No,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,Supply of Ground Sheet,Supply of Ground Sheet to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,26-Dec-2017 01:35 PM,30-Jan-2018 11:30 AM,26-Dec-2017 01:35 PM,25-Jan-2018 05:00 PM,NA ,NA ,26-Dec-2017 01:35 PM,25-Jan-2018 05:00 PM,15-Feb-2019 11:15 AM,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",1.0,Extension,Date,,"2,00,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,1.0,DD - Demand Draft,Assam Police,S/III-301/UNI/GSHEET/17-18/3,2017_AP_4647_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26284,M/s INTERLINK,18-Jan-2018 01:23 PM,Rejected-Finance,Due to L4,04-Oct-2019 12:56 PM,,,,,,,AOC,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26311,M/s PUBERUN,18-Jan-2018 01:42 PM,Rejected-Finance,Due to L5,04-Oct-2019 12:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26898,M/S SATI DRUGS and SURGICALS,25-Jan-2018 04:55 AM,Rejected-Finance,Due to L3,04-Oct-2019 12:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26535,MS Shati Construction n Supply Co,21-Jan-2018 07:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 11:09 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26082,Nimco Traders,17-Jan-2018 09:29 PM,Rejected-Technical,Not qualified.,15-Feb-2019 11:13 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,26252,P and P CLIMB INDUSTRIES,25-Jan-2018 12:20 AM,Rejected-Finance,Due to L2,04-Oct-2019 12:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,26079,Poddar Sales Pvt. Ltd.,17-Jan-2018 04:35 PM,Rejected-Technical,Not qualified.,15-Feb-2019 11:13 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,25815,RAJKUMAR DYEING PRINTING WORKS PVT LTD,15-Jan-2018 03:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 11:09 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25767,RAVIS,17-Jan-2018 05:25 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 11:09 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
