Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Admitted for further evaluation.,Samiron Deka,16-Feb-2019 11:24 AM,,BOQ Comparative Chart,11-Feb-2021,INR 19631021,60.0,Samiron Deka,11-Feb-2021 12:33 PM,SupplyOrder-KhakiWoolenSergeCloth.pdf (1569.00 KB),"Dr. Y K Gautam, IPS",Internal,,Samiron Deka,04-Oct-2019 12:25 PM,finsummary_7223.pdf (756.50 KB),Assam Police,2017_AP_4519_1,S/III-301/UNIFORM /WOOLEN SERGE CLOTH /2017-18/3,Supply of Woolen Serge Cloth,1,25209,Chandra Hosiery Works,08-Jan-2018 05:18 PM,Rejected-Finance,Due to L2,04-Oct-2019 12:25 PM,"Dr. Y. K. Gautam, IPS",Internal,,Pabitra Kumar Gogoi,16-Feb-2019 11:17 AM,16-Feb-2019 11:20 AM,techsummary_7223.pdf (413.58 KB),1.0,25430.0,DLIGHTS,INR,19631021.0,Technical,As per Technical Committee report.,Pabitra Kumar Gogoi,16-Feb-2019 11:13 AM,,AOC,500.0,"Inspector General of Police (Admin), Assam",Guwahati,No,20-Dec-2017 09:00 AM,11-Jan-2018 03:30 PM,20-Dec-2017 09:00 AM,09-Jan-2018 05:00 PM,NA ,NA ,20-Dec-2017 09:00 AM,09-Jan-2018 05:00 PM,16-Feb-2019 11:20 AM,1.0,DD - Demand Draft,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",Supply of Woolen Serge Cloth,Supply of Woolen Serge Cloth to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,"5,00,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,Assam Police,S/III-301/UNIFORM /WOOLEN SERGE CLOTH /2017-18/3,2017_AP_4519_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,25430,DLIGHTS,08-Jan-2018 08:57 PM,Accepted-AOC,Approved by the Purchase Committee,11-Feb-2021 12:33 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,25499,D. S. International,09-Jan-2018 04:42 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 11:13 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,25482,IMPEX INDIA,09-Jan-2018 01:36 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 11:13 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,25479,M/s INTERLINK,09-Jan-2018 04:24 PM,Rejected-Finance,Due to L4,04-Oct-2019 12:25 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,24993,M/S Narayan Enterprise,08-Jan-2018 06:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 11:13 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,25528,M/s PUBERUN,09-Jan-2018 04:07 PM,Rejected-Finance,Due to L3,04-Oct-2019 12:25 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,25488,NAYAN EMPORIUM,09-Jan-2018 07:56 AM,Rejected-Technical,Not qualified,16-Feb-2019 11:17 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,25107,REID AND TAYLOR INDIA LIMITED,09-Jan-2018 11:46 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 11:13 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,25543,SSS CO-ORDINATION,09-Jan-2018 03:14 PM,Rejected-Technical,Not qualified,16-Feb-2019 11:17 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
