Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Stage
Finance,Proceedingregardingopeningoffinancialbids,Gurcharan Singh Rana,29-Dec-2020 11:41 AM,finance_63901.pdf,BOQ Comparative Chart,1.0,191946.0,shiv kumar kapila,INR,"11,520,668",Technical,TechnicalBidOpeningSummary,Gurcharan Singh Rana,23-Dec-2020 03:29 PM,technical_63901.pdf,1.0,192214.0,kulvinder govt.contractor,18-Dec-2020 11:57 AM,Rejected-AOC,ok,22-Mar-2021 11:25 AM,Er.G.S. Rana E.E.,Internal,". Kuldeep Singh AE to EE Sunil Kumar AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,29-Dec-2020 11:56 AM,finsummary_63901.pdf (463.97 KB),18-Mar-2021,"INR 8,824,409",365.0,Gurcharan Singh Rana,22-Mar-2021 11:25 AM,Awardletter.pdf (1376.00 KB),Awardletter,PWD,2020_PWD_43141_1,Job 1 Construction of Community Centre at Jalgran,"Job 1 Construction of Community Centre at Jalgran Tabba, Tehsil and District Una HP Sub Head C.O Basement Portion Ground Floor with Stairs WS and SI Septic Tank and Soak Pit etc.",Er.G.S. Rana E.E.,Internal,TechnicalBidEvaluationSummary,Gurcharan Singh Rana,23-Dec-2020 03:39 PM,24-Dec-2020 10:00 AM,techsummary_63901.pdf (493.08 KB),AOC,PWD,Job 1 Construction of Community Centre at Jalgran,2020_PWD_43141_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,20,800",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"2,000","Executive Engineer, Una Division, HPPWD, Una",Una,No,11-Dec-2020 10:00 AM,19-Dec-2020 11:00 AM,11-Dec-2020 10:30 AM,19-Dec-2020 09:00 AM,NA ,NA ,11-Dec-2020 10:30 AM,19-Dec-2020 09:00 AM,24-Dec-2020 10:00 AM,"Job 1 Construction of Community Centre at Jalgran Tabba, Tehsil and District Una HP Sub Head C.O Basement Portion Ground Floor with Stairs WS and SI Septic Tank and Soak Pit etc.","Job 1 Construction of Community Centre at Jalgran Tabba, Tehsil and District Una HP Sub Head C.O Basement Portion, Ground Floor with Stairs, WS and SI, Septic Tank and Soak Pit etc.",Please refer to Bidding Documents ,NA ,,Civil Works - Buildings,NA ,Tender,120.0,365.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,2.0,191946.0,shiv kumar kapila,18-Dec-2020 01:52 PM,Accepted-AOC,ok,22-Mar-2021 11:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,192293.0,Sohan Singh Govt. Contractor,18-Dec-2020 05:55 PM,Rejected-Technical,As per technical Evaluation proceeding,23-Dec-2020 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report a/w balance sheet as Per General Rules 28.2a and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit facility of minimum 10Percent of estimated cost from the Scheduled Bank be attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
