Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
Finance,Financial Bid has opened,Nripendra Nath Deka,09-Dec-2020 04:01 PM,,BOQ Comparative Chart,Technical,Minutes,Nripendra Nath Deka,12-Nov-2020 04:02 PM,technical_28654.pdf,1.0,88979.0,SHREE MOYEE CONSTRUCTION,INR,22220750.7,Assam Police Housing Corporation Ltd,2020_APHC_18575_1,APHC/CS/15/2020-21_Changsari,Construction of RCC 4storied PS Building with provision of Reception and Conference Hall with Cyber Room etc. in existing Police Station at Changsari P.S. in Kamrup(R) District under MOITRI Scheme.,1,88977,BASANTA KUMAR KAKATI,22-Sep-2020 12:41 PM,Rejected-Technical,Technically Non Responsive,12-Nov-2020 05:33 PM,1.0,Financial Corrigendum,Financial Corrigendum,21-Oct-2020 05:26 PM,currigendum.pdf ,232.65,Technical Opening,04-Feb-2021,INR 22220750.7,360.0,Nripendra Nath Deka,04-Feb-2021 05:39 PM,Changsari.pdf (800.00 KB),Formal Work Order,"Managing Director, APHC Ltd",Internal,,Nripendra Nath Deka,09-Dec-2020 04:10 PM,finsummary_28654.pdf (2740.76 KB),Chief Engineer,Internal,List Uploaded,Nripendra Nath Deka,12-Nov-2020 05:33 PM,13-Nov-2020 01:00 PM,techsummary_28654.pdf (286.81 KB),AOC,Construction of RCC 4storied PS Building with provision of Reception and Conference Hall with Cyber Room etc. in existing Police Station at Changsari P.S. in Kamrup(R) District under MOITRI Scheme.,Construction of RCC 4storied PS Building with provision of Reception and Conference Hall with Cyber Room etc. in existing Police Station at Changsari P.S. in Kamrup(R) District under MOITRI Scheme.,Please refer Tender documents. ,NA ,"2,46,89,723",Civil Works - Building,NA ,Tender,120.0,360.0,Changsari P.S. in Kamrup(R) District,781101.0,Assam Police Housing Corporation Ltd. ,Assam Police Housing Corporation Ltd Rehabari Guwahati 8 ,10-Sep-2020 02:00 PM ,Assam Police Housing Corporation Ltd.,No ,No,Chief Engineer,Assam Police Housing Corporation Ltd Rehabari Guwahati 8,04-Sep-2020 04:00 PM,23-Sep-2020 11:30 AM,04-Sep-2020 04:00 PM,22-Sep-2020 02:00 PM,NA ,NA ,04-Sep-2020 04:00 PM,22-Sep-2020 02:00 PM,13-Nov-2020 01:00 PM,"4,93,794",Yes,percentage,2.0%,Assam Police Housing Corporation Ltd,Guwahati,Assam Police Housing Corporation Ltd,APHC/CS/15/2020-21_Changsari,2020_APHC_18575_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,DOCUMENT COST,"10,000",Assam Police Housing Corporation Ltd,Guwahati,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,2,88664,Biren Deka,21-Sep-2020 01:01 PM,Rejected-AOC,Not Awarded,04-Feb-2021 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID SECURITY,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,88911,Ganesh Daimary,21-Sep-2020 10:26 PM,Rejected-AOC,Not Awarded,04-Feb-2021 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL DOCUMENT,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,88971,Jagadish Choudhury,22-Sep-2020 11:07 AM,Rejected-AOC,Not Awarded,04-Feb-2021 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID DOCUMENT,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,88557,K K BUILDERS AND ENGINEERS PRIVATE LIMITED,22-Sep-2020 11:00 AM,Rejected-Technical,Technically Non Responsive,12-Nov-2020 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,88836,M/S Choudhury Engineering Works,21-Sep-2020 02:13 AM,Rejected-AOC,Not Awarded,04-Feb-2021 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,88957,MS S B B Associates,22-Sep-2020 09:58 AM,Rejected-AOC,Not Awarded,04-Feb-2021 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,88787,M/S S.I. Engineering Construction,20-Sep-2020 05:59 PM,Rejected-AOC,Not Awarded,04-Feb-2021 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,88946,M/S SUNRISE ENTERPRISE,22-Sep-2020 12:46 PM,Rejected-Technical,Technically Non Responsive,12-Nov-2020 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,88979,SHREE MOYEE CONSTRUCTION,22-Sep-2020 01:11 PM,Accepted-AOC,Awarded,04-Feb-2021 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,11,88687,Sri Gautam Medhi,20-Sep-2020 11:42 AM,Rejected-AOC,Not Awarded,04-Feb-2021 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,12,88723,TAPAN DEKA,21-Sep-2020 04:32 PM,Rejected-AOC,Not Awarded,04-Feb-2021 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
