EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,10,000",No,fixed,,EE JAWALI,JAWALI,14-Dec-2020 04:00 PM,07-Jan-2021 11:30 AM,14-Dec-2020 04:00 PM,06-Jan-2021 04:00 PM,NA ,NA ,14-Dec-2020 04:00 PM,06-Jan-2021 04:00 PM,29-Jan-2021 11:00 AM,EXECUTIVE ENGINEER,EXECUTIVE ENGINEER HPPWD DIVISION JAWALI,PWD,PWJ/CB/TENDER/20-13857-887 Dt 06-11-2020,2020_PWD_43127_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Construction of link road from Bhanaie to Maira Via Kut and Bhol road km. 0/0 to 1/800 including bridge over Buhal khad under SCSP,Construction of 53.41 Metre span (5x10.37 Metres) bridge over Buhal (Nad khad) at RD. 0/257,Please refer Tender documents. ,NA ,"76,61,786",Civil Works,NA ,Tender,90.0,365.0,JAWALI,176023.0,NA ,NA ,NA ,HPPWD DIVISION JAWALI,No ,No,"2,000",EE JAWALI,JAWALI,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender online or offline (indicated in Schedule F),AOC,1.0,195042.0,manish dhadwal,06-Jan-2021 03:26 PM,Rejected-AOC,Rejected,04-Mar-2021 03:26 PM,Technical,Proceeding,Jagtar Singh Thakur,27-Jan-2021 04:12 PM,technical_63886.pdf,1.0,194618.0,Purshotam Singh,INR,"9,054,593",Finance,Proceeding,Jagtar Singh Thakur,04-Mar-2021 03:18 PM,finance_63886.pdf,BOQ Comparative Chart,Er.J.S.Thakur EE,Internal,"AE Jawali,DAO,Supdt-Gr-II,HDM",Jagtar Singh Thakur,27-Jan-2021 04:27 PM,29-Jan-2021 11:00 AM,techsummary_63886.pdf (694.87 KB),PWD,2020_PWD_43127_1,PWJ/CB/TENDER/20-13857-887 Dt 06-11-2020,Construction of link road from Bhanaie to Maira Via Kut and Bhol road km. 0/0 to 1/800 including bridge over Buhal khad under SCSP,04-Mar-2021,"INR 9,054,593",365.0,Jagtar Singh Thakur,04-Mar-2021 03:26 PM,Award.pdf (1298.00 KB),Award,Er. J.S Thakur EE,Internal,"AE Jawali,DAO,Supdt-Gr-II,HDM",Jagtar Singh Thakur,04-Mar-2021 03:23 PM,finsummary_63886.pdf (694.87 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest of Money online or offline (indicated in Schedule F),AOC,2.0,194618.0,Purshotam Singh,06-Jan-2021 12:33 PM,Accepted-AOC,Accepted,04-Mar-2021 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rules No.23),AOC,3.0,195012.0,raman kant sharma,06-Jan-2021 12:18 PM,Rejected-AOC,Rejected,04-Mar-2021 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No, PAN No, EPF (Refer General Rules No.21)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, one similar nature work not less than forty percent amount put to tender last five years",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery and equipment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail regarding arbitration litigation cases for the last five years,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the information furnished with BID documents are true and correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit not more than two works in hand,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in Hand,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
