Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
"Dr. Y K Gautam, IPS",Internal,,Samiron Deka,04-Oct-2019 01:25 PM,finsummary_7346.pdf (745.96 KB),1.0,25949.0,Chandra Hosiery Works,INR,7723652.0,Assam Police,2017_AP_4602_1,S/III-301/UNI/KHJERSEY/17-18/3,Supply of Khaki Woolen Jersy,1,26241,ANKAY SUPPLY CENTRE,25-Jan-2018 12:49 AM,Rejected-Technical,Not qualified,15-Feb-2019 04:59 PM,Technical,As per Technical Committee report.,Samiron Deka,15-Feb-2019 04:54 PM,,Finance,Admitted for further evaluation.,Pabitra Kumar Gogoi,15-Feb-2019 05:04 PM,,BOQ Comparative Chart,11-Feb-2021,INR 7723652.0,60.0,Samiron Deka,11-Feb-2021 12:58 PM,SupplyOrder-WoolenJersy.pdf (1714.00 KB),"Dr. Y. K. Gautam, IPS",Internal,,Samiron Deka,15-Feb-2019 04:59 PM,15-Feb-2019 05:00 PM,techsummary_7346.pdf (420.51 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,200.0,"Inspector General of Police (Admin), Assam",Guwahati,No,"1,50,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,22-Dec-2017 03:00 PM,30-Jan-2018 11:30 AM,22-Dec-2017 03:00 PM,25-Jan-2018 05:00 PM,NA ,NA ,22-Dec-2017 03:00 PM,25-Jan-2018 05:00 PM,15-Feb-2019 05:00 PM,1.0,DD - Demand Draft,Assam Police,S/III-301/UNI/KHJERSEY/17-18/3,2017_AP_4602_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",Supply of Khaki Woolen Jersy,Supply of Khaki Woolen Jersey to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,1.0,Extension,Date,,AOC
,,,,,,,,,,,,,,,2,25949,Chandra Hosiery Works,17-Jan-2018 08:58 PM,Accepted-AOC,Approved by the Purchase Committee,11-Feb-2021 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,26112,Hrishita Private Limited,18-Jan-2018 12:24 PM,Rejected-Technical,Not qualified,15-Feb-2019 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,26115,M/S Narayan Enterprise,17-Jan-2018 07:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,26300,M/s PUBERUN,18-Jan-2018 01:38 PM,Rejected-Finance,Due to L3,04-Oct-2019 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,26372,M/S Sai Industries,18-Jan-2018 07:33 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,26362,MS Shati Construction n Supply Co,21-Jan-2018 07:30 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,26347,MS. SHREE SHYAM TRADERS,18-Jan-2018 03:51 PM,Rejected-Finance,Due to L4,04-Oct-2019 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,26456,M/S T. R. ENTERPRISE,20-Jan-2018 04:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2019 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,25960,NAVARANGA ENTERPRSIE,17-Jan-2018 09:06 PM,Rejected-Technical,Not qualified,15-Feb-2019 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
