S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Tender Stage
1.0,26321.0,Hrishita Private Limited,INR,1577390.0,"Dr. Y. K. Gautam, IPS",Internal,,Pabitra Kumar Gogoi,14-Feb-2019 05:40 PM,14-Feb-2019 05:45 PM,techsummary_7363.pdf (692.22 KB),Technical,As per Technical Committee Report.,Pabitra Kumar Gogoi,14-Feb-2019 05:33 PM,,"Dr. Y K Gautam, IPS",Internal,,Samiron Deka,18-Feb-2021 12:53 PM,finsummary_7363.pdf (1341.92 KB),18-Feb-2021,INR 3636796.0,60.0,Samiron Deka,18-Feb-2021 12:58 PM,SupplyOrder-TerryCottonCloth.pdf (3113.00 KB),Assam Police,2017_AP_4617_1,S/III-301/UNIFORM/TC/2017-18/3,Supply of Terry Cotton Cloth,Finance,Admitted for further evaluation.,Samiron Deka,14-Feb-2019 05:49 PM,,BOQ Comparative Chart,1,26321,Hrishita Private Limited,18-Jan-2018 03:01 PM,Accepted-AOC,Approved by the Purchase Committee,18-Feb-2021 12:58 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,Assam Police,S/III-301/UNIFORM/TC/2017-18/3,2017_AP_4617_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,"2,00,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,Supply of Terry Cotton Cloth,Supply of Terry Cotton Cloth (Grey and White) to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,1.0,Extension,Date,,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",23-Dec-2017 09:00 AM,30-Jan-2018 11:30 AM,23-Dec-2017 09:00 AM,25-Jan-2018 05:00 PM,NA ,NA ,23-Dec-2017 09:00 AM,25-Jan-2018 05:00 PM,14-Feb-2019 05:45 PM,100.0,"Inspector General of Police (Admin), Assam",Guwahati,No,1.0,DD - Demand Draft,AOC
2.0,26714.0,SSK INDUSTRIES,INR,2059406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25709,Mafatlal Industries Limited,18-Jan-2018 01:23 PM,Rejected-Finance,Financial Evaluation Report,18-Feb-2021 12:53 PM,AOC,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26346,Matching Corner,18-Jan-2018 04:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2019 05:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26349,M S Blitz Engineering and Fabrication,18-Jan-2018 08:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2019 05:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26142,M/S Parbati Enterprise,20-Jan-2018 06:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2019 05:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26360,MS Shati Construction n Supply Co,21-Jan-2018 07:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2019 05:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,26073,NAVARANGA ENTERPRSIE,17-Jan-2018 09:13 PM,Rejected-Finance,Financial Evaluation Report,18-Feb-2021 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,25699,RAVIS,23-Jan-2018 11:13 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2019 05:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,26714,SSK INDUSTRIES,23-Jan-2018 06:02 PM,Accepted-AOC,Approved by the Purchase Committee,18-Feb-2021 12:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,26247,SSS CO-ORDINATION,25-Jan-2018 12:42 AM,Rejected-Finance,Financial Evaluation Report,18-Feb-2021 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
