Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Renovation of existing RCC 2storied PS Building with provision of Reception and Conference Hall with Cyber Room etc. in existing PS at Howly P.S. in Barpeta District under MOITRI Scheme.,Renovation of existing RCC 2storied PS Building with provision of Reception and Conference Hall with Cyber Room etc. in existing PS at Howly P.S. in Barpeta District under MOITRI Scheme.,Please refer Tender documents. ,NA ,"1,54,01,711",Civil Works - Building,NA ,Tender,120.0,360.0,Howly P.S. in Barpeta District,781316.0,Assam Police Housing Corporation Ltd. ,Assam Police Housing Corporation Ltd Rehabari Guwahati 8 ,10-Sep-2020 02:00 PM ,Assam Police Housing Corporation Ltd.,No ,No,Assam Police Housing Corporation Ltd,APHC/CS/27/2020-21_Howly,2020_APHC_18587_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,04-Sep-2020 04:00 PM,23-Sep-2020 11:30 AM,04-Sep-2020 04:00 PM,22-Sep-2020 02:00 PM,NA ,NA ,04-Sep-2020 04:00 PM,22-Sep-2020 02:00 PM,13-Nov-2020 01:00 PM,Chief Engineer,Assam Police Housing Corporation Ltd Rehabari Guwahati 8,"10,000",Assam Police Housing Corporation Ltd.,Guwahati,No,1.0,Fee/PreQual/Technical,.pdf,DOCUMENT COST,"3,08,034",Yes,percentage,2.0%,Assam Police Housing Corporation Ltd.,Guwahati,1.0,DD - Demand Draft,AOC,1.0,88834.0,M/S Choudhury Engineering Works,INR,13861539.9,1,88282,ARUP BHUYAN,18-Sep-2020 12:17 PM,Rejected-AOC,Not Awarded,04-Feb-2021 06:15 PM,Finance,Financial Bid has opened,Nripendra Nath Deka,09-Dec-2020 04:53 PM,,BOQ Comparative Chart,Assam Police Housing Corporation Ltd,2020_APHC_18587_1,APHC/CS/27/2020-21_Howly,Renovation of existing RCC 2storied PS Building with provision of Reception and Conference Hall with Cyber Room etc. in existing PS at Howly P.S. in Barpeta District under MOITRI Scheme.,Chief Engineer,Internal,List Uploaded,Nripendra Nath Deka,12-Nov-2020 05:18 PM,13-Nov-2020 01:00 PM,techsummary_28668.pdf (286.81 KB),04-Feb-2021,INR 13861539.9,360.0,Nripendra Nath Deka,04-Feb-2021 06:15 PM,Howly.pdf (768.00 KB),Formal Work Order,1.0,Financial Corrigendum,Financial Corrigendum,21-Oct-2020 05:24 PM,currigendum.pdf ,232.65,Technical Opening,Technical,Minutes,Nripendra Nath Deka,12-Nov-2020 04:08 PM,technical_28668.pdf,"Managing Director, APHC Ltd",Internal,,Nripendra Nath Deka,09-Dec-2020 04:58 PM,finsummary_28668.pdf (2740.76 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID SECURITY,,,,,,,,,AOC,,,,,,2,88662,Biren Deka,21-Sep-2020 01:17 PM,Rejected-AOC,Not Awarded,04-Feb-2021 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL DOCUMENT,,,,,,,,,AOC,,,,,,3,88741,Dharamsing Narzary,19-Sep-2020 09:24 PM,Rejected-AOC,Not Awarded,04-Feb-2021 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID DOCUMENT,,,,,,,,,AOC,,,,,,4,88973,Dharmendra Pathak,22-Sep-2020 11:30 AM,Rejected-Technical,Technically Non Responsive,12-Nov-2020 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,5,88910,Ganesh Daimary,21-Sep-2020 10:34 PM,Rejected-AOC,Not Awarded,04-Feb-2021 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID,,,,,,,,,AOC,,,,,,6,88976,Jagadish Choudhury,22-Sep-2020 11:12 AM,Rejected-AOC,Not Awarded,04-Feb-2021 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,7,88905,Manas Das,21-Sep-2020 04:05 PM,Rejected-Technical,Technically Non Responsive,12-Nov-2020 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,8,88779,MRINAL ADHIKARY,20-Sep-2020 07:54 PM,Rejected-AOC,Not Awarded,04-Feb-2021 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,9,88834,M/S Choudhury Engineering Works,21-Sep-2020 02:10 AM,Accepted-AOC,Awarded,04-Feb-2021 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,10,88794,M/S S.I. Engineering Construction,20-Sep-2020 06:19 PM,Rejected-AOC,Not Awarded,04-Feb-2021 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
