EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"16,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,22-Dec-2017 04:35 PM,30-Jan-2018 11:30 AM,22-Dec-2017 04:35 PM,25-Jan-2018 05:00 PM,NA ,NA ,22-Dec-2017 04:35 PM,25-Jan-2018 05:00 PM,16-Feb-2019 11:05 AM,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,100.0,"Inspector General of Police (Admin), Assam",Guwahati,No,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",1.0,DD - Demand Draft,1.0,Extension,Date,,Assam Police,S/III-301/UNI/CORD/17-18/3,2017_AP_4611_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,Supply of Whistle Cord,Supply of Whistle Cord to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,AOC,06-Feb-2021,INR 125089.0,60.0,Samiron Deka,06-Feb-2021 01:18 PM,SupplyOrder-WhistleCord.pdf (1713.00 KB),1,26245,ANKAY SUPPLY CENTRE,25-Jan-2018 01:05 AM,Accepted-AOC,Approved by the Purchase Committee.,06-Feb-2021 01:18 PM,"Dr. Y. K. Gautam, IPS",Internal,,Samiron Deka,16-Feb-2019 11:04 AM,16-Feb-2019 11:05 AM,techsummary_7355.pdf (429.24 KB),1.0,26245.0,ANKAY SUPPLY CENTRE,INR,125089.0,"Dr. Y K Gautam, IPS",Internal,,Samiron Deka,04-Oct-2019 01:32 PM,finsummary_7355.pdf (754.61 KB),Technical,As per Technical Committee report.,Samiron Deka,16-Feb-2019 10:59 AM,,Assam Police,2017_AP_4611_1,S/III-301/UNI/CORD/17-18/3,Supply of Whistle Cord,Finance,Admitted for further evaluation.,Pabitra Kumar Gogoi,16-Feb-2019 11:08 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,25940,Chandra Hosiery Works,17-Jan-2018 08:48 PM,Rejected-Technical,Not qualified,16-Feb-2019 11:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,25981,kamakhya enterprise,18-Jan-2018 11:37 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,26376,M/S Sai Industries,18-Jan-2018 07:49 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,26106,M/S SATI DRUGS & SURGICALS,18-Jan-2018 02:14 PM,Rejected-Finance,Due to L3,04-Oct-2019 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,26536,MS Shati Construction n Supply Co,21-Jan-2018 07:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,26078,Nimco Traders,17-Jan-2018 09:28 PM,Rejected-Technical,Not qualified,16-Feb-2019 11:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,26897,P and P CLIMB INDUSTRIES,25-Jan-2018 12:11 AM,Rejected-Finance,Due to L2,04-Oct-2019 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,25773,RAVIS,17-Jan-2018 04:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,26185,VINAYAK SUPPLY SYNDICATE,18-Jan-2018 02:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
