Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"1,475",Sr Account officer Banking HPSEBL Shimla,SHIMLA,No,Procurement of Steel Tubular Pole against-T-E - CE (MM)-16/2020,Procurement of Steel Tubular Pole against-T-E - CE (MM)-16/2020,Please refer Tender documents. ,"EMD amount appearing against Item EMD fee details denote minimum EMD as Rs.773000. Bidders shall however, have to deposit prescribed EMD as per detailed NIT. ",,Electrical Work/ Equipment,Procurement of Steel Tubular Pole ,Tender,45.0,30.0,As per Tender Document,171004.0,NA ,NA ,NA ,Chief Engineer MM HPSEBL Shimla,No ,No,1.0,DD - Demand Draft,21-Jan-2021 05:05 PM,30-Jan-2021 11:00 AM,21-Jan-2021 05:05 PM,29-Jan-2021 11:00 AM,NA ,NA ,23-Jan-2021 11:00 AM,29-Jan-2021 11:00 AM,08-Feb-2021 03:30 PM,1.0,Fee,.pdf,"Cost of Tender Document, Earnest Money and Bank Gaurantee",Chief Engineer MM HPSEBL,Chief Engineer MM HPSEBL Shimla,HPSEBL,CE(MM) 16/2020,2021_HPSEB_43706_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Offline,No,No,No,"7,73,000",No,fixed,,Sr Account officer Banking HPSEBL Shimla,SHIMLA,AOC,MD HPSEBL,Internal,Kindly see the attachment,Tarun Raj Shandil,23-Mar-2021 03:12 PM,finsummary_65168.pdf (154.50 KB),1.0,195946.0,KAUSHAL INDUSTRIES,INR,"75,600,000",HPSEBL,2021_HPSEB_43706_1,CE(MM) 16/2020,Procurement of Steel Tubular Pole against-T-E - CE (MM)-16/2020,Technical,Successfully Opened,Tarun Raj Shandil,30-Jan-2021 02:08 PM,technical_65168.pdf,Finance,successfully opened,Tarun Raj Shandil,10-Feb-2021 03:20 PM,finance_65168.pdf,BOQ Comparative Chart,23-Mar-2021,"INR 110,882,000",30.0,Tarun Raj Shandil,23-Mar-2021 03:20 PM,awardsummaryTE162020.pdf (154.00 KB),Item Wise Awarded,1,196071,Ablum Electrical Industries,28-Jan-2021 08:22 PM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Mar-2021 03:12 PM,Chief Engineer,Internal,Kindly see the attachment.,Tarun Raj Shandil,08-Feb-2021 02:24 PM,08-Feb-2021 03:30 PM,techsummary_65168.pdf (1679.32 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,2.0,PreQual/Technical,.pdf,Documents required as per section II of Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,195947.0,Electro Steels India Damtal,INR,"17,288,180",,,,,,,,,,,,,,,,,,,,,,,2,195945,Dadu Pipes Pvt Limited,29-Jan-2021 10:06 AM,Rejected-Finance,Item wise higher Amount Quoted,23-Mar-2021 03:12 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents required as per section I of Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,195983.0,FABRICO INDIA PRIVATE LIMITED,INR,"17,993,820",,,,,,,,,,,,,,,,,,,,,,,3,195947,Electro Steels India Damtal,28-Jan-2021 06:30 PM,Accepted-AOC,Purchase order issued,23-Mar-2021 03:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents required as per Technical Specification of Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,195983,FABRICO INDIA PRIVATE LIMITED,28-Jan-2021 06:49 PM,Accepted-AOC,purchase order issued,23-Mar-2021 03:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,GTP/TechnicalBid162020.xls as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,195946,KAUSHAL INDUSTRIES,27-Jan-2021 05:13 PM,Accepted-AOC,Purchase order issued,23-Mar-2021 03:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents required as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,196012,Ocean Steel Industries,28-Jan-2021 08:40 PM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Mar-2021 03:12 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Steel Pole and Cast Iron Base plates Drawings as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,195970,Rama Steel Tubes Ltd,28-Jan-2021 11:54 PM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Mar-2021 03:12 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,Price Bid (BOQ),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,196117,SWASTIK PIPE LTD,28-Jan-2021 10:54 PM,Not Admitted-Fee,EMD/Instrument is not valid,30-Jan-2021 12:59 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,196106,UTKARSH TUBES & PIPES LIMITED,28-Jan-2021 04:01 PM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Mar-2021 03:12 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,196076,UTTARANCHAL FORGINGS INDUSTRY,29-Jan-2021 10:33 AM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Mar-2021 03:12 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,195981,VISHAL PIPES LIMITED,29-Jan-2021 10:58 AM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Mar-2021 03:12 PM,,,,,,,,AOC
