Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Dr. Mandeep Gupta EE,Internal,TA Supdt HDM DAO EE,Mandeep Gupta,21-Dec-2020 03:44 PM,21-Dec-2020 03:50 PM,techsummary_63475.pdf (178.18 KB),1.0,190910.0,Chaman Lal Contractor,07-Dec-2020 06:29 PM,Rejected-Finance,Rejected,05-Mar-2021 11:08 AM,Finance,Financial Bid Opening Summary,Mandeep Gupta,21-Dec-2020 04:17 PM,finance_63475.pdf,BOQ Comparative Chart,Technical,Technical Bid OPening Summary,Mandeep Gupta,21-Dec-2020 03:16 PM,technical_63475.pdf,05-Mar-2021,"INR 1,111,557",90.0,Mandeep Gupta,05-Mar-2021 11:10 AM,AOC.pdf (642.00 KB),Award to contractor,1.0,190936.0,KESHWA NAND,INR,"678,869","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_42831_3,NHN-SMR00-722- 9878-9950 dt 28/11/2020,"Providing FHTC of GWSS Dandor Nohal in GP Thana Kasoga, Birla in Tehsil Dadahu Distt. Sirmour",Dr. Mandeep Gupta EE,Internal,Dman HDM EE,Mandeep Gupta,05-Mar-2021 11:08 AM,finsummary_63475.pdf (642.10 KB),AOC,1.0,ICICI BANK,"Providing FHTC of GWSS Dandor Nohal in GP Thana Kasoga, Birla in Tehsil Dadahu Distt. Sirmour",C/O 2 Nos. RCC main storage tank 10000 ltrs capacity and 2 Nos. RCC intake chaber and laying and jointing and dismantling of GI pipe in distribution system and FHTC) under JJM,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,"22,250",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,01-Dec-2020 09:00 AM,08-Dec-2020 11:30 AM,01-Dec-2020 09:00 AM,08-Dec-2020 11:00 AM,NA ,NA ,01-Dec-2020 09:00 AM,08-Dec-2020 11:00 AM,21-Dec-2020 03:50 PM,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 9878-9950 dt 28/11/2020,2020_HPIPH_42831_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,2.0,190852.0,Dalip Singh,07-Dec-2020 03:28 PM,Rejected-Finance,Rejected,05-Mar-2021 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEder Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,190920.0,Deepak Kumar Contractor,07-Dec-2020 06:49 PM,Rejected-Finance,Rejected,05-Mar-2021 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4.0,190936.0,KESHWA NAND,07-Dec-2020 08:14 PM,Accepted-AOC,AOC,05-Mar-2021 11:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5.0,190952.0,Kirpal Singh,07-Dec-2020 11:25 PM,Rejected-Finance,Rejected,05-Mar-2021 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
