Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
12-Mar-2021,"INR 1,820,390",60.0,Chaman Singh,12-Mar-2021 11:53 AM,AOCJachhPressiWearing.pdf (332.00 KB),AOC issued,Er. D.R. Chauhan Executive Engineer,Internal,Assistant Engineer Nihri Sushil Kumar DAO Gr-I Supdt (Accounts) HDM,Chaman Singh,12-Mar-2021 11:37 AM,finsummary_66347.pdf (332.06 KB),Er. D.R. Chauhan Executive Engineer,Internal,"Er. Chaman Singh, AE Nihri Sh. Sushil Kumar DAO Gr-I Sh. Rattan Lal Supdt. (Accounts) Sh. Amar Singh HDM",Chaman Singh,18-Feb-2021 05:20 PM,22-Feb-2021 03:00 PM,techsummary_66347.pdf (1293.05 KB),PWD,2021_PWD_44277_1,PW-SNR-CB-E-Tender/20- 17741-45 dt. 23.01.2021,Construction of Jachh Pressi Pangna road (G.P. Pressi) KM 16/555 to 20/0 under SCSP,Technical,BOS,Chaman Singh,18-Feb-2021 05:17 PM,technical_66347.pdf,1.0,198862.0,BUDHI SINGH,16-Feb-2021 07:33 PM,Rejected-AOC,Not being lowest,12-Mar-2021 11:53 AM,1.0,198806.0,umesh Kumar,INR,"1,820,390",Finance,FBOS,Chaman Singh,22-Feb-2021 04:31 PM,finance_66347.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,500.0,EE Sundernagar,Sundernagar,Yes,PWD,PW-SNR-CB-E-Tender/20- 17741-45 dt. 23.01.2021,2021_PWD_44277_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"40,100",No,fixed,,EE Sundernagar,Sundernagar,11-Feb-2021 01:00 PM,17-Feb-2021 11:30 AM,11-Feb-2021 01:00 PM,17-Feb-2021 10:30 AM,NA ,NA ,11-Feb-2021 01:00 PM,17-Feb-2021 10:30 AM,22-Feb-2021 03:00 PM,Construction of Jachh Pressi Pangna road (G.P. Pressi) KM 16/555 to 20/0 under SCSP,SH Prov. and laying wearing coat G-II in Km 16/555 to 20/0,AS per bid document ,NA ,"21,72,760",Civil Works,NA ,Tender,120.0,60.0,In Sundernagar Division,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,198880.0,Narender Kumar,16-Feb-2021 09:02 PM,Rejected-AOC,Not being lowest,12-Mar-2021 11:53 AM,,,,,,,,,,,,AOC,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,198867.0,TEK CHAND CONTRACTOR,16-Feb-2021 07:39 PM,Rejected-AOC,Not being lowest,12-Mar-2021 11:53 AM,,,,,,,,,,,,AOC,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,198806.0,umesh Kumar,16-Feb-2021 03:37 PM,Accepted-AOC,Being lowest,12-Mar-2021 11:53 AM,,,,,,,,,,,,AOC,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,198878.0,VIRENDER KUMAR,16-Feb-2021 08:35 PM,Rejected-Technical,Non responsive,18-Feb-2021 05:25 PM,,,,,,,,,,,,AOC,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
