Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
500.0,Secretary Nagar Panchayat Sarkaghat,sarkaghat,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,"7,300",No,fixed,,Secretary Nagar Panchayat Sarkaghat,sarkaghat,1.0,DD - Demand Draft,Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,No.NP-SKT-Tender/20-1240-1245 Dt. 23-07-2020,2020_UDDHP_39843_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Repair of Public toilet near PWD Sub-Division and Toilet near Patwar circle office N.P.Sarkaghat Distt. Mandi (H.P),Repair of Public toilet near PWD Sub-Division and Toilet near Patwar circle office N.P.Sarkaghat Distt. Mandi (H.P),Please refer Tender documents. ,NA ,"3,59,132",Civil Works - Buildings,NA ,Rate Contract,90.0,60.0,kalas,175024.0,NA ,NA ,NA ,sarkaghat,No ,No,Secretary,Secretary Nagar Panchayat Sarkaghat,17-Aug-2020 11:00 AM,24-Aug-2020 11:30 AM,17-Aug-2020 11:00 AM,24-Aug-2020 11:00 AM,17-Aug-2020 11:00 AM ,24-Aug-2020 11:00 AM ,17-Aug-2020 11:00 AM,24-Aug-2020 11:00 AM,04-Sep-2020 11:00 AM,AOC,Om Prakash Executive Officer MC. Sarkaghat,Internal,Rajesh Chaudhary Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,15-Sep-2020 03:18 PM,finsummary_58803.pdf (260.94 KB),Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,2020_UDDHP_39843_1,No.NP-SKT-Tender/20-1240-1245 Dt. 23-07-2020,Repair of Public toilet near PWD Sub-Division and Toilet near Patwar circle office N.P.Sarkaghat Distt. Mandi (H.P),1.0,174649.0,Saroj Bala,INR,"554,984",Finance,Financial bid Summary,Attul Prasher,15-Sep-2020 01:55 PM,finance_58803.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Attul Prasher,02-Sep-2020 12:47 PM,None,27-Oct-2020,"INR 554,984",60.0,Attul Prasher,26-Mar-2021 03:39 PM,j14.pdf (340.00 KB),Repair of Public toilet near PWD Sub-Division and Toilet near Patwar circle office N.P.Sarkaghat Distt. Mandi (H.P),Om Prakash Executive Officer MC. Sarkaghat,Internal,Rajesh Chaudhary Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,02-Sep-2020 01:59 PM,04-Sep-2020 11:00 AM,techsummary_58803.pdf (397.12 KB),1.0,174744.0,AJAY KUMAR,24-Aug-2020 10:23 AM,Rejected-Technical,Non-Responsive due to two pending works,02-Sep-2020 02:00 PM,AOC
,,,,,,.pdf,EMD,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,174690.0,ARUN KUMAR,23-Aug-2020 07:17 PM,Rejected-Finance,3rd lowest bidder,15-Sep-2020 03:19 PM,AOC
,,,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,174649.0,Saroj Bala,23-Aug-2020 04:05 PM,Accepted-AOC,This is lowest bidder,26-Mar-2021 03:39 PM,AOC
,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,174688.0,Vijay Kumar,23-Aug-2020 07:18 PM,Rejected-Finance,2nd lowest bidder,15-Sep-2020 03:19 PM,AOC
,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work in hand (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,EPF registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
