Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
"Dr. Y. K. Gautam, IPS",Internal,,Pabitra Kumar Gogoi,16-Feb-2019 11:52 AM,16-Feb-2019 11:55 AM,techsummary_7226.pdf (439.04 KB),Assam Police,2017_AP_4520_1,S/III-301/UNIFORM/KIT BOX(STEEL TRUNK)/2017-18/3,Supply of Kit Box (Steel Trunk),Technical,As per Technical Committee report.,Pabitra Kumar Gogoi,16-Feb-2019 11:48 AM,,1,25487,BEEKAY INDUSTRIES,09-Jan-2018 07:46 AM,Accepted-AOC,Approved by the Purchase Committee,11-Feb-2021 12:53 PM,AOC,Assam Police,S/III-301/UNIFORM/KIT BOX(STEEL TRUNK)/2017-18/3,2017_AP_4520_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,20-Dec-2017 09:00 AM,11-Jan-2018 03:30 PM,20-Dec-2017 09:00 AM,09-Jan-2018 05:00 PM,NA ,NA ,20-Dec-2017 09:00 AM,09-Jan-2018 05:00 PM,16-Feb-2019 11:55 AM,Supply of Kit Box (Steel Trunk),Supply of Kit Box (Steel Trunk) to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,300.0,"Inspector General of Police (Admin), Assam",Guwahati,No,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati","5,00,000",Yes,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2,25203,Brahmaputra Automobiles Pvt. Ltd,09-Jan-2018 04:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,,,,,3,25493,D. S. International,09-Jan-2018 04:51 PM,Rejected-Finance,Due to L2,04-Oct-2019 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,AOC
,,,,,,,,,,,,,,,,4,25549,Hrishita Private Limited,09-Jan-2018 04:26 PM,Rejected-Technical,Not qualified,16-Feb-2019 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,AOC
,,,,,,,,,,,,,,,,5,25560,M S Laxmi Steel Furniture and Engineering Works,09-Jan-2018 04:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,AOC
,,,,,,,,,,,,,,,,6,25419,M/S Narayan Enterprise,08-Jan-2018 05:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,25005,M/S Parbati Enterprise,08-Jan-2018 07:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,25529,M/s PUBERUN,09-Jan-2018 03:57 PM,Rejected-Technical,Not qualified,16-Feb-2019 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,25097,NAVARANGA ENTERPRSIE,08-Jan-2018 05:36 PM,Rejected-Technical,Not qualified,16-Feb-2019 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,24959,Nimco Traders,08-Jan-2018 04:31 PM,Rejected-Finance,Due to L3,04-Oct-2019 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,25509,Sri Debagram Distributor,09-Jan-2018 12:30 PM,Rejected-Technical,Not qualified,16-Feb-2019 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,25551,The Popular Cycle Mfg. CO. PVT. Ltd,09-Jan-2018 04:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
