Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",2020_HPIPH_40680_1,8519-68,Augmentation of Sewerage Scheme Mandi Town and Providing sewerage facility to adjoining villages of Mandi Town in Distt Mandi HP Sewerage facility to adjoining villages of Mandi Town in Distt Mandi HP,1.0,179356.0,RAJINDER SINGH,INR,"25,524,379",Er NM Saini CEMZ,Internal,Er Sunil KAnotra SED Er Upender Vaidya SE JSSNR Er Hina Sabharwal EED Er Vivek Hazri EE MAndi Er DC Rawat AED Sh Ashwani Sharma FandAS MZ,Vivek Hazri,04-Mar-2021 06:16 PM,finsummary_60020.pdf (1980.94 KB),1.0,179172.0,AZAD BUILDERS,24-Sep-2020 12:14 PM,Rejected-Finance,Other than lowest,04-Mar-2021 06:16 PM,Er. NM Saini CE MZ,Internal,ErSunil Kanotra SED Er Upender Vaidya SE Sundernagar Er Hina Sabharwal EED Er Vivek Hazri EE Mandi Er DC Rawat AED Sh Ashwani Sharma FAS,Vivek Hazri,02-Nov-2020 04:02 PM,02-Nov-2020 04:05 PM,techsummary_60020.pdf (1980.94 KB),04-Mar-2021,"INR 23,770,187",365.0,Vivek Hazri,04-Mar-2021 06:18 PM,AOC.pdf (1010.00 KB),DNIT amount,Technical,2 No bidder participated in the bid successfully,Vivek Hazri,02-Nov-2020 03:57 PM,technical_60020.pdf,Finance,As per the financial opening and comparative statement 2 No bidders participated in the bid successfully,Vivek Hazri,03-Nov-2020 10:42 AM,finance_60020.pdf,BOQ Comparative Chart,AOC,"2,500",EE Mandi,Mandi,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",8519-68,2020_HPIPH_40680_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,70,202",Yes,fixed,,EE Mandi,Mandi,1.0,ICICI BANK,15-Sep-2020 05:00 PM,29-Sep-2020 11:30 AM,15-Sep-2020 05:00 PM,28-Sep-2020 05:00 PM,NA ,NA ,15-Sep-2020 05:00 PM,28-Sep-2020 05:00 PM,02-Nov-2020 04:05 PM,Executive Engineer,Executive Engineer Jal Shakti Division Mandi Tarna Hill,Augmentation of Sewerage Scheme Mandi Town and Providing sewerage facility to adjoining villages of Mandi Town in Distt Mandi HP Sewerage facility to adjoining villages of Mandi Town in Distt Mandi HP,Laying Jointing and Testing of DI Pipe in sewer network construction of RCC man holes flushing tank providing house hold connections Zone C,Please refer Tender documents. ,NA ,"2,37,70,187",Civil Works,NA ,Tender,120.0,120.0,Mandi Town,175001.0,NA ,NA ,NA ,Jal Shakti Division Mandi,No ,No,AOC
,,,,,,,,,,,,,,,2.0,179356.0,RAJINDER SINGH,25-Sep-2020 11:18 AM,Accepted-AOC,Lowest one,04-Mar-2021 06:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Certificate of Registration in appropriate class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,PAN No GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Scanned copy of Undertaking that I have carefully studied all the terms and condition stipulated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Authorization letter regarding digital signature certificate DSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Average annual financial turnover during last three years ending 31 march of the previous financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Experience of having successfully completed or commissioned similar works during last 7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof of registration EPF under Employees Provident and Miscellaneous Provision Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
