Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Dr Basanta Baishya,Internal,,Bhupen Chandra Sarma,01-Dec-2020 01:32 PM,02-Dec-2020 09:00 AM,techsummary_26621.pdf (2496.03 KB),1,85330,Alliance Scientific,24-Jul-2020 12:21 PM,Rejected-Technical,As per Minutes of Tech Committee Meeting,01-Dec-2020 01:32 PM,Technical,Minutes of the Technical Bid opening Committee meeting,Bhupen Chandra Sarma,27-Aug-2020 05:37 PM,technical_26621.pdf,Health and Family Welfare Department||Directorate of Medical Education-HFWD,2020_HFWD_17383_1,DME/NSurgery/90/2020/5198 dt 28/04/2020,Supply Installation of Equipment related to Neurosurgery Department for all Medical College Hospitals and Dental Colleges of Assam,1.0,83206.0,Shree Medical Projects,INR,12293635.0,Prof A K Barman,Internal,Members of the Finance Committee meeting,Bhupen Chandra Sarma,08-Feb-2021 12:15 PM,finsummary_26621.pdf (3139.64 KB),Finance,Minutes of the Finance Committee meeting,Bhupen Chandra Sarma,08-Feb-2021 12:00 PM,finance_26621.pdf,BOQ Comparative Chart,08-Feb-2021,INR 3.0E+7,25.0,Bhupen Chandra Sarma,08-Feb-2021 12:18 PM,AppvNeuroSurgery.pdf (1698.00 KB),AOC,1.0,Corrigendum cum Extension Notice,Date,,30-Apr-2020 03:00 PM,24-Jul-2020 04:05 PM,30-Apr-2020 03:00 PM,24-Jul-2020 02:00 PM,NA ,NA ,22-May-2020 11:00 AM,24-Jul-2020 02:00 PM,02-Dec-2020 09:00 AM,"DME, ASSAM, Sixmile, Khanapara","DME, ASSAM, Sixmile, Khanapara",1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,fees and Prequalification,"5,000",As mentiond in the E-Tender.,As mentiond in the E- Tender.,Yes,Health and Family Welfare Department||Directorate of Medical Education-HFWD,DME/NSurgery/90/2020/5198 dt 28/04/2020,2020_HFWD_17383_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,Supply Installation of Equipment related to Neurosurgery Department for all Medical College Hospitals and Dental Colleges of Assam,Supply Installation of Equipment related to Neurosurgery Department for all Medical College Hospitals and Dental Colleges of Assam,Please refer Tender documents. ,NA ,,Medical Equipments/Waste,NA ,Rate Contract,365.0,25.0,Medical College Hospitals,781022.0,"DME, ASSAM, Sixmile, Khanapara ","DME, ASSAM, Sixmile, Khanapara ",21-May-2020 11:30 AM ,"DME, ASSAM, Sixmile, Khanapara",No ,No,"10,00,000",No,fixed,,As mentiond in the E-Tender.,As mentiond in the E-Tender.,AOC
,,,,,,,2,81011,AVM HEALTHCARE PRODUCTS PVT. LTD.,23-Jul-2020 04:17 PM,Rejected-Technical,As per Minutes of Tech Committee Meeting,01-Dec-2020 01:32 PM,,,,,,,,,,2.0,85314.0,Vikas Medical Devices,INR,270220.0,,,,,,,,,,,,,,,,,,,AOC,2.0,Notice to prospective bidders,Other,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,85326,FAMA MARKETING,24-Jul-2020 01:26 PM,Rejected-Finance,As per Minutes of the Finance Committee meeting,08-Feb-2021 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,Corrigendum - Minutes of the Special Prebid Meeting,Technical Bid,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,85257,ITAS G. PHARMA,24-Jul-2020 11:03 AM,Rejected-Finance,As per Minutes of the Finance Committee meeting,08-Feb-2021 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,.pdf,SBOQ- Details of Finance bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,83214,Medisure Inc,24-Jul-2020 12:01 PM,Rejected-Finance,As per Minutes of the Finance Committee meeting,08-Feb-2021 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,85328,M/s Marak Supply and Agencies,24-Jul-2020 11:50 AM,Rejected-Technical,As per Minutes of Tech Committee Meeting,01-Dec-2020 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7,85305,NJD TRADERS,24-Jul-2020 12:19 PM,Rejected-Finance,As per Minutes of the Finance Committee meeting,08-Feb-2021 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8,81464,SAIMED INNOVATION,18-Jun-2020 03:43 PM,Rejected-Finance,As per Minutes of the Finance Committee meeting,08-Feb-2021 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9,83348,SHIKHA SURGICALS,24-Jul-2020 01:54 PM,Rejected-Finance,As per Minutes of the Finance Committee meeting,08-Feb-2021 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10,83206,Shree Medical Projects,23-Jul-2020 07:40 PM,Accepted-AOC,As per Finance Committee meeting and Approved list,08-Feb-2021 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
