Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Instrument Type,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
200.0,"Inspector General of Police (Admin), Assam",Guwahati,No,Assam Police,S/III-301/UNI/ CP /17-18/3,2017_AP_4609_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,Supply of Khaki Waterproof with Hood,Supply of Khaki Waterproof with Hood to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,1.0,Extension,Date,,22-Dec-2017 04:15 PM,30-Jan-2018 11:30 AM,22-Dec-2017 04:15 PM,25-Jan-2018 05:00 PM,NA ,NA ,22-Dec-2017 04:15 PM,25-Jan-2018 05:00 PM,05-Mar-2019 11:30 AM,"3,00,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",1.0,DD - Demand Draft,AOC,11-Feb-2021,INR 6413148.0,60.0,Samiron Deka,11-Feb-2021 04:32 PM,SupplyOrder-KhakiWaterproof.pdf (1555.00 KB),Assam Police,2017_AP_4609_1,S/III-301/UNI/ CP /17-18/3,Supply of Khaki Waterproof with Hood,1,25913,Automatic Tent Mfg Co,16-Jan-2018 01:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2019 05:26 PM,"Dr. Y K Gautam, IPS",Internal,,Samiron Deka,11-Feb-2021 04:28 PM,finsummary_7352.pdf (1472.92 KB),1.0,26287.0,M/s INTERLINK,INR,6413148.0,"Dr. Y. K. Gautam, IPS",Internal,,Samiron Deka,01-Mar-2019 05:33 PM,05-Mar-2019 11:30 AM,techsummary_7352.pdf (1237.40 KB),Finance,Admitted for further evaluation.,Pabitra Kumar Gogoi,28-Jun-2019 03:50 PM,,BOQ Comparative Chart,Technical,As per Technical Committee report.,Samiron Deka,01-Mar-2019 05:26 PM,,1.0,Corrigendum,Technical Evaluation Corrigendum,01-Mar-2019 05:05 PM,Corrigendum-KhakiWaterproof.pdf ,208.25,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC,,,,,,,,,,,2,26105,Hrishita Private Limited,18-Jan-2018 01:49 PM,Rejected-Finance,Financial Evaluation Report,11-Feb-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,AOC,,,,,,,,,,,3,26287,M/s INTERLINK,18-Jan-2018 01:29 PM,Accepted-AOC,Approved by the Purchase Committee,11-Feb-2021 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,AOC,,,,,,,,,,,4,26303,M/s PUBERUN,18-Jan-2018 01:35 PM,Rejected-Finance,Financial Evaluation Report,11-Feb-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,AOC,,,,,,,,,,,5,26894,M/S SATI DRUGS and SURGICALS,25-Jan-2018 04:52 AM,Rejected-Finance,Financial Evaluation Report,11-Feb-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,6,26538,MS Shati Construction n Supply Co,21-Jan-2018 07:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2019 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,7,26077,Nimco Traders,17-Jan-2018 09:26 PM,Rejected-Finance,Financial Evaluation Report,11-Feb-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,8,26253,P and P CLIMB INDUSTRIES,25-Jan-2018 12:24 AM,Rejected-Finance,Single bid as per Financial Evaluation Report,11-Feb-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,9,26087,Poddar Sales Pvt. Ltd.,17-Jan-2018 05:06 PM,Rejected-Technical,Not qualified.,01-Mar-2019 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,10,25814,RAJKUMAR DYEING PRINTING WORKS PVT LTD,15-Jan-2018 03:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2019 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
