Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Assistant Engineer MC Una,Municipal Council Una Distt Una HP,"9,000",No,fixed,,EO MC Una,Una,"1,000",EO MC Una,Una,No,21-Jan-2021 09:00 AM,04-Feb-2021 01:00 PM,21-Jan-2021 09:00 AM,03-Feb-2021 06:00 PM,NA ,NA ,21-Jan-2021 01:00 PM,03-Feb-2021 06:00 PM,24-Feb-2021 11:00 AM,Shelter for Urban Homeless MC Una SH Construction of common toilet for Rehan Basera,Shelter for Urban Homeless MC Una SH Construction of common toilet for Rehan Basera,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Rate Contract,30.0,60.0,ward no.5 near 84 Porriyan,174303.0,NA ,NA ,NA ,O/o The Assistant Engineer MC Una HP,No ,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Una - UDDHP,MCU/ETENDER/2021-227-232 DATED 20.01.2021,2021_UDDHP_43700_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD IN SHAPE OF FDR,1.0,DD - Demand Draft,AOC,1,196933,"ANIL KUMAR VASHISHT(GOVT, CONTRACTOR)",02-Feb-2021 05:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Feb-2021 04:43 PM,Smt. Pushpa Devi,Internal,EO AE JE,Ashwani Kumar,23-Feb-2021 04:46 PM,24-Feb-2021 11:00 AM,techsummary_65164.pdf (176.38 KB),Technical,Among 10 no. bids 5 no. bids are considered for technical evaluation whereas remaining 5 no. rejected due to non submission /incomplete documents. All the bids are opened in presence of TOC.,Ashwani Kumar,23-Feb-2021 04:43 PM,technical_65164.pdf,Finance,Financial Bid open in the presence of TOC,Ashwani Kumar,24-Feb-2021 11:18 AM,finance_65164.pdf,BOQ Comparative Chart,02-Mar-2021,"INR 414,002",60.0,Ashwani Kumar,03-Mar-2021 11:44 AM,job2.pdf (1519.00 KB),Smt. Pushpa Devi,Internal,EO AE JE,Ashwani Kumar,01-Mar-2021 04:23 PM,finsummary_65164.pdf (176.38 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Una - UDDHP,2021_UDDHP_43700_2,MCU/ETENDER/2021-227-232 DATED 20.01.2021,Shelter for Urban Homeless MC Una SH Construction of common toilet for Rehan Basera,1.0,196780.0,Rajinder Kumar,INR,"429,899",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER COST IN SHAPE OF DD,2.0,FDR - Fixed Deposit,AOC,2,197118,Ashutosh Kalia Contractor,03-Feb-2021 02:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Feb-2021 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRARTION,,,AOC,3,196949,gagan ohri,02-Feb-2021 06:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Feb-2021 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN AND GST,,,AOC,4,197126,MAHESH ANGRA,03-Feb-2021 02:23 PM,Rejected-Finance,Due to higher side rates,01-Mar-2021 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF REGISTRATION COPY,,,AOC,5,196972,MOHIT BEDI,02-Feb-2021 08:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Feb-2021 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,6,196780,Rajinder Kumar,02-Feb-2021 09:22 PM,Accepted-AOC,Being Lower side Rates,03-Mar-2021 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,196079,RAKESH SINGH,02-Feb-2021 06:49 PM,Rejected-Finance,Due to higher side rates,01-Mar-2021 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,197136,sachin ohri govt contractor,03-Feb-2021 04:43 PM,Rejected-Finance,Due to higher side rates,01-Mar-2021 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,196958,Sahil Choudhary,02-Feb-2021 07:12 PM,Rejected-Finance,Due to higher side rates,01-Mar-2021 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,197012,Varun Mehan Govt Contractor,02-Feb-2021 10:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Feb-2021 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
