0,1,2
Assam Daily Flood Report as on 04-06-2023 at 4:00 PM,,
Particulars,Situation as on 04-06-2023 (in last 24 hours),
"Rivers flowing above Danger 
Level (as per CWC bulletin 
issued at 8 AM)","Rivers flowing above danger level 
Nil",
,"Rivers flowing above highest flood level 
Nil",
District Affected,Nil,
No. Of Revenue Circles Affected,Nil,
"Name Of Revenue Circles 
Affected",Nil,
Villages Affected,Nil,
"Population And Crop Area 
Affected",Nil,
Relief Camps / Centres Opened,Nil,
Inmates In Relief Camps,Nil,
Human Lives Lost - Confirmed,Nil,
"Human Lives Lost Confirmed - 
Death Type",Nil,
Human Lives Lost - Missing,Nil,
"Human Lives Lost Missing - 
Type",Nil,
Animals Affected,Nil,
Animals Washed Away,Nil,
Houses Damaged,Nil,
Rescue Operation,Nil,
Relief Distributed,Nil,
Relief Distributed Others,Nil,
"Infrastructure Damaged - 
Embankment Breached",Nil,
"Infrastructure Damaged - 
Embankments Affected",Nil,
Infrastructure Damaged - Road,Nil,
Infrastructure Damaged - Bridge,Nil,
"Infrastructure Damaged - 
Wildlife",Nil,
Infrastructure Damaged - Others,Nil,
Erosion,District,Details
,Dibrugarh,"Dibrugarh East - 1. Downstream of stone spur No V of DTP dyke 2. Bank 
damages at downstream of VI of DTP dyke | 1. severe bank damages is reported 
due to river Brahmaputra at downstream of stone spur No V at around 9.00 pm as 
report recfrom Water resource Department. The depth of erosion observed is to be 
around 20m and is still going on. 3 no of porcupine were launched to divert the 
flow. A minimum of 30m remaining only from the toe of the dyke to the present 
bank line. GPS Co-ordinate are 27°29'17.61""N to 94°54'32.24""E to 27°29'16.45""N/ 
94°54'29.53""E. 2. Active bank damages is seen at Downstream of stone spur No VI 
of DTP dyke . Reached length 20m on 04/06/2023 as received from Water Resource 
Department. GPS Co-ordinate are - 27°29'9.8""N , 94°54'15.0""E to 27°29'9.5""N to 
94°54'14.3""E | 0 | (Long - 27.290000, Lat - 94.540000)"
Landslide,Nil,
Urban Flood,Nil,
