0,1,2,3,4,5,6,7,8,9,10
Assam Daily Flood Report as on 18-06-2023 at 4:00 PM,,,,,,,,,,
Particulars,Situation as on 18-06-2023 (in last 24 hours),,,,,,,,,
"Rivers 
flowing 
above 
Danger 
Level (as 
per CWC 
bulletin 
issued at 8 
AM)",Rivers flowing above danger level,,,"Puthimari (Nh Road Crossing), Kopili (Kampur), Brahmaputra (Neamatighat)",,,,,,
,"Rivers flowing above highest 
flood level",,,Nil,,,,,,
"District/Sub
-division 
Affected","No. of 
Districts/Su
b-divisions* 
Affected","Name of Flood Affected Districts/Sub-
divisions*",,,Name of Urban Flood Districts/Sub-divisions*,,,,,
,14,"Biswanath, Cachar, Darrang, Dhemaji, 
Dibrugarh, Golaghat, Hojai, Lakhimpur, 
Nagaon, Nalbari, Sonitpur, Tinsukia, 
Udalguri",,,"Cachar, Kamrup (M), Nalbari",,,,,
"No. Of 
Revenue 
Circles 
Affected",25,,,,,,,,,
"Name Of 
Revenue 
Circles 
Affected","District/Sub
-division*",Total,Revenue Circle,,,,,,,
,Biswanath,2,"Gohpur, Halem",,,,,,,
,Cachar,1,Silchar,,,,,,,
,Darrang,3,"Dalgaon, Patharighat, Mangaldoi",,,,,,,
,Dhemaji,1,Dhemaji,,,,,,,
,Dibrugarh,2,"Dibrugarh West, Chabua",,,,,,,
,Golaghat,1,Bokakhat,,,,,,,
,Hojai,3,"Doboka, Lanka, Hojai",,,,,,,
,Kamrup (M),1,Dispur,,,,,,,
,Lakhimpur,2,"Nowboicha, Narayanpur",,,,,,,
,Nagaon,1,Raha,,,,,,,
,Nalbari,2,"Tihu, Nalbari",,,,,,,
,Sonitpur,3,"Dhekiajuli, Tezpur, Chariduar",,,,,,,
,Tinsukia,1,Tinsukia,,,,,,,
,Udalguri,2,"Harisinga, Kalaigaon",,,,,,,
,Total,25,,,,,,,,
"Villages 
Affected","District/Sub
-division*",Total,Revenue Circle,,,,,,,
,Biswanath,23,"( Gohpur | 5 ), ( Halem | 18 )",,,,,,,
,Cachar,2,( Silchar | 2 ),,,,,,,
,Darrang,16,"( Dalgaon | 10 ), ( Patharighat | 1 ), ( Mangaldoi | 5 )",,,,,,,
,Dhemaji,3,( Dhemaji | 3 ),,,,,,,
,Dibrugarh,7,"( Dibrugarh West | 6 ), ( Chabua | 1 )",,,,,,,
,Golaghat,4,( Bokakhat | 4 ),,,,,,,
,Hojai,20,"( Doboka | 3 ), ( Lanka | 4 ), ( Hojai | 13 )",,,,,,,
,Lakhimpur,21,"( Nowboicha | 13 ), ( Narayanpur | 8 )",,,,,,,
,Nagaon,11,( Raha | 11 ),,,,,,,
,Nalbari,1,( Tihu | 1 ),,,,,,,
,Sonitpur,28,"( Dhekiajuli | 1 ), ( Tezpur | 19 ), ( Chariduar | 8 )",,,,,,,
,Tinsukia,3,( Tinsukia | 3 ),,,,,,,
,Udalguri,3,"( Harisinga | 2 ), ( Kalaigaon | 1 )",,,,,,,
,Total,142,,,,,,,,
"Population 
And Crop 
Area 
Affected","District/Sub
-division*",Male,"Total 
Crop 
Femal
Childre
Populatio
Population Details 
Area ( in 
Crop Area Details 
e 
n 
n 
Hect. )",,,,,,,
,Biswanath,0,"0 
0 
0 
( Gohpur | 0 ), ( Halem 
26.30 
( Gohpur | 16.30 ), (",,,,,,,
,,,,,,| 0 ),,,Halem | 10.00 ),
,Cachar,250,225,90,565,( Silchar | 565 ),,0.00,( Silchar | 0.00 ),
