0,1,2,3,4,5,6,7,8
Assam Daily Flood Report as on 12-06-2023 at 4:00 PM,,,,,,,,
Particulars,Situation as on 12-06-2023 (in last 24 hours),,,,,,,
"Rivers flowing above 
Danger Level (as per 
CWC bulletin issued at 8 
AM)","Rivers flowing above danger level 
Nil",,,,,,,
,"Rivers flowing above highest flood 
Nil 
level",,,,,,,
District Affected,"No. of 
Districts 
Name of Flood Affected Districts 
Name of Urban Flood Districts 
Affected",,,,,,,
,"3 
Biswanath, Udalguri 
Cachar",,,,,,,
"No. Of Revenue Circles 
Affected",3,,,,,,,
"Name Of Revenue Circles 
Affected",District,Total,Revenue Circle,,,,,
,Biswanath,1,Gohpur,,,,,
,Cachar,1,Silchar,,,,,
,Udalguri,1,Kalaigaon,,,,,
,Total,3,,,,,,
Villages Affected,District,Total,Revenue Circle,,,,,
,Biswanath,4,( Gohpur | 4 ),,,,,
,Udalguri,6,( Kalaigaon | 6 ),,,,,
,Total,10,,,,,,
"Population And Crop 
Area Affected",District,Male,Female,Children,"Total 
Population","Population 
Details","Crop 
Area ( in 
Hect. )","Crop Area 
Details"
,Biswanath,254,224,97,575,"( Gohpur | 
575 )",117.00,"( Gohpur | 
117.00 )"
,Udalguri,0,0,0,0,"( Kalaigaon | 
0 )",33.00,"( Kalaigaon | 
33.00 )"
,Total,254,224,97,575,,150.00,
"Relief Camps / Centres 
Opened",Nil,,,,,,,
Inmates In Relief Camps,Nil,,,,,,,
"Human Lives Lost - 
Confirmed",Nil,,,,,,,
"Human Lives Lost 
Confirmed - Death Type",Nil,,,,,,,
"Human Lives Lost - 
Missing",Nil,,,,,,,
"Human Lives Lost 
Missing - Type",Nil,,,,,,,
Animals Affected,Nil,,,,,,,
Animals Washed Away,Nil,,,,,,,
Houses Damaged,Nil,,,,,,,
Rescue Operation,Nil,,,,,,,
Relief Distributed,Nil,,,,,,,
Relief Distributed Others,Nil,,,,,,,
"Infrastructure Damaged - 
Embankment Breached",District,Number,Details,,,,,
,Biswanath,1,"Gohpur - Dubia River Embankments is breached for a section of 20 ft | Near to the 
house of Amulya Charengia on 11/06/23 | | (Long - 26.900444, Lat - 93.691218, Dept 
- P&RD)",,,,,
,Darrang,3,"Mangaldoi - Afflux Bund at Noanadi Kachia Bund FIS | Choto Athiabari village | 
Due to rise of water level Afflux Bund at Noanadi Kachia Bund FIS is breached with 
approx. length of 25m. Dated 11/06/2023 | (Long - 91.992661, Lat - 26.440664, Dept 
- Irrigation),  
CM Dutta Bund FIS | Adhikari village | Due to rise of water level embankment breach 
occurred upto a approx. length 4-5m. at CM Dutta Bund FIS. Dated 11/06/2023 | 
(Long - 91.960690, Lat - 26.442980, Dept - Irrigation),  
CM Dutta Bund FIS | Barangabari Village | Due to rise of water level embankment 
breach occurred upto a approx. length 4-5m. at CM Dutta Bund FIS. Dated 
11/06/2023 | (Long - 91.960690, Lat - 26.442980, Dept - Irrigation)",,,,,
,Lakhimpur,1,"Nowboicha - Embankment at Pabha Nadi River near Tunijan Tea Garden | 46 No. 
Tunijan Village | Embankment at Pabha Nadi River breached (170.0 Mtr) near 
Tunijan Tea Garden on 11/06/2023 due to heavy rain. Report received from Block 
Development Office, Nowboicha | (Long - 27.095780, Lat - 93.555650, Dept - 
P&RD)",,,,,
,Total,5,,,,,,
"Infrastructure Damaged - 
Embankment Affected",District,Number,Details,,,,,
,Biswanath,2,"Gohpur - Mild erosion is observed at Nalbari Marginal embankment | Nalbari area of 
R/embankment of River Solengi | For a length of 150.00 m on 12/06/23 | (Long - 
93.639512, Lat - 26.935275, Dept - P&RD),  
Erosion observed at Dakhin Deonabari R/bank embankment | Deonabari Area of 
R/embankment of River Solengi | Of Length 30.00 m on 12/06/23 | (Long - 
93.642885, Lat - 26.910851, Dept - Water Resource Deptt.)",,,,,
,Total,2,,,,,,
"Infrastructure Damaged - 
Road",District,Number,Details,,,,,
,Biswanath,6,"Gohpur - Road from Borigaon to Deonabori. (A construction ongoing Road under 
MMPPNA-2022-23) | Under Ghagra GP on 11/06/23 | Road is overtopped by fresh 
flood from Ch.200.00 m to 900.00m and in three locations i.e. at Ch.250.00 m, at Ch. 
500.00 m and at Ch. about 850.00 m extensive erosion have been noticed | (Long - 
93.628575, Lat - 26.906926, Dept - PWD (Roads)),  
NH 15 to Gohpur Rly Station Road ( 1st Km from NH 15) | Under Gohpur Town on 
11/06/23 | Road is overtopped by fresh flood for a length of about 250.00 m.( Ch. 
From 250.00 m to 500.00m). | (Long - 93.613828, Lat - 26.882800, Dept - PWD 
(Roads)),  
Mornoiguri (Kalmouguri) PWD to Singarajan Road (at Ch 0.00 m to 1200.00m) | 
Under Kalabari GP on 11/06/23 | Flood water overtopped | (Long - 93.733003, Lat - 
26.909405, Dept - PWD (Roads)),  
Mornoiguri Kalmouguri Road (SOPD) ( Ch 0.00 m to 920.00m) | Under Kalabari GP | 
Box Culvert at Ch.550.00 has been settle down resulting crake on slab on 11/06/23 | 
(Long - 93.732312, Lat - 26.914872, Dept - PWD (Roads)),  
Mornoiguri Kalmouguri PWD Road (PMGSY) RCC Br. No.3/1 (at Ch 2.60 Km) | 
Under Kalabari GP | Approach of RCC Br. has been eroded badly due to fresh flood 
water of Sessa on 11/06/23 River | (Long - 93.734978, Lat - 26.915655, Dept - PWD 
(Roads)),  
NEC to Uttar Sonapur Road | Under Kalabari GP | RCC Bridge 2/1- approach of 
eastern end has been damaged by river water of river solengi on 11/06/23 | (Long - 
93.644452, Lat - 26.932008, Dept - PWD (Roads))",,,,,
,Darrang,1,"Mangaldoi - Approach road Noanadi Kachia Bund FIS | Village Choto Athiabari | 
Due to rise of water level the approach road got inundated upto a length of 
Approximate. 50m. Dated 11/06/2023. | (Long - 91.990500, Lat - 26.438033, Dept - 
Irrigation)",,,,,
,Total,7,,,,,,
"Infrastructure Damaged - 
Bridge",Nil,,,,,,,
