0,1,2,3
Assam Daily Flood Report as on 09-06-2023 at 4:00 PM,,,
Particulars,Situation as on 09-06-2023 (in last 24 hours),,
"Rivers flowing above Danger 
Level (as per CWC bulletin 
issued at 8 AM)",Rivers flowing above danger level,,Nil
,Rivers flowing above highest flood level,,Nil
District Affected,"No. of Districts 
Name of Flood Affected Districts 
Affected",,Name of Urban Flood Districts
,1,,Kamrup (M)
No. Of Revenue Circles Affected,1,,
"Name Of Revenue Circles 
Affected","District 
Total 
Revenue Circle",,
,"Kamrup (M) 
1 
Dispur",,
,"Total 
 
1",,
Villages Affected,Nil,,
"Population And Crop Area 
Affected",Nil,,
Relief Camps / Centres Opened,Nil,,
Inmates In Relief Camps,Nil,,
Human Lives Lost - Confirmed,Nil,,
"Human Lives Lost Confirmed - 
Death Type",Nil,,
Human Lives Lost - Missing,Nil,,
"Human Lives Lost Missing - 
Type",Nil,,
Animals Affected,Nil,,
Animals Washed Away,Nil,,
Houses Damaged,Nil,,
Rescue Operation,Nil,,
Relief Distributed,Nil,,
Relief Distributed Others,Nil,,
"Infrastructure Damaged - 
Embankment Breached",Nil,,
"Infrastructure Damaged - 
Embankments Affected",Nil,,
Infrastructure Damaged - Road,Nil,,
Infrastructure Damaged - Bridge,Nil,,
Infrastructure Damaged - Wildlife,Nil,,
Infrastructure Damaged - Others,Nil,,
Erosion,"District 
Details",,
,"Kalgachia - Shawrachara Gaon, | Under going erosion from Shajahan Ali 
Barpeta 
house to Jahurul Islam house, approx. 500 m. by Beki River , reported by LM 
on 09.06.2023 | 0 | (Long - 90.831262, Lat - 26.265253)",,
Landslide,Nil,,
Urban Flood,District,Details,
,Kamrup (M),"Dispur - Rukminigaon, Lakhimi Nagar, Hatigaon, Anil Nagar | Water-
logging occurred because to last night's (08/06/2023) rains at Rukminigaon, 
Lakhimi Nagar, Hatigaon, and Anil Nagar. | 0 | (Long - 0.000000, Lat - 
0.000000)",
"*Bajali, Biswanath, Hojai and Tamulpur are sub-divisions (Independent)",,,
