0,1,2,3,4,5,6,7,8,9,10
Assam Daily Flood Report as on 15-07-2023 at 4:00 PM,,,,,,,,,,
Particulars,Situation as on 15-07-2023 (in last 24 hours),,,,,,,,,
"Rivers 
flowing 
above 
Danger 
Level (as 
per CWC 
bulletin 
issued at 8 
AM)",Rivers flowing above danger level,,,"Burhidihing (Chenimari(Khowang)), Brahmaputra (Dhubri; Tezpur; Neamatighat), 
Sankosh (Golokganj)",,,,,,
,"Rivers flowing above highest 
flood level",,,Nil,,,,,,
"District/Sub
-division 
Affected","No. of 
Districts/Su
b-divisions* 
Affected","Name of Flood Affected Districts/Sub-
divisions*",,,Name of Urban Flood Districts/Sub-divisions*,,,,,
,17,"Baksa, Biswanath, Bongaigaon, Chirang, 
Dhemaji, Dhubri, Dibrugarh, Golaghat, 
Jorhat, Lakhimpur, Majuli, Morigaon, 
Nagaon, Sivasagar, Sonitpur, Tamulpur, 
Tinsukia",,,,,,,,
"No. Of 
Revenue 
Circles 
Affected",31,,,,,,,,,
"Name Of 
Revenue 
Circles 
Affected","District/Sub
-division*",Total,Revenue Circle,,,,,,,
,Baksa,1,Jalah,,,,,,,
,Biswanath,2,"Gohpur, Halem",,,,,,,
,Bongaigaon,1,Srijangram,,,,,,,
,Chirang,2,"Bengtal, Bijni",,,,,,,
,Dhemaji,3,"Jonai, Dhemaji, Sissiborgaon",,,,,,,
,Dhubri,1,Agamoni,,,,,,,
,Dibrugarh,4,"Moran, Chabua, Dibrugarh East, Dibrugarh West",,,,,,,
,Golaghat,3,"Khumtai, Bokakhat, Dergaon",,,,,,,
,Jorhat,2,"Jorhat East, Jorhat West",,,,,,,
,Lakhimpur,3,"Bihpuria, Narayanpur, Nowboicha",,,,,,,
,Majuli,2,"Ujani Majuli, Majuli",,,,,,,
,Morigaon,2,"Mayong, Bhuragaon",,,,,,,
,Nagaon,1,Samaguri,,,,,,,
,Sivasagar,1,Sivsagar,,,,,,,
,Sonitpur,1,Tezpur,,,,,,,
,Tamulpur,1,Tamulpur,,,,,,,
,Tinsukia,1,Tinsukia,,,,,,,
,Total,31,,,,,,,,
"Villages 
Affected","District/Sub
-division*",Total,Revenue Circle,,,,,,,
,Baksa,5,( Jalah | 5 ),,,,,,,
,Biswanath,47,"( Gohpur | 13 ), ( Halem | 34 )",,,,,,,
,Bongaigaon,23,( Srijangram | 23 ),,,,,,,
,Chirang,43,"( Bengtal | 10 ), ( Bijni | 33 )",,,,,,,
,Dhemaji,55,"( Jonai | 32 ), ( Dhemaji | 1 ), ( Sissiborgaon | 22 )",,,,,,,
,Dhubri,4,( Agamoni | 4 ),,,,,,,
,Dibrugarh,25,"( Moran | 7 ), ( Chabua | 7 ), ( Dibrugarh East | 3 ), ( Dibrugarh West | 8 )",,,,,,,
,Golaghat,34,"( Khumtai | 4 ), ( Bokakhat | 23 ), ( Dergaon | 7 )",,,,,,,
,Jorhat,6,"( Jorhat East | 4 ), ( Jorhat West | 2 )",,,,,,,
,Lakhimpur,32,"( Bihpuria | 6 ), ( Narayanpur | 16 ), ( Nowboicha | 10 )",,,,,,,
,Majuli,60,"( Ujani Majuli | 14 ), ( Majuli | 46 )",,,,,,,
,Morigaon,12,"( Mayong | 4 ), ( Bhuragaon | 8 )",,,,,,,
,Nagaon,6,( Samaguri | 6 ),,,,,,,
,Sivasagar,24,( Sivsagar | 24 ),,,,,,,
,Sonitpur,4,( Tezpur | 4 ),,,,,,,
,Tamulpur,1,( Tamulpur | 1 ),,,,,,,
,Tinsukia,4,( Tinsukia | 4 ),,,,,,,
,Total,385,,,,,,,,
"Population 
And Crop 
Area 
Affected","District/Sub
-division*",Male,"Femal
e","Childre
n","Total 
Populatio
n",Population Details,,"Crop 
Area ( in 
Hect. )",Crop Area Details,
,Baksa,640,583,88,1311,( Jalah | 1311 ),,100.00,( Jalah | 100.00 ),
,Biswanath,13633,10314,8384,32331,"( Gohpur | 22417 ), ( 
Halem | 9914 )",,858.00,"( Gohpur | 93.00 ), ( 
Halem | 765.00 )",
,Bongaigaon,0,0,0,0,( Srijangram | 0 ),,135.50,( Srijangram | 135.50 ),
,Chirang,1991,1848,2379,6218,"( Bijni | 2554 ), ( 
Bengtal | 3664 )",,647.55,"( Bijni | 646.49 ), ( 
Bengtal | 1.06 )",
,Dhemaji,5428,4893,2678,12999,"( Jonai | 3702 ), ( 
Dhemaji | 571 ), ( 
Sissiborgaon | 8726 )",,614.75,"( Jonai | 172.25 ), ( 
Dhemaji | 7.00 ), ( 
Sissiborgaon | 435.50 )",
,Dhubri,1524,1248,564,3336,( Agamoni | 3336 ),,0.00,( Agamoni | 0.00 ),
