Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Irrigation Department,NIT_NO_CMD_CAD_LA_T_7_2016_01,2017_ID_1526_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,ITB and Work Item details,Other,,1.0,Fee/PreQual/Technical,.pdf,NIT,07-Jan-2017 10:00 AM,21-Jan-2017 03:00 PM,07-Jan-2017 10:10 AM,21-Jan-2017 02:00 PM,NA ,NA ,07-Jan-2017 10:10 AM,21-Jan-2017 02:00 PM,08-Feb-2017 01:30 PM,CMD_LACAD_Authority,CMD_LACAD_Authority_Chandmari_Ghy03,"1,00,000",Yes,percentage,2.0%,Oo Executive Engineer Pahumara Rupahi Div_I,Sarupeta_Barpeta,Construction of Field Channel at Different Chainages alongwith related structures,Construction of Field Channel at Different Chainages alongwith related structures,Please refer Tender documents. ,NA ,"50,00,000",Civil Works,NA ,Tender,75.0,65.0,Sarupeta_Barpeta,781318.0,NA ,NA ,NA ,CMD_LACAD_Authority_Chandmari_Ghy03,No ,No,"2,000",CMD_LACAD_Authority_Chandmari_Ghy03,CMD_LACAD_Authority_Chandmari_Ghy03,No,1.0,DD - Demand Draft,AOC,Technical,Bid opening summary,Chan Mohan Das,08-Feb-2017 12:19 PM,technical_2201.pdf,30-Mar-2017,INR 5000000.0,30.0,Ram Pravesh Chauhan,30-Mar-2017 02:18 PM,AOC.pdf (473.00 KB),Works are alloted to four nos of Bidders at ten point one percent below the estimated rate,1.0,8484.0,Mahananda Kakati,INR,1500000.0,Finance,Financial Bid has been opened,Ram Pravesh Chauhan,30-Mar-2017 01:53 PM,finance_2201.pdf,BOQ Comparative Chart,B Malakar,Internal,M K SARMA D SAIKIA H K MILI N SARKAR,Ram Pravesh Chauhan,30-Mar-2017 02:05 PM,finsummary_2201.pdf (270.14 KB),1,8534,ASHOK KR DAS,20-Jan-2017 09:21 PM,Rejected-AOC,,30-Mar-2017 02:18 PM,Irrigation Department,2017_ID_1526_1,NIT_NO_CMD_CAD_LA_T_7_2016_01,Construction of Field Channel at Different Chainages alongwith related structures,B.Malakar,Internal,D.Saikia M.K..Sarma H.K.Mili N.Sarkar,Chan Mohan Das,08-Feb-2017 12:33 PM,08-Feb-2017 01:30 PM,techsummary_2201.pdf (560.68 KB),AOC
,,,,,,,,,,,,,,,,,,,,.pdf,BID DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee Irrevocable,AOC,,,,,,,,,,,,,2.0,8504.0,Sri Bhupen Ch Das,INR,995000.0,,,,,,,,,,,,,2,8573,Bhrigujit Choudhury,21-Jan-2017 12:40 PM,Not Admitted-Fee/PreQual/Technical,,08-Feb-2017 12:19 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Technical Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,AOC,,,,,,,,,,,,,3.0,8510.0,SRI DWIJESH MEDHI,INR,1000000.0,,,,,,,,,,,,,3,8532,Dipak Das,20-Jan-2017 08:47 PM,Rejected-AOC,,30-Mar-2017 02:18 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4.0,8523.0,Nagesh Kr. Baishya,INR,1000000.0,,,,,,,,,,,,,4,8535,JATIN RAJBONGSHI,20-Jan-2017 09:03 PM,Not Admitted-Fee/PreQual/Technical,,08-Feb-2017 12:19 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8484,Mahananda Kakati,21-Jan-2017 01:41 PM,Accepted-AOC,,30-Mar-2017 02:18 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8486,M/s Praveen Baishya,20-Jan-2017 03:19 PM,Not Admitted-Fee/PreQual/Technical,,08-Feb-2017 12:19 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8523,Nagesh Kr. Baishya,20-Jan-2017 06:29 PM,Accepted-AOC,,30-Mar-2017 02:18 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8504,Sri Bhupen Ch Das,20-Jan-2017 12:35 PM,Accepted-AOC,,30-Mar-2017 02:18 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8527,SRI DHANJIT PATHAK,20-Jan-2017 08:20 PM,Rejected-AOC,,30-Mar-2017 02:18 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8542,Sri Dipak Deka,20-Jan-2017 09:43 PM,Rejected-AOC,,30-Mar-2017 02:18 PM,,,,,,,,,,,,AOC
