S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Tender Stage
1.0,DD - Demand Draft,1.0,Fee,.pdf,Tender Fee/EMD,"1,22,290",Yes,percentage,2.0%,"Divisional Officer, South Bank S.C. Division",Guwahati Assam,04-Feb-2017 05:00 PM,16-Feb-2017 02:05 PM,05-Feb-2017 10:05 AM,16-Feb-2017 02:00 PM,NA ,NA ,11-Feb-2017 10:00 AM,16-Feb-2017 02:00 PM,04-Mar-2017 01:20 PM,Water Harvesting and Water Distribution Project at Chandrapur area,Water Harvesting and Water Distribution Project at Chandrapur area,Please refer Tender documents. ,NA ,"61,14,486",Civil Works,NA ,Tender,180.0,75.0,Chandrapur,781150.0,NA ,NA ,NA ,"OFFICE OF THE DIRECTOR OF SOIL CONSERVATION, ASSAM",No ,No,Director,"OFFICE OF THE DIRECTOR OF SOIL CONSERVATION, ASSAM BHUMI SHANGRAKHAN BHAWAN, R.G.B. ROAD, GUWAHATI-781005",Soil Conservation Department,TENDER-I/EP/2016-17/7629 Dtd.03-02-2017,2017_SCD_1690_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"2,000","Divisional Officer, South Bank S.C. Division",Guwahati Assam,No,1.0,Bank Guarantee,Terms and Conditions,,AOC,Soil Conservation Department,2017_SCD_1690_1,TENDER-I/EP/2016-17/7629 Dtd.03-02-2017,Water Harvesting and Water Distribution Project at Chandrapur area,S Choudhury,Internal,C J Saikia P Dutta G Kalita A Tamuli,Gautam Kalita,04-Mar-2017 01:17 PM,04-Mar-2017 01:20 PM,techsummary_2708.pdf (269.08 KB),1,9859,Anupam Industrial Corporation,15-Feb-2017 11:46 PM,Rejected-Finance,Responsive as L5,23-Mar-2017 01:32 PM,Finance,Minutes,Anamika Tamuli,23-Mar-2017 01:23 PM,finance_2708.pdf,BOQ Comparative Chart,Technical,Technical Summary,Gautam Kalita,04-Mar-2017 01:10 PM,technical_2708.pdf,AOC
2.0,BC - Bankers Cheque,2.0,PreQual/Technical,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,9875,BHISMA KR DANGAL,15-Feb-2017 11:32 PM,Rejected-Finance,Responsive as L9,23-Mar-2017 01:32 PM,,,,,,,,,,,,AOC
3.0,FDR - Fixed Deposit Receipt,,,.pdf,Technical Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,9867,Britanjoy Brahma,16-Feb-2017 12:35 PM,Rejected-Finance,Responsive as L6,23-Mar-2017 01:32 PM,,,,,,,,,,,,AOC
,,3.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,9857,Ikbal Hussain,16-Feb-2017 11:00 AM,Rejected-Finance,Responsive as L10,23-Mar-2017 01:32 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,9853,Mahirul Islam,16-Feb-2017 10:36 AM,Not Admitted-Fee,,21-Feb-2017 01:36 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,9899,Manas Jyoti Handique,16-Feb-2017 11:57 AM,Rejected-Finance,Responsive as L4,23-Mar-2017 01:32 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,9862,Manoranjan Boro,15-Feb-2017 07:10 PM,Accepted-AOC,,28-Mar-2017 01:03 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,9894,M/S G D CONSTRUCTION,16-Feb-2017 12:07 PM,Rejected-Finance,Responsive as L8,23-Mar-2017 01:32 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,9858,M s Sanjug Enterprise,16-Feb-2017 12:03 AM,Rejected-Finance,Responsive as L3,23-Mar-2017 01:32 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,9906,M/S SUNRISE ENTERPRISE,16-Feb-2017 12:39 PM,Rejected-Finance,Responsive as L2,23-Mar-2017 01:32 PM,,,,,,,,,,,,AOC
