S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Corrigendum 1,Technical Bid,,1.0,DD - Demand Draft,"10,000",ASSAM POWER DISTRIBUTION COMPANY LIMITED,ASSAM POWER DISTRIBUTION COMPANY LIMITED,No,CGM PPD,"Office of the Chief General Manager (PP D) Assam Power Distribution Company Limited 6th Floor, Bijulee Bhawan Paltan Bazar, Guwahati ,Assam",1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT FEES,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,APDCL/R_APDRP /CCCC/2018/4,2018_APDCL_8350_1,Yes,Open Tender,Turn-key,Services,2.0,No,No,Offline,No,No,No,RFP for appointment of an agency for deployment of manpower at central CCC Guwahati,Request for proposal (RFP) for appointment of an agency for deployment of manpower at Central Customer Care Centre Guwahati,Please refer tender documents ,NA ,0.0,Manpower Supply,NA ,Tender,180.0,365.0,Guwahati,781001.0,CGM PPD APDCL Bijulee Bhawan ,"Office of the Chief General Manager (PP D) Assam Power Distribution Company Limited 6th Floor, Bijulee Bhawan Paltan Bazar, Guwahati ,Assam ",04-Sep-2018 11:00 AM ,CGM PPD APDCL Bijulee Bhawan,No ,No,27-Aug-2018 11:00 AM,24-Sep-2018 11:00 AM,27-Aug-2018 11:00 AM,20-Sep-2018 02:00 PM,NA ,NA ,14-Sep-2018 10:00 AM,20-Sep-2018 02:00 PM,23-Jan-2019 11:00 AM,"15,00,000",No,fixed,,ASSAM POWER DISTRIBUTION COMPANY LIMITED,ASSAM POWER DISTRIBUTION COMPANY LIMITED,AOC,1.0,41454.0,Pecon Software Ltd,INR,72776736.0,Technical,Technical Evaluation,Chayanika Gogoi,19-Jan-2019 05:26 PM,technical_12612.pdf,1,41542,ace innovators p ltd,20-Sep-2018 11:29 AM,Rejected-Technical,Technically Non Responsive,19-Jan-2019 05:30 PM,"MD, APDCL",Internal,,Chayanika Gogoi,19-Jan-2019 05:30 PM,23-Jan-2019 11:00 AM,techsummary_12612.pdf (124.02 KB),Finance,Financial Evaluation along with declaration of total score.,Chayanika Gogoi,14-Mar-2019 01:35 PM,finance_12612.pdf,BOQ Comparative Chart,16-Mar-2019,INR 72776736,730.0,Chayanika Gogoi,16-Mar-2019 04:38 PM,LoACCC.pdf (1579.00 KB),Letter of Award,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,2018_APDCL_8350_1,APDCL/R_APDRP /CCCC/2018/4,RFP for appointment of an agency for deployment of manpower at central CCC Guwahati,"Chairman, APDCL",Internal,Board of Directors,Chayanika Gogoi,14-Mar-2019 02:08 PM,finsummary_12612.pdf (1041.46 KB),AOC
,,,,2.0,BC - Bankers Cheque,,,,,,,,,.pdf,BID SECURITY DEPOSIT/EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2,41471,Alankit Limited,18-Sep-2018 03:34 PM,Rejected-Technical,Technically Non Responsive,19-Jan-2019 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,.rar,TECHNICAL DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,3,41452,CYFUTURE INDIA PVT. LTD.,18-Sep-2018 03:42 PM,Rejected-Technical,Technically Non Responsive,19-Jan-2019 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,4,41279,DATA INFOSYS LIMITED,20-Sep-2018 12:13 PM,Rejected-AOC,L3,16-Mar-2019 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,5,41578,HRD Commercial & Industrial Security Force Pvt Ltd,20-Sep-2018 01:00 PM,Rejected-Technical,Technically Non Responsive,19-Jan-2019 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,6,41511,Inductus Consultants (P) Limited,19-Sep-2018 02:03 PM,Rejected-Technical,Technically Non Responsive,19-Jan-2019 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,7,41459,Insight Customer Call Solutions Limited,20-Sep-2018 01:28 PM,Rejected-Finance,GST rate was not mentioned in the Price Bid,14-Mar-2019 02:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,8,41473,Inspiredge IT Solutions Pvt LTD,20-Sep-2018 12:16 PM,Rejected-Technical,Technically Non Responsive,19-Jan-2019 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,9,41278,PACE COMPUTER SERVICES,18-Sep-2018 06:55 PM,Rejected-AOC,L2,16-Mar-2019 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,10,41454,Pecon Software Ltd,20-Sep-2018 11:04 AM,Accepted-AOC,Awarded L1,16-Mar-2019 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
