Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
07-Aug-2019,"INR 33,236,793",540.0,Sanjiv Kumar,07-Aug-2019 01:12 PM,awardbot.pdf (522.00 KB),Financial bid open,Er SK sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,07-Aug-2019 01:08 PM,finsummary_38354.pdf (222.98 KB),Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,08-Mar-2019 01:33 PM,11-Mar-2019 11:00 AM,techsummary_38354.pdf (644.25 KB),PWD,2019_PWD_26948_1,PWD/BD/NIT/2018-16446-90,Improvement Widening and Strengthening Baijnath Mahakal Chobin Blander road Km 0/0 to 14/210,Technical,Four bidders participated in this work and two bidders found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,08-Mar-2019 01:31 PM,technical_38354.pdf,1.0,115401.0,ANURAG SHARMA,25-Feb-2019 10:01 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Mar-2019 01:31 PM,1.0,115084.0,P. L. SHARMA,INR,"46,021,521",Finance,Financial bid open successfually,Sanjiv Kumar,07-Aug-2019 01:05 PM,finance_38354.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,1.0,Reschedule of Bid Open Date,Date,,07-Feb-2019 05:30 PM,26-Feb-2019 12:00 PM,07-Feb-2019 05:45 PM,26-Feb-2019 11:30 AM,NA ,NA ,07-Feb-2019 06:00 PM,26-Feb-2019 11:30 AM,11-Mar-2019 11:00 AM,"5,000",Executive Engineer HPPWD Baijnath,Baijnath,No,Executive Engineer HPPWD Baijnath Division,Executive Engineer HPPWD Baijnath Division,PWD,PWD/BD/NIT/2018-16446-90,2019_PWD_26948_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"3,64,900",No,fixed,,Executive Engineer HPPWD Baijnath,Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Document as mentioned in SBD Schedule F 6.3,Improvement Widening and Strengthening Baijnath Mahakal Chobin Blander road Km 0/0 to 14/210,"C/o Passing Places R/walls Missing C.D. work GSB WBM-II WBM-III BM Tarring work C.C. Pavement, Side Drain and parpets.) (Under NABARD RIDF-XXIV",Please refer Tender documents. ,NA ,"3,32,36,793",Civil Works - Roads,NA ,Tender,120.0,540.0,Baijnath,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Baijnath Division,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115354.0,G.P.ACHARYA,25-Feb-2019 07:24 PM,Rejected-Finance,Higher Side,07-Aug-2019 01:08 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD Schedule F 6.5,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,115445.0,Kuldeep Chand Rana,26-Feb-2019 10:45 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Mar-2019 01:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,115084.0,P. L. SHARMA,25-Feb-2019 09:37 PM,Accepted-AOC,lower side,07-Aug-2019 01:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN No,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done Certificate and work in hand on prescribed performa as mentioned in General Rule No 19 SBD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Existing Commitment / work in hand certificate as per SBD performa,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity as mentioned in the SBD Sr. No. 28.2.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Upload the CA Abstract of financial turnover in the last 5 years,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. at Clause No. 18 Sr. No. 6.19 as mentioned in SBD with proof,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. Schedule F Sr. No. 6.14 and as mentioned in SBD,,,,,,,,,,,,,,,,,,,AOC
