Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
20-Aug-2019,"INR 1,823,751",120.0,Bhupinder Singh,22-Aug-2019 02:35 PM,Awardletter.PDF (1235.00 KB),Award letter,Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Ravi Kumar, Jr. Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,17-Jul-2019 05:23 PM,finsummary_42889.pdf (701.50 KB),Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Ravi Kumar, Jr. Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,16-Jul-2019 12:00 PM,16-Jul-2019 01:00 PM,techsummary_42889.pdf (878.58 KB),PWD,2019_PWD_29656_1,Job 2 Construction of link road from Panjawar Bath,Job 2 Construction of link road from Panjawar Bathri to Harijan Basti via Satsang Ghar Lalri Sub Head C.O Cement Concrete Pavement at Km. 0-0 to 0-250 Under SCCP,Technical,TechnicalBidOpeningSummary,Bhupinder Singh,16-Jul-2019 10:36 AM,technical_42889.pdf,1.0,123529.0,Balbir Singh Govt Contractor,02-Jul-2019 11:25 AM,Rejected-AOC,ok,22-Aug-2019 02:35 PM,1.0,123569.0,HARDYAL SINGH GOVT. CONTRACTOR,INR,"1,580,000",Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,17-Jul-2019 04:12 PM,finance_42889.pdf,BOQ Comparative Chart,AOC,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,26-Jun-2019 05:00 PM,03-Jul-2019 11:00 AM,26-Jun-2019 05:30 PM,02-Jul-2019 05:00 PM,NA ,NA ,26-Jun-2019 05:30 PM,02-Jul-2019 05:00 PM,16-Jul-2019 01:00 PM,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",PWD,Job 2 Construction of link road from Panjawar Bath,2019_PWD_29656_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,Job 2 Construction of link road from Panjawar Bathri to Harijan Basti via Satsang Ghar Lalri Sub Head C.O Cement Concrete Pavement at Km. 0-0 to 0-250 Under SCCP,Job 2 Construction of link road from Panjawar Bathri to Harijan Basti via Satsang Ghar Lalri Sub Head C.O Cement Concrete Pavement at Km. 0-0 to 0-250 Under SCCP,Please refer to Bidding Documents ,NA ,"18,23,751",Civil Works - Roads,NA ,Tender,120.0,120.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"34,900",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123569.0,HARDYAL SINGH GOVT. CONTRACTOR,02-Jul-2019 04:13 PM,Accepted-AOC,ok,22-Aug-2019 02:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,123577.0,Mukesh Kumar,02-Jul-2019 04:52 PM,Rejected-AOC,ok,22-Aug-2019 02:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,123516.0,Nitin Sharma,02-Jul-2019 03:56 PM,Rejected-AOC,ok,22-Aug-2019 02:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,123553.0,Nitish Thakur,02-Jul-2019 02:59 PM,Rejected-AOC,ok,22-Aug-2019 02:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,123460.0,SUMIT KUMAR,02-Jul-2019 01:01 PM,Rejected-AOC,ok,22-Aug-2019 02:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Machinery Tool Plant and list of laboratory equipments as per bid documents,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,AOC
