Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,14-Apr-2019 07:35 AM,finsummary_36560.pdf (588.39 KB),19-Aug-2019,"INR 524,789",90.0,Vivek Sharma,19-Aug-2019 01:24 PM,BhrahamDassChalokharAward.pdf (844.00 KB),Award,PWD,2019_PWD_25986_1,C/Olink road Harizen Basti Chalokhar Km 0/0to0/650,Construction of link road to Harizen Basti Chalokhar Km 0/0 to 0/650,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,03-Feb-2019 02:17 PM,05-Feb-2019 11:00 AM,techsummary_36560.pdf (1576.35 KB),1.0,108967.0,BRAHM DASS GOVT CONTRACTOR,INR,"524,789",Finance,Attached,Dev Raj,14-Apr-2019 06:42 AM,finance_36560.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,02-Feb-2019 09:28 PM,technical_36560.pdf,1.0,109136.0,ANKITA DUBEY GOVT. CONTRACTOR,23-Jan-2019 07:53 PM,Rejected-AOC,l4,19-Aug-2019 01:24 PM,AOC,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,DD - Demand Draft,PWD,C/Olink road Harizen Basti Chalokhar Km 0/0to0/650,2019_PWD_25986_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,16-Jan-2019 06:00 PM,24-Jan-2019 11:30 AM,16-Jan-2019 06:00 PM,24-Jan-2019 10:30 AM,NA ,NA ,16-Jan-2019 06:00 PM,24-Jan-2019 10:30 AM,05-Feb-2019 11:00 AM,Construction of link road to Harizen Basti Chalokhar Km 0/0 to 0/650,"SH C/O 5/7 mtr. Wide road formation cutting in Km 0/0 to 0/195, C/O Retaining wall at RD 0/006 to 0/040 and C/O 900mm dia hume pipe culvert at RD 0/069",Please refer Tender documents. ,NA ,"5,29,550",Civil Works - Roads,NA ,Tender,60.0,90.0,Chalokhar,177007.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"10,600",No,fixed,,EE Hamirpur,EE Hamirpur,350.0,EE Hamirpur,EE Hamirpur,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,109148.0,ASHWANI KUMAR GOVT. CONTRACTOR,23-Jan-2019 08:51 PM,Rejected-AOC,l6,19-Aug-2019 01:24 PM,AOC,,,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,109152.0,Avtar Singh,23-Jan-2019 09:46 PM,Rejected-AOC,l3,19-Aug-2019 01:24 PM,AOC,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,108967.0,BRAHM DASS GOVT CONTRACTOR,22-Jan-2019 03:16 PM,Accepted-AOC,l1,19-Aug-2019 01:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,109139.0,PARVEJ HUSSAIN,23-Jan-2019 07:55 PM,Rejected-AOC,l2,19-Aug-2019 01:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,109185.0,RAKESH KUMAR GOVT CONTRACTOR,24-Jan-2019 10:23 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Feb-2019 09:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,109159.0,sumeet contractor,24-Jan-2019 05:21 AM,Rejected-AOC,l5,19-Aug-2019 01:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,109033.0,VINAY KUMAR,23-Jan-2019 01:44 PM,Rejected-AOC,l8,19-Aug-2019 01:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,109057.0,VINOD KUMAR,23-Jan-2019 02:15 PM,Rejected-AOC,l7,19-Aug-2019 01:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC
