Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
EE Manish Sehgal,Internal,AOC,Manish Sehgal,09-Aug-2019 02:34 PM,finsummary_39467.pdf (1634.77 KB),09-Aug-2019,"INR 645,019",90.0,Manish Sehgal,09-Aug-2019 02:39 PM,File.PDF (1635.00 KB),AOC,PWD,2019_PWD_27654_9,23278-318,Periodical maintenance of link road to village Thamboo (VR0108),EE Manish Sehgal,Internal,"Er Vijay Verma AE Bhawarna, Er DS Thakur AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Vijay Kumar Verma,25-Apr-2019 02:36 PM,25-Apr-2019 02:45 PM,techsummary_39467.pdf (984.18 KB),Technical,SUMMARY,Vijay Kumar Verma,25-Apr-2019 01:12 PM,technical_39467.pdf,1.0,116706.0,Ms Mahaluxmi Enterprises,01-Mar-2019 11:05 PM,Accepted-AOC,L1,09-Aug-2019 02:39 PM,1.0,116706.0,Ms Mahaluxmi Enterprises,INR,"888,120",Finance,Summary,Manish Sehgal,09-Aug-2019 02:28 PM,finance_39467.pdf,BOQ Comparative Chart,AOC,Periodical maintenance of link road to village Thamboo (VR0108),Providing and laying 25mm thick Bitumen Concrete with paver finisher in Km. 1/000 to 2/000),Please refer Tender documents. ,NA ,"6,45,019",Civil Works - Roads,NA ,Tender,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,350.0,EE Palampur,EE Palampur,No,1.0,DD - Demand Draft,21-Feb-2019 12:25 PM,02-Mar-2019 11:30 AM,21-Feb-2019 12:30 PM,02-Mar-2019 11:00 AM,NA ,NA ,21-Feb-2019 12:35 PM,02-Mar-2019 11:00 AM,25-Apr-2019 02:45 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender doccument in shape of D.D. as per SBD.,"12,900",No,fixed,,EE Palampur,EE palampur,PWD,23278-318,2019_PWD_27654_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Palampur,HPPWD Division Palampur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,116585.0,Sanjeev,01-Mar-2019 12:26 PM,Rejected-Finance,L2,09-Aug-2019 02:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,AOC
