S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,116626.0,Raj Kumar Govt. Contractor,INR,"8,774,967.35",Finance,Summary,Manish Sehgal,09-Aug-2019 04:38 PM,finance_39540.pdf,BOQ Comparative Chart,Technical,Summary,Manish Sehgal,09-Mar-2019 11:44 AM,technical_39540.pdf,1.0,116196.0,DIL BAHADUR,27-Feb-2019 04:30 PM,Rejected-Technical,Non-Responsive,09-Mar-2019 11:46 AM,EE Manish Sehgal,Internal,"Er Anoop Sood AE DHEERA, Er DS Thakur AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manish Sehgal,09-Aug-2019 04:42 PM,finsummary_39540.pdf (460.81 KB),09-Aug-2019,"INR 8,774,967",270.0,Manish Sehgal,09-Aug-2019 05:01 PM,File.PDF (1384.00 KB),AOC,PWD,2019_PWD_26186_2,23452-92,C/O road from Naura Panchayat Ghar to Village Bahl Kota Via Kathan Basti Km. 0/00 to 2/210 (under NABARD RIDF-XXIV),EE Manish Sehgal,Internal,"Er Anoop Sood AE Dheera, Er DS Thakur AE to EE, Sh Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manish Sehgal,09-Mar-2019 11:46 AM,09-Mar-2019 11:50 AM,techsummary_39540.pdf (1022.15 KB),AOC,"2,000",EE Palampur,Palampur,No,1.0,DD - Demand Draft,EE Palampur,HPPWD Division Palampur,PWD,23452-92,2019_PWD_26186_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O road from Naura Panchayat Ghar to Village Bahl Kota Via Kathan Basti Km. 0/00 to 2/210 (under NABARD RIDF-XXIV),"Imp. of road, passing places, R/Wall, C.D work, GSB, WBM-II, WBM-III, Tarring work, drain and parapets).",Please refer Tender documents. ,NA ,"76,28,819",Civil Works - Roads,NA ,Tender,120.0,270.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,"1,08,800",No,fixed,,EE Palampur,EE Palampur,22-Feb-2019 10:55 AM,02-Mar-2019 11:30 AM,22-Feb-2019 11:00 AM,02-Mar-2019 11:00 AM,NA ,NA ,22-Feb-2019 11:30 AM,02-Mar-2019 11:00 AM,09-Mar-2019 11:50 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender doccument in shape of D.D. as per SBD.,AOC
,,,,,,,,,,,,,,,,2.0,116626.0,Raj Kumar Govt. Contractor,01-Mar-2019 05:41 PM,Accepted-AOC,L1,09-Aug-2019 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,AOC
,,,,,,,,,,,,,,,,3.0,116551.0,yudhbir infrastructure private limited,01-Mar-2019 08:25 AM,Rejected-Finance,L2,09-Aug-2019 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
