S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"27,000",Yes,fixed,,EE Gohar,Gohar,PWD,4012-51 dt. 26.6.2019,2019_PWD_29849_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,03-Jul-2019 05:00 PM,16-Jul-2019 11:30 AM,03-Jul-2019 05:00 PM,15-Jul-2019 05:00 PM,NA ,NA ,03-Jul-2019 05:30 PM,15-Jul-2019 05:00 PM,29-Jul-2019 11:00 AM,EE PWD Gohar,Executive Engineer Gohar Division HP.PWD Gohar.,500.0,EE Gohar,Gohar,Yes,Construction of Additional Accommodation for Govt. High School Building at JanjaharTehsil Chachiot Distt. Mandi (HP) (SH C/O two rooms with stair case in Ground floor),Construction of Additional Accommodation for Govt. High School Building at JanjaharTehsil Chachiot Distt. Mandi (HP) (SH C/O two rooms with stair case in Ground floor),Please refer Tender documents. ,NA ,"13,47,550",Civil Works,NA ,Rate Contract,120.0,180.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,1.0,DD - Demand Draft,AOC,1.0,124225.0,MANOJ KUMAR,11-Jul-2019 05:00 PM,Accepted-AOC,Lowest,19-Aug-2019 11:45 AM,Technical,Technical Summary,Ramesh Singh,24-Jul-2019 12:37 PM,technical_43125.pdf,1.0,124225.0,MANOJ KUMAR,INR,"1,799,359",Finance,Financial Summary,Ramesh Singh,08-Aug-2019 11:03 AM,None,BOQ Comparative Chart,Er. Ramesh Singh EE,Internal,"Chaman Lal AE,Rattan Lal Supdt,Kehar Singh Supdt,Pankaj Chandel HDM.",Ramesh Singh,24-Jul-2019 12:46 PM,29-Jul-2019 11:00 AM,techsummary_43125.pdf (373.81 KB),PWD,2019_PWD_29849_1,4012-51 dt. 26.6.2019,Construction of Additional Accommodation for Govt. High School Building at JanjaharTehsil Chachiot Distt. Mandi (HP) (SH C/O two rooms with stair case in Ground floor),19-Aug-2019,"INR 1,347,550",180.0,Ramesh Singh,19-Aug-2019 11:45 AM,1.pdf (239.00 KB),AOC,Er. Ramesh Singh EE,Internal,"Chaman Lal AE, Kehar Singh Supdt. Rattan Lal Supdt, Pankaj Chandel HDM",Ramesh Singh,08-Aug-2019 11:11 AM,finsummary_43125.pdf (132.74 KB),AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,2.0,124413.0,ROOP LAL,15-Jul-2019 01:00 PM,Rejected-AOC,2nd lowest,19-Aug-2019 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,.pdf,Minimum one similar work done of amount not less than40pracent Rule No 28.2.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,.pdf,Detail of technical Manpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
