Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,tech.bid opening summary,Pramod Kashyap,14-Aug-2019 12:13 PM,technical_44126.pdf,1.0,127733.0,HARISH KUMAR GOVT CONTRACTOR,13-Aug-2019 10:02 PM,Accepted-AOC,L 1,16-Aug-2019 05:21 PM,1.0,127733.0,HARISH KUMAR GOVT CONTRACTOR,INR,"843,713",Finance,Fin Bid,Pramod Kashyap,16-Aug-2019 03:28 PM,finance_44126.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,16-Aug-2019 03:33 PM,finsummary_44126.pdf (177.07 KB),16-Aug-2019,"INR 693,069",60.0,Pramod Kashyap,16-Aug-2019 05:21 PM,award.pdf (468.00 KB),Restoration of rain damage on Dhaneta Barsar road km. 0/0 to 8/0,PWD,2019_PWD_30629_1,Restoration of rain damage on Dhaneta Barsar road,Restoration of rain damage on Dhaneta Barsar road km. 0/0 to 8/0,Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,16-Aug-2019 12:44 PM,16-Aug-2019 03:00 PM,techsummary_44126.pdf (495.84 KB),AOC,Restoration of rain damage on Dhaneta Barsar road km. 0/0 to 8/0,P/L wire create in km. 4/390 to 4/430,Please refer Tender documents. ,NA ,"6,93,069",Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,PWD,Restoration of rain damage on Dhaneta Barsar road,2019_PWD_30629_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"13,900",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,DD - Demand Draft,01-Aug-2019 05:20 PM,14-Aug-2019 11:30 AM,01-Aug-2019 05:20 PM,14-Aug-2019 10:30 AM,NA ,NA ,01-Aug-2019 05:20 PM,14-Aug-2019 10:30 AM,16-Aug-2019 03:00 PM,AOC
,,,,,2.0,127773.0,SURENDER MOHAN GOVT CONT,14-Aug-2019 10:24 AM,Rejected-Finance,L 2,16-Aug-2019 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,3.0,127723.0,tain singh,13-Aug-2019 06:31 PM,Rejected-Finance,L3,16-Aug-2019 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,127766.0,V.V. CONSTRUCTION CO.,14-Aug-2019 09:21 AM,Rejected-Finance,L 4,16-Aug-2019 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST , EPF No. and Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,AOC
