EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"21,200",No,fixed,,EE NH Division Nahan,Nahan,PWD,PW-NHD-NHN/TA-NIT No. 2536-76 dated 24.07.2019,2019_PWD_30612_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,1.0,DD - Demand Draft,Executive Engineer NH Division Nahan,Executive Engineer NH Division Nahan,Ordinary repair to Kala Amb Paonta Sahib Dehradun road NH 72 (New NH 07) Kms 46/0 to 103/0 (SH C/o PCC U shape drain between Km 87/080 to 87/338 (LHS),Ordinary repair to Kala Amb Paonta Sahib Dehradun road NH 72 (New NH 07) Kms 46/0 to 103/0 (SH C/o PCC U shape drain between Km 87/080 to 87/338 (LHS),refer tender document ,NA ,"10,57,081",Civil Works - Roads,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer NH Division Nahan,No ,No,500.0,EE NH Division Nahan,Nahan,No,01-Aug-2019 04:00 PM,22-Aug-2019 11:00 AM,01-Aug-2019 04:30 PM,21-Aug-2019 05:00 PM,NA ,NA ,01-Aug-2019 04:30 PM,21-Aug-2019 05:00 PM,23-Aug-2019 04:15 PM,AOC,1,128292,DINESH KUMAR GUPTA,18-Aug-2019 05:08 PM,Rejected-Technical,Non responsive,23-Aug-2019 04:06 PM,Technical,Summary,Anil Kumar Sharma,23-Aug-2019 03:59 PM,technical_44090.pdf,1.0,128592.0,mohdjaseem,INR,"629,288",Finance,Summary,Anil Kumar Sharma,31-Aug-2019 01:58 PM,finance_44090.pdf,BOQ Comparative Chart,PWD,2019_PWD_30612_1,PW-NHD-NHN/TA-NIT No. 2536-76 dated 24.07.2019,Ordinary repair to Kala Amb Paonta Sahib Dehradun road NH 72 (New NH 07) Kms 46/0 to 103/0 (SH C/o PCC U shape drain between Km 87/080 to 87/338 (LHS),Er Anil Sharma,Internal,TA SUpttd DHD DAO AE Dhaulakua,Anil Kumar Sharma,23-Aug-2019 04:06 PM,23-Aug-2019 04:15 PM,techsummary_44090.pdf (2882.38 KB),Er Anil Sharma,Internal,TA Supttd DHD DAO AE Dhaulakuan,Anil Kumar Sharma,31-Aug-2019 02:02 PM,finsummary_44090.pdf (103.78 KB),31-Aug-2019,"INR 629,288",90.0,Anil Kumar Sharma,31-Aug-2019 02:11 PM,JASEEMDR.pdf (678.00 KB),award,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,128633,hement,21-Aug-2019 03:43 PM,Rejected-AOC,3rd lowest,31-Aug-2019 02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,128359,imIMRAN SHAH,19-Aug-2019 12:25 PM,Rejected-AOC,5th lowest,31-Aug-2019 02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,128592,mohdjaseem,21-Aug-2019 09:15 AM,Accepted-AOC,1st lowest,31-Aug-2019 02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,128632,NASEEM AHMED,21-Aug-2019 03:18 PM,Rejected-AOC,2nd lowest,31-Aug-2019 02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,128647,NEERAJ KUMAR,21-Aug-2019 04:50 PM,Rejected-Technical,Non responsive,23-Aug-2019 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,128622,Nikhil,21-Aug-2019 02:01 PM,Rejected-Technical,Non Responsive,23-Aug-2019 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,128505,NITIN SHARMA,21-Aug-2019 01:41 PM,Rejected-AOC,4th lowest,31-Aug-2019 02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,128590,Rahul Chuhan,21-Aug-2019 07:52 AM,Rejected-AOC,6th lowest,31-Aug-2019 02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,128535,SANCHIT GOEL,20-Aug-2019 02:57 PM,Rejected-Technical,Non Responsive,23-Aug-2019 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,128604,SATISH KUMAR,21-Aug-2019 01:23 PM,Rejected-AOC,7th lowest,31-Aug-2019 02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,128568,WASIM ANSARI,20-Aug-2019 07:10 PM,Rejected-AOC,8th lowest,31-Aug-2019 02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
