Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,"32,740",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,500.0,EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,03-Jul-2019 05:00 PM,17-Jul-2019 11:30 AM,03-Jul-2019 05:00 PM,16-Jul-2019 05:00 PM,NA ,NA ,03-Jul-2019 05:00 PM,16-Jul-2019 05:00 PM,19-Jul-2019 03:45 PM,PWD,PWD CIVIL-1044-63-TANDA,2019_PWD_29094_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Additional/Alteration to Truma Centre in Dr. R.P.G.M. College at Tanda in Distt. Kangra (HP) (Deposit Work)(SH Construction of Ramp).,Additional/Alteration to Truma Centre in Dr. R.P.G.M. College at Tanda in Distt. Kangra (HP) (Deposit Work)(SH Construction of Ramp).,Please refer Tender documents. ,NA ,"16,82,229",Civil Works,NA ,Tender,120.0,120.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,AOC,1.0,124581.0,Parveen Kumar,15-Jul-2019 05:33 PM,Rejected-AOC,Lowest 2,05-Aug-2019 10:58 AM,Technical,Sum,Suresh Kumar Walia,19-Jul-2019 03:24 PM,technical_42967.pdf,1.0,124456.0,VENYA CONSTRUCTIONS AND SUPPLIER,INR,"2,020,662",Finance,sum,Suresh Kumar Walia,19-Jul-2019 04:12 PM,finance_42967.pdf,BOQ Comparative Chart,Dr Suresh Kumar Walia,Internal,Ravi bhushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,19-Jul-2019 03:33 PM,19-Jul-2019 03:45 PM,techsummary_42967.pdf (558.47 KB),PWD,2019_PWD_29094_2,PWD CIVIL-1044-63-TANDA,Additional/Alteration to Truma Centre in Dr. R.P.G.M. College at Tanda in Distt. Kangra (HP) (Deposit Work)(SH Construction of Ramp).,03-Aug-2019,"INR 2,020,662",120.0,Suresh Kumar Walia,05-Aug-2019 10:58 AM,Award.pdf.pdf (342.00 KB),Award,Dr Suresh Kumar Walia,Internal,Ravi Bhushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,19-Jul-2019 04:18 PM,finsummary_42967.pdf (558.47 KB),AOC
,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,2.0,124680.0,Saini,16-Jul-2019 01:49 PM,Rejected-AOC,Lowest 3,05-Aug-2019 10:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,124456.0,VENYA CONSTRUCTIONS AND SUPPLIER,14-Jul-2019 10:46 PM,Accepted-AOC,Lowest 1,05-Aug-2019 10:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
