S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
1.0,113822.0,shiv iron general engineers,INR,"12,665,767","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2019_HPIPH_27489_1,9275-9374 dated 15-02-2019,Providing LIS to village Pabor Kuftoo in GP Ser Tandula Tehsil Nohradhar Distt Sirmour,Superintending Engineer IPH Circle Nahan,Internal,EE D IPH Circle Nahan EE IPH Division Nohradhar AE IPH Circle Nahan CHD IPH Circle Nahan Work Assistant IPH Circle Nahan,Mohd. Arshad Rehman,16-Aug-2019 04:39 PM,finsummary_39198.pdf (10620.77 KB),Finance,Financial Bid,Mohd. Arshad Rehman,07-Mar-2019 05:35 PM,finance_39198.pdf,BOQ Comparative Chart,Technical,Technical Bid,Mohd. Arshad Rehman,07-Mar-2019 02:47 PM,technical_39198.pdf,16-Aug-2019,"INR 14,314,518",180.0,Mohd. Arshad Rehman,16-Aug-2019 04:58 PM,Award.pdf (239.00 KB),Work Award to MS Shiv Iron Nahan,Executive Engineer,Internal,Accounts Officer HDM Tender Assistant Suptd.,Mohd. Arshad Rehman,07-Mar-2019 03:04 PM,07-Mar-2019 04:00 PM,techsummary_39198.pdf (19.76 KB),1.0,117207.0,HYDRAULIC ENGINEERING COMPANY,05-Mar-2019 04:25 PM,Rejected-Finance,Reject,16-Aug-2019 04:38 PM,AOC,Providing LIS to village Pabor Kuftoo in GP Ser Tandula Tehsil Nohradhar Distt Sirmour,SH Site Development CO Pump house 1 No CO RCC Sump well 1 No CO RCC Delivery Tanks 2Nos Providing laying Jointing testing and commissioning of MSERW pipe line and laying Jointing testing and commissioning of GMS pipe line in Rising Mai,Please refer Tender documents. ,NA ,"78,96,141",Civil Works,NA ,Tender,120.0,180.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",9275-9374 dated 15-02-2019,2019_HPIPH_27489_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer IPH Division Nohradhar,"1,12,000",Yes,fixed,,EE Nohradhar,Nohradhar,1.0,Fee/PreQual/Technical,.pdf,Earnest money deposited Online/offline both mode and Exemption not allowed of Earnest money,"1,200",EE Nohradhar,Nohradhar,No,18-Feb-2019 05:00 PM,07-Mar-2019 11:30 AM,18-Feb-2019 05:00 PM,06-Mar-2019 11:00 AM,NA ,NA ,18-Feb-2019 05:00 PM,06-Mar-2019 11:00 AM,07-Mar-2019 04:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,117215.0,Sai Aqua Machines and Builders,06-Mar-2019 09:37 AM,Rejected-Finance,Reject,16-Aug-2019 04:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,113822.0,shiv iron general engineers,05-Mar-2019 06:37 PM,Accepted-AOC,Lowest bidder,16-Aug-2019 04:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint venture is not allowed,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF registration,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder completed similar 3 works cost not less then 40percent of estimate cost,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder completed two similar works less then 50 percent of estimated cost,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder completed one similar work costing less then 80 percent of estimated cost,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scand copy of undertaking,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
