Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
A/R and M/O Jatoli Damrog Solan road Km0/0 to 3/340,A/R and M/O Jatoli Damrog Solan road Km0/0 to 3/340 SH providing and Laying BC in Km1/00 to 3/340,Please refer Tender documents. ,NA ,"18,53,983",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,EE B and R Solan,EE B and R Division HPPWD Solan,500.0,EE B and R Solan,Solan,No,"35,400",No,fixed,,EE B and R Solan,EE Solan,01-Jun-2019 02:00 PM,13-Jun-2019 11:00 AM,01-Jun-2019 02:00 PM,13-Jun-2019 10:30 AM,NA ,NA ,01-Jun-2019 02:00 PM,13-Jun-2019 10:30 AM,13-Jun-2019 12:05 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,PWD,JatoliDamrog Solan road Km0/0 to 3/340,2019_PWD_29012_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC,Finance,Financial bid opening summary,Arvind Kumar,13-Jun-2019 12:26 PM,finance_42045.pdf,BOQ Comparative Chart,1.0,121534.0,naresh vij govt contractor,INR,"2,144,660",1.0,121534.0,naresh vij govt contractor,13-Jun-2019 06:41 AM,Accepted-AOC,Ok,14-Aug-2019 11:47 AM,Technical,Technical bid opening summary,Arvind Kumar,13-Jun-2019 11:57 AM,technical_42045.pdf,PWD,2019_PWD_29012_1,JatoliDamrog Solan road Km0/0 to 3/340,A/R and M/O Jatoli Damrog Solan road Km0/0 to 3/340,Arvind kumar sharma EE B and R Division HPPWD Solan,Internal,Shri Deepak Anand Senior DAO Solan shri Naresh Kumar HDM and Smt rekha kasyap Supdt Grade II PMGSY,Arvind Kumar,13-Jun-2019 12:00 PM,13-Jun-2019 12:05 PM,techsummary_42045.pdf (34.72 KB),Er Arvind Sharma EE B and R Division HPPWD Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh kumar HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,14-Aug-2019 11:45 AM,finsummary_42045.pdf (30.26 KB),14-Aug-2019,"INR 2,127,577",60.0,Arvind Kumar,14-Aug-2019 11:47 AM,Award.pdf (343.00 KB),Award of Contract,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,2.0,121533.0,Shubham Construction,13-Jun-2019 06:29 AM,Rejected-AOC,Ok,14-Aug-2019 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F Note wor,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18 Affidavit",,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder like to provide,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
