Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
10-Jul-2019 01:00 PM,30-Jul-2019 11:30 AM,10-Jul-2019 01:00 PM,29-Jul-2019 05:00 PM,NA ,NA ,10-Jul-2019 01:00 PM,29-Jul-2019 05:00 PM,06-Aug-2019 09:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F,PWD,PW-JND-B and R-EA-I-NIT- 4227-4326 dt.25.06.2019,2019_PWD_30099_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Special repair to Sainthal Bhala-Ka-Rihra Tikroo and Matroo to Bhatwara road Km 0/0 to 9/0,Providing and laying tarring in Km 0/700 to 1/700,As Per Bid Documents ,NA ,"6,89,851",Civil Works - Roads,NA ,Tender,120.0,31.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar","13,800",No,fixed,,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,350.0,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,No,1.0,DD - Demand Draft,AOC,Finance,summary,Bhag Mal Thakur,07-Aug-2019 05:13 PM,finance_43422.pdf,BOQ Comparative Chart,1.0,126104.0,Anil Kumar,INR,"967,050",1.0,126104.0,Anil Kumar,27-Jul-2019 10:26 AM,Accepted-AOC,L-1,28-Aug-2019 03:56 PM,Technical,summary,Bhag Mal Thakur,31-Jul-2019 12:57 PM,technical_43422.pdf,PWD,2019_PWD_30099_1,PW-JND-B and R-EA-I-NIT- 4227-4326 dt.25.06.2019,Special repair to Sainthal Bhala-Ka-Rihra Tikroo and Matroo to Bhatwara road Km 0/0 to 9/0,Er. B.M.Thakur,Internal,Supdt Head Draughtsman Division Accounts Officer Assistant Engineer,Bhag Mal Thakur,05-Aug-2019 05:19 PM,06-Aug-2019 09:00 AM,techsummary_43422.pdf (278.34 KB),Er. B.M.Thakur,Internal,AE JoginderNagar DAO HDM Supdt,Bhag Mal Thakur,07-Aug-2019 05:21 PM,finsummary_43422.pdf (371.94 KB),28-Aug-2019,"INR 967,050",31.0,Bhag Mal Thakur,28-Aug-2019 03:56 PM,AOC.pdf (432.00 KB),AOC,AOC
,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,2.0,126219.0,RAKESH SHARMA,29-Jul-2019 01:49 PM,Rejected-Finance,L-2,07-Aug-2019 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,GST Registration (General Rule No.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Permanent Account Number (PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
