Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Sum,Suresh Kumar Walia,01-Aug-2019 12:42 PM,technical_43216.pdf,1.0,125588.0,AMIT KUMAR SHARMA,22-Jul-2019 04:05 PM,Rejected-AOC,L5,30-Aug-2019 04:35 PM,Finance,Sum,Suresh Kumar Walia,02-Aug-2019 11:49 AM,finance_43216.pdf,BOQ Comparative Chart,1.0,125112.0,TEK CHAND BHARMORIA,INR,"673,229.55",30-Aug-2019,"INR 673,230",90.0,Suresh Kumar Walia,30-Aug-2019 04:35 PM,Award.pdf.pdf (345.00 KB),Award,Dr Suresh Kumar Walia,Internal,Er Baroh AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,02-Aug-2019 11:52 AM,finsummary_43216.pdf (293.63 KB),Dr Suresh Kumar Walia,Internal,Er Ankit AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,01-Aug-2019 12:44 PM,01-Aug-2019 02:00 PM,techsummary_43216.pdf (293.63 KB),PWD,2019_PWD_29915_2,PWD CIVIL-3064-93-TANDA,Construction of link road Dhiman Basti to village Bhorni in G.P. Jhikli Kothi Km 0/000 to 1/100 in Distt. Kangra (H.P.) Under SCSP (SH Providing and laying WBM Grade-1 and Cement concrete pavement at RD 0/400 to 0/600),AOC,06-Jul-2019 05:00 PM,23-Jul-2019 11:30 AM,06-Jul-2019 05:00 PM,22-Jul-2019 05:00 PM,NA ,NA ,06-Jul-2019 05:00 PM,22-Jul-2019 05:00 PM,01-Aug-2019 02:00 PM,"12,800",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,350.0,EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,1.0,DD - Demand Draft,Construction of link road Dhiman Basti to village Bhorni in G.P. Jhikli Kothi Km 0/000 to 1/100 in Distt. Kangra (H.P.) Under SCSP (SH Providing and laying WBM Grade-1 and Cement concrete pavement at RD 0/400 to 0/600),Construction of link road Dhiman Basti to village Bhorni in G.P. Jhikli Kothi Km 0/000 to 1/100 in Distt. Kangra (H.P.) Under SCSP (SH Providing and laying WBM Grade-1 and Cement concrete pavement at RD 0/400 to 0/600),Please refer Tender documents. ,NA ,"6,37,768",Civil Works,NA ,Tender,120.0,90.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,PWD,PWD CIVIL-3064-93-TANDA,2019_PWD_29915_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,2.0,125318.0,Gaurav Sharma,22-Jul-2019 03:04 PM,Rejected-AOC,L3,30-Aug-2019 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,AOC
,,,,,3.0,125530.0,M/s Chamunda Holo Blocks Industries,22-Jul-2019 04:18 PM,Rejected-AOC,L4,30-Aug-2019 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,AOC
,,,,,4.0,125502.0,Ravinder Kumar,22-Jul-2019 10:37 AM,Rejected-AOC,L2,30-Aug-2019 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,AOC
,,,,,5.0,125112.0,TEK CHAND BHARMORIA,22-Jul-2019 10:38 AM,Accepted-AOC,L1,30-Aug-2019 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
