S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,DD - Demand Draft,"Deputy Commissioner, Nagaon","O/o the Deputy Commissioner, Nagaon",17-Jan-2019 05:00 PM,08-Feb-2019 11:00 AM,17-Jan-2019 05:00 PM,07-Feb-2019 05:00 PM,NA ,NA ,17-Jan-2019 05:00 PM,07-Feb-2019 05:00 PM,08-Jul-2019 04:35 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,"2,000","The Deputy Commissioner, Nagaon",Nagaon,No,Food Civil Supplies and Consumer Affairs Department||Directorate of Food Civil Supplies and Consumer Affairs||Office of the FCS and CA Nagaon,NSG1/2019/2-10 dated 09-01-2019,2019_FCS_11159_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,E-Tender of NFSA Rice for Nagaon District,E-Tender for selection and appointment as Handling and Transport Conrator and Fixation of Rate for Transportation of Foodgrains under NFSA 13 for the financial year 2019-20,E-Tender of NFSA Rice for Nagaon District ,NA ,0.0,Miscellaneous Goods,Handling And Transport Of Nfsa Rice ,Tender,365.0,365.0,"Deputy Commissioner, Nagaon",782001.0,NA ,NA ,NA ,"O/o the Deputy Commissioner, Nagaon",No ,No,"1,00,000",No,fixed,,"The Deputy Commissioner, Nagaon",Nagaon,AOC,Finance,Minutes of Financial bid meeting,Dayal Ch. Talukdar,31-Jul-2019 04:06 PM,finance_17759.pdf,1,54419,Bikash Kumar More,07-Feb-2019 02:14 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Jul-2019 04:29 PM,Deputy Commissioner,Internal,,Dayal Ch. Talukdar,09-Aug-2019 01:59 PM,finsummary_17759.pdf (1257.86 KB),Technical,Technically accepted summury,Dayal Ch. Talukdar,08-Jul-2019 04:29 PM,technical_17759.pdf,"Deputy Commissioner, Nagaon",Internal,,Dayal Ch. Talukdar,08-Jul-2019 04:33 PM,08-Jul-2019 04:35 PM,techsummary_17759.pdf (2490.82 KB),1.0,Revocation Notice,Revocation Notice for e-tender of Nagaon District,08-Jul-2019 04:15 PM,Revoc_Minutes_Nagaon.pdf ,1004.3,Technical Opening,1.0,53818.0,NISHIKA ROADLINES,INR,50000000.0,31-Mar-2020,INR 121337791,365.0,Dayal Ch. Talukdar,09-Aug-2019 02:07 PM,AOC_Minutes.pdf (1258.00 KB),Approximate contract value of tender. It may be increase or dicrease.,Food Civil Supplies and Consumer Affairs Department||Directorate of Food Civil Supplies and Consumer Affairs||Office of the FCS and CA Nagaon,2019_FCS_11159_1,NSG1/2019/2-10 dated 09-01-2019,E-Tender of NFSA Rice for Nagaon District,AOC
,,,,,,,,,,,,,,,.pdf,Bidding document to be signed by bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,54540,INAMUL HOQUE CHOWDHURY,07-Feb-2019 11:57 AM,Accepted-AOC,Approximate awarded value of tender. It may be increase or dicrease.,09-Aug-2019 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,54455.0,UNIVERSAL TRANSPORT AGENCY,INR,0.0,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Technical Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,54533,intakhab alam,07-Feb-2019 04:25 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Jul-2019 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,54540.0,INAMUL HOQUE CHOWDHURY,INR,10334448.0,,,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.pdf,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4,54575,Md. Jakir Hussain,07-Feb-2019 04:52 PM,Accepted-AOC,Approximate awarded value of tender. It may be increase or dicrease.,09-Aug-2019 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,54543.0,PAIMAN AHMED,INR,10334448.0,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,5,53818,NISHIKA ROADLINES,07-Feb-2019 01:54 PM,Accepted-AOC,Approximate awarded value of tender. It may be increase or dicrease.,09-Aug-2019 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,54545.0,NURUL HOQUE,INR,10334448.0,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,6,54545,NURUL HOQUE,07-Feb-2019 12:25 PM,Accepted-AOC,Approximate awarded value of tender. It may be increase or dicrease.,09-Aug-2019 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,54546.0,Sristy Development Society,INR,30000000.0,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,7,54543,PAIMAN AHMED,07-Feb-2019 12:09 PM,Accepted-AOC,Approximate awarded value of tender. It may be increase or dicrease.,09-Aug-2019 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,54563.0,POOJA ASSOCIATES(CONTRACT DIVN),INR,10334448.0,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,8,54563,POOJA ASSOCIATES(CONTRACT DIVN),07-Feb-2019 02:38 PM,Accepted-AOC,Approximate awarded value of tender. It may be increase or dicrease.,09-Aug-2019 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,54575.0,Md. Jakir Hussain,INR,0.0,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,9,54546,Sristy Development Society,07-Feb-2019 12:50 PM,Accepted-AOC,Approximate awarded value of tender. It may be increase or dicrease.,09-Aug-2019 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,10,54426,SUBHSHREE INFRAA,06-Feb-2019 05:18 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Jul-2019 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,11,54455,UNIVERSAL TRANSPORT AGENCY,07-Feb-2019 01:39 PM,Accepted-AOC,Approximate awarded value of tender. It may be increase or dicrease.,09-Aug-2019 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,12,54571,Utsav Construction,07-Feb-2019 03:12 PM,Not Admitted-Finance,Not qualified for AOC,31-Jul-2019 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
