Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,C/O link road to vill. Amroh Km. 0/0 to 0/400,2019_PWD_28616_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,C/O link road to vill. Amroh Km. 0/0 to 0/400 from Amroh to Banal via Chowki Khad at RD. 0/200,SH C/O ROFD Improvement of grade C.D. work M/TV-Shape drain and Parapets in Km. 0/0 to 0/400,Please refer Tender documents. ,NA ,"13,97,920",Civil Works - Roads,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,25-Mar-2019 06:00 PM,02-Apr-2019 03:00 PM,25-Mar-2019 06:00 PM,01-Apr-2019 10:30 AM,NA ,NA ,25-Mar-2019 06:00 PM,01-Apr-2019 10:30 AM,09-Apr-2019 05:55 PM,500.0,EE Hamirpur,EE Hamirpur,No,"19,300",No,fixed,,EE Hamirpur,EE Hamirpur,EE Hamirpur,Executive Engineer HPPWD Hamirpur,AOC,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,09-Apr-2019 05:53 PM,09-Apr-2019 05:55 PM,techsummary_41197.pdf (894.47 KB),PWD,2019_PWD_28616_1,C/O link road to vill. Amroh Km. 0/0 to 0/400,C/O link road to vill. Amroh Km. 0/0 to 0/400 from Amroh to Banal via Chowki Khad at RD. 0/200,19-Aug-2019,"INR 1,078,454",90.0,Vivek Sharma,19-Aug-2019 03:49 PM,SumitThakur.pdf (1584.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,27-May-2019 11:02 AM,finsummary_41197.pdf (689.28 KB),Finance,Attached,Vivek Sharma,25-May-2019 03:25 PM,finance_41197.pdf,BOQ Comparative Chart,1.0,120202.0,sumeet contractor,INR,"1,129,183",1.0,120217.0,Gulam mohammad,31-Mar-2019 07:41 PM,Rejected-AOC,l2,19-Aug-2019 03:49 PM,Technical,Attached,Vivek Sharma,09-Apr-2019 05:51 PM,technical_41197.pdf,AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,120204.0,subhash chand,30-Mar-2019 09:15 PM,Rejected-AOC,l3,19-Aug-2019 03:49 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,120202.0,sumeet contractor,30-Mar-2019 07:13 PM,Accepted-AOC,l1,19-Aug-2019 03:49 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
