Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,20-Jul-2017 03:00 PM,09-Aug-2017 12:30 PM,21-Jul-2017 03:00 PM,08-Aug-2017 05:00 PM,NA ,NA ,21-Jul-2017 03:00 PM,08-Aug-2017 05:00 PM,26-Aug-2017 03:00 PM,"5,030",No,fixed,,EE Shillai,EE Shillai,PWD,CB/-T-17-18-2853-2952Dt4-7-17,2017_PWD_17230_5,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,EE Shillai,EE Shillai,350.0,EE Shillai,EE Shillai,No,1.0,DD - Demand Draft,Improvement of Narrow reaches and sharp curves on Manal Matiyana road Km 0/0 to 10/0,Retaining wall at RD 8/0 to 8/015) Under SCSP,Please refer to tender documents ,NA ,"2,51,408",Civil Works - Roads,NA ,Tender,90.0,NA ,Shillai,173027.0,NA ,NA ,NA ,EE Shillai,No ,No,AOC,Finance,Bid Opening Summary,Pramod Upreti,18-Sep-2017 02:16 PM,finance_23410.pdf,BOQ Comparative Chart,1.0,65214.0,Uday Singh,INR,"327,294",1.0,65272.0,bhajan singh,08-Aug-2017 01:47 PM,Rejected-Technical,Not qualify,26-Aug-2017 12:12 PM,Technical,Bid Opening Summary,Pramod Upreti,26-Aug-2017 12:01 PM,technical_23410.pdf,PWD,2017_PWD_17230_5,CB/-T-17-18-2853-2952Dt4-7-17,Improvement of Narrow reaches and sharp curves on Manal Matiyana road Km 0/0 to 10/0,Er. Upreti,Internal,Er.Ragubir Chauhan Anil Jaswal Chandan Khajan Singh,Pramod Upreti,26-Aug-2017 12:12 PM,26-Aug-2017 03:00 PM,techsummary_23410.pdf (95.13 KB),EE Shillai,Internal,"AE Shillai, DAO, DHD, Supdt. TA",Pramod Upreti,06-Aug-2019 11:16 AM,finsummary_23410.pdf (58.38 KB),06-Aug-2019,"INR 251,408",90.0,Pramod Upreti,06-Aug-2019 11:29 AM,73.pdf (316.00 KB),Award letter,AOC
,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,65262.0,Geeta Ram,08-Aug-2017 01:14 PM,Rejected-Finance,Not lowest,06-Aug-2019 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,65195.0,RAVINDER SINGH,07-Aug-2017 06:08 PM,Rejected-Technical,Not qualify,26-Aug-2017 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,65214.0,Uday Singh,08-Aug-2017 08:04 AM,Accepted-AOC,lowest,06-Aug-2019 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,65220.0,Virender Kumar,08-Aug-2017 08:12 AM,Rejected-Technical,Not qualify,26-Aug-2017 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy List of machinery toolplant alongwith proof ownership/Affidavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
