Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla,2019_BBNDA_29948_1,BBNDA-06(PROJECT) NIT/8500-10 DATED 05.07.2019,C/o L/R (R/wall) village kaonwali to Playground,1.0,125910.0,YOGESH GOVT.CONTRACTOR,INR,"548,697",Addl. CEO,Internal,EE,Bishan Dass,29-Aug-2019 02:20 PM,finsummary_43261.pdf (192.24 KB),Technical,Technical Summary,Bishan Dass,09-Aug-2019 03:32 PM,technical_43261.pdf,Finance,Financial summary,Bishan Dass,29-Aug-2019 02:08 PM,None,BOQ Comparative Chart,30-Aug-2019,"INR 695,968",60.0,Bishan Dass,30-Aug-2019 02:05 PM,yOGESHkUMAR.pdf (488.00 KB),AOC,1,125785,AMANDEEP KALIA GOVT. CONTRACTOR,23-Jul-2019 11:11 PM,Rejected-Finance,Reject,29-Aug-2019 02:20 PM,Addl. CEO,Internal,EE,Bishan Dass,09-Aug-2019 03:50 PM,09-Aug-2019 03:55 PM,techsummary_43261.pdf (293.64 KB),AOC,Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla,BBNDA-06(PROJECT) NIT/8500-10 DATED 05.07.2019,2019_BBNDA_29948_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/o L/R (R/wall) village kaonwali to Playground,C/o L/R (R/wall) village kaonwali to Playground,Please refer Tender documents. ,NA ,"6,95,968",Civil Works - Roads,NA ,Tender,90.0,60.0,NALAGARH,174101.0,NA ,NA ,NA ,BBNDA BADDI,No ,No,1.0,FDR - Fixed Deposit,11-Jul-2019 05:00 PM,26-Jul-2019 02:30 PM,11-Jul-2019 05:00 PM,24-Jul-2019 05:00 PM,11-Jul-2019 05:00 PM ,24-Jul-2019 04:00 PM ,11-Jul-2019 05:00 PM,24-Jul-2019 05:00 PM,09-Aug-2019 03:55 PM,EE BBNDA BADDI,BBNDA BADDI,350.0,EE BBNDA BADDI,BBNDA BADDI,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"14,000",No,fixed,,EE BBNDA BADDI,BBNDA BADDI,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,125905,BHAJAN SINGH,24-Jul-2019 03:34 PM,Rejected-Finance,Reject,29-Aug-2019 02:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,125846,DILWAR GOVT CONTRACTOR,24-Jul-2019 04:08 PM,Rejected-Finance,Reject,29-Aug-2019 02:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,125855,gobind sahib enterprises,24-Jul-2019 01:21 PM,Rejected-Finance,Reject,29-Aug-2019 02:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,125690,Jagtar Singh,24-Jul-2019 03:07 PM,Rejected-Finance,Reject,29-Aug-2019 02:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,125518,jaswinder singh rana,22-Jul-2019 11:04 AM,Rejected-Finance,Reject,29-Aug-2019 02:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,125495,LAJJA RAM,24-Jul-2019 04:40 PM,Rejected-AOC,Reject,30-Aug-2019 02:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,125593,MADAN SINGH (Govt. Contractor),22-Jul-2019 04:22 PM,Rejected-Finance,Reject,29-Aug-2019 02:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,125869,MAHINDER SINGH,24-Jul-2019 02:09 PM,Rejected-Finance,Reject,29-Aug-2019 02:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,125730,mustak,23-Jul-2019 05:20 PM,Rejected-Finance,Reject,29-Aug-2019 02:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
