Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Supdt. Sh. Ajya Mahajan HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Koti TA,Subhash Chander,16-Aug-2019 03:44 PM,finsummary_38680.pdf (45.15 KB),PWD,2019_PWD_27172_25,26401-50 dated 05-02-2019,Annual Maintenance Plan (AMP) of Gaggal Sub Division for the year 2019-2020 Rural Road Charri to Jhikli Ansuie Road (HP0413VR048) km. 1/0 to 2/0),16-Aug-2019,"INR 646,645",30.0,Subhash Chander,16-Aug-2019 03:48 PM,Award.pdf (193.00 KB),Award,1.0,115525.0,Rakesh Mahajan Govt Contractor,INR,"846,550",Technical,Opened,Subhash Chander,13-May-2019 12:19 PM,technical_38680.pdf,Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Supdt. Sh. Ajya Mahajan HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,15-May-2019 11:50 AM,15-May-2019 11:55 AM,techsummary_38680.pdf (116.40 KB),1.0,115525.0,Rakesh Mahajan Govt Contractor,26-Feb-2019 05:26 PM,Accepted-AOC,Award,16-Aug-2019 03:48 PM,Finance,Opened,Subhash Chander,16-Aug-2019 03:42 PM,finance_38680.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,14-Feb-2019 10:00 AM,28-Feb-2019 11:30 AM,14-Feb-2019 10:00 AM,28-Feb-2019 11:00 AM,NA ,NA ,14-Feb-2019 10:00 AM,28-Feb-2019 11:00 AM,15-May-2019 11:55 AM,350.0,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,Annual Maintenance Plan (AMP) of Gaggal Sub Division for the year 2019-2020 Rural Road Charri to Jhikli Ansuie Road (HP0413VR048) km. 1/0 to 2/0),(SH- P/L 25mm thick bituminous concrete in km. 1/0 to 2/0),Please refer Tender documents. ,NA ,"6,46,645",Civil Works - Roads,NA ,Tender,120.0,30.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,PWD,26401-50 dated 05-02-2019,2019_PWD_27172_25,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra","12,950",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tool plant shown in schedule-F (Sr. No. 6.19)Refer clause-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,GST Number (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,EPF Number shown in General Rule and Direction 25(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand within circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Ownership of HMP (No affidavit/undertaking will be entertained),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Ownership of hydrostatic paver finisher with sensor control(No Aff./undertaking will be entertained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
