EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"1,65,600",No,fixed,,EE Shillai,Shillai,Executive Engineer,"Executive Engineer, HPPWD Division Shillai",PWD,SHILLAI-6039-6139-I,2016_PWD_13123_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Construction of CHC Level-IV building at Shillai in Distt. Sirmour (H.P.),"C/O Building portion, WS and SI, rain water Harvesting tank, counter fort R/wall in RCC, Stone masonry and PCC boundary wall and C/o site development/cutting in earth work to level the ground",As Per Bidding Document ,NA ,"1,33,06,188",Civil Works - Buildings,NA ,Tender,120.0,545.0,Shillai,173027.0,NA ,NA ,NA ,HPPWD Division Shillai,No ,No,29-Sep-2016 01:00 PM,19-Oct-2016 11:30 AM,29-Sep-2016 03:00 PM,18-Oct-2016 05:00 PM,NA ,NA ,29-Sep-2016 03:00 PM,18-Oct-2016 05:00 PM,11-Nov-2016 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,"5,000",EE Shillai,Shillai,No,AOC,1.0,46120.0,H C Bansal Engg. & Contt.,17-Oct-2016 10:53 AM,Rejected-Finance,Not lowest,06-Aug-2019 03:55 PM,Technical,Bid Opening Summary,Rajinder Singh Chandel,19-Oct-2016 01:05 PM,technical_17031.pdf,PWD,2016_PWD_13123_1,SHILLAI-6039-6139-I,Construction of CHC Level-IV building at Shillai in Distt. Sirmour (H.P.),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,AOC,2.0,46178.0,LAL SINGH CHAUHAN,18-Oct-2016 02:30 PM,Rejected-Technical,does not meet the minimum qualification criteria,09-Nov-2016 03:21 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,,,,,AOC,3.0,45959.0,Yogesh Awasthy,17-Oct-2016 11:37 AM,Accepted-AOC,lowest,06-Aug-2019 03:59 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SALES TAX/VAT REGISTRATION,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATE AND LIST OF WORK IN HAND CERTIFICATE,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMPLOYEES PROVIDENT FUND NUMBER,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING CAPACITY/ C.A. ANNUAL REPORT,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY IN XLS FORMAT,,,,,AOC,,,,,,,,,,,,,,,,,AOC
