Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Attached,Vivek Sharma,25-May-2019 04:54 PM,finance_41200.pdf,BOQ Comparative Chart,1.0,120207.0,Nitin Patial,INR,"3,919,932",Technical,Attached,Vivek Sharma,09-Apr-2019 05:29 PM,technical_41200.pdf,1.0,120207.0,Nitin Patial,31-Mar-2019 01:11 PM,Accepted-AOC,l1,19-Aug-2019 03:36 PM,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,27-May-2019 09:39 AM,finsummary_41200.pdf (617.79 KB),19-Aug-2019,"INR 3,269,052",180.0,Vivek Sharma,19-Aug-2019 03:36 PM,NitinAwardletter.pdf (1563.00 KB),Award,PWD,2019_PWD_28619_1,C/O link road from Burnwar to Lower Saster,C/O link road from Burnwar to Lower Saster in GP Daruhi Km. 0/0 to 2/0,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,09-Apr-2019 05:32 PM,09-Apr-2019 05:35 PM,techsummary_41200.pdf (899.74 KB),AOC,500.0,EE Hamirpur,EE Hamirpur,No,C/O link road from Burnwar to Lower Saster in GP Daruhi Km. 0/0 to 2/0,SH C/O 5/7 mtr wide road formation cutting CD in Km. 0/0 to 1/500 ROFD AND R/Wall of various RDs,Please refer Tender documents. ,NA ,"23,33,411",Civil Works - Roads,NA ,Tender,60.0,180.0,AMIRPUR,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,DD - Demand Draft,PWD,C/O link road from Burnwar to Lower Saster,2019_PWD_28619_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Executive Engineer HPPWD Hamirpur,26-Mar-2019 09:00 AM,02-Apr-2019 03:00 PM,26-Mar-2019 09:00 AM,01-Apr-2019 10:30 AM,NA ,NA ,26-Mar-2019 09:00 AM,01-Apr-2019 10:30 AM,09-Apr-2019 05:35 PM,"42,600",No,fixed,,EE Hamirpur,EE Hamirpur,AOC
,,,,,,,,,,,,,,,,2.0,120210.0,saurab katoch,31-Mar-2019 01:47 PM,Rejected-AOC,l2,19-Aug-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
