Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage
01-Aug-2019,"INR 498,985.81",180.0,Naresh Raj Chandel,01-Aug-2019 02:31 PM,AOCDhawalExamHall.pdf (2642.00 KB),Work awarded.,Executive Engineer B and R Divn Sundernagar,Internal,DAO Gr-I HDM Supdt.,Naresh Raj Chandel,01-Aug-2019 02:10 PM,finsummary_42327.pdf (2642.47 KB),Executive Engineer HPPWD Sundernagar,Internal,Assistant Engineer Dehar Divisional Account Officer Gr-I HDM Supdt. (Tender),Naresh Raj Chandel,30-Jun-2019 02:33 PM,01-Jul-2019 11:00 AM,techsummary_42327.pdf (4027.38 KB),PWD,2019_PWD_29226_1,PW-SNR-CB-E-Tender/18-2044-55 dt 30.05.19,Construction of Examination Hall building at Govt. Sen. Secondary School Dhawal in Tehsil Sundernagar,Technical,TechnicalBidOpeningSummary,Naresh Raj Chandel,29-Jun-2019 12:37 PM,technical_42327.pdf,1.0,123028.0,ANIL KUMAR,26-Jun-2019 03:07 PM,Rejected-Technical,Being Non-Responsive,30-Jun-2019 02:33 PM,Finance,FBOS,Naresh Raj Chandel,02-Jul-2019 11:48 AM,finance_42327.pdf,BOQ Comparative Chart,1.0,122934.0,RAJEESH kUMAR,INR,"498,986",AOC,10-Jun-2019 01:00 PM,28-Jun-2019 11:00 AM,10-Jun-2019 01:00 PM,27-Jun-2019 06:00 PM,NA ,NA ,10-Jun-2019 01:30 PM,27-Jun-2019 06:00 PM,01-Jul-2019 11:00 AM,1.0,DD - Demand Draft,PWD,PW-SNR-CB-E-Tender/18-2044-55 dt 30.05.19,2019_PWD_29226_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"10,500",No,fixed,,EE Sundernagar,Sundernagar,350.0,EE Sundernagar,Sundernagar,No,Construction of Examination Hall building at Govt. Sen. Secondary School Dhawal in Tehsil Sundernagar,SH Construction of building portion.,As per bid document ,NA ,"5,11,471",Civil Works - Buildings,NA ,Tender,120.0,180.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,1.0,All tenders due for bid submission closing on 26-June-2018 Between 09.00 Hrs and 18.55 Hrs IST are extended by 24 hours.,Admin Corrigendum Date Extend,,Executive Engineer,Sunder Nagar Division HPPWD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123011.0,Baldev Bansal,26-Jun-2019 11:47 AM,Rejected-AOC,not found lowest,01-Aug-2019 02:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,122968.0,KAMAL KUMAR,25-Jun-2019 10:04 PM,Rejected-AOC,not found lowest,01-Aug-2019 02:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,122934.0,RAJEESH kUMAR,26-Jun-2019 01:06 PM,Accepted-AOC,Found lowest,01-Aug-2019 02:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,122970.0,Raj Kumar,25-Jun-2019 05:53 PM,Rejected-AOC,not found lowest,01-Aug-2019 02:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,122876.0,Vineet Kumar,26-Jun-2019 10:34 AM,Rejected-AOC,not found lowest,01-Aug-2019 02:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
