S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Stage
1.0,123756.0,Anand Enterprises,INR,"14,500,770",Finance,Bid opening summary,Paresh Chauhan,10-Jul-2019 09:15 AM,finance_42563.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Raj Kumar Verma,09-Jul-2019 11:05 AM,technical_42563.pdf,1.0,123756.0,Anand Enterprises,05-Jul-2019 11:41 AM,Accepted-AOC,L1,14-Aug-2019 01:33 PM,14-Aug-2019,"INR 22,691,000",60.0,Paresh Chauhan,14-Aug-2019 01:33 PM,29407-1.pdf (769.00 KB),AOC,E.E,Internal,"Sh. R.L. Sharma, Sh. R.S Thakur. Sh. G.R Thakur",Paresh Chauhan,14-Aug-2019 01:20 PM,finsummary_42563.pdf (320.70 KB),ER.A.K.SONI,External,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Raj Kumar Verma,10-Jul-2019 08:48 AM,10-Jul-2019 09:00 AM,techsummary_42563.pdf (260.17 KB),PWD,2019_PWD_29407_1,SD-III-CB-Tender/2019-20-2346 dated 25-05-2019,Furnishing of Circuit House at Willys Park Shimla (SH- Providing and fixing Furniture articles.),AOC,"2,60,000",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,1.0,Corrigendum,Date,,15-Jun-2019 05:00 PM,08-Jul-2019 05:00 PM,15-Jun-2019 05:00 PM,06-Jul-2019 05:00 PM,NA ,NA ,15-Jun-2019 05:00 PM,06-Jul-2019 05:00 PM,10-Jul-2019 09:00 AM,"5,000","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",PWD,SD-III-CB-Tender/2019-20-2346 dated 25-05-2019,2019_PWD_29407_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3),Furnishing of Circuit House at Willys Park Shimla (SH- Providing and fixing Furniture articles.),Furnishing of Circuit House at Willys Park Shimla (SH- Providing and fixing Furniture articles.),As per Bidding Documents ,NA ,"2,26,91,000",Civil Works,NA ,Tender,120.0,60.0,Willys Park Chaura Maidan Shimla,171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,123782.0,ASHOKA FURNITURE PVT LTD,04-Jul-2019 06:04 PM,Rejected-AOC,L3,14-Aug-2019 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per schedule F (6.5),,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,122478.0,KUBER HOMES,27-Jun-2019 11:08 AM,Rejected-AOC,L2,14-Aug-2019 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,123881.0,METHODEX SYSTEMS PVT LTD,06-Jul-2019 11:28 AM,Rejected-AOC,L5,14-Aug-2019 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,123912.0,Royal Safe Comapny KB,06-Jul-2019 11:02 AM,Rejected-AOC,L4,14-Aug-2019 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration as per General Rule No 21 (in H.P.) Copy of Tin No.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,AOC
