Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 11:21 AM,finsummary_36609.pdf (253.13 KB),19-Aug-2019,"INR 1,094,672",90.0,Vivek Sharma,19-Aug-2019 01:35 PM,NH-70Awardletter.pdf (1402.00 KB),Award,PWD,2019_PWD_26014_1,C/O link road from NH-70 to Jateri via Panteri,C/O link road from NH-70 to Jateri via Panteri Km 0/0 to 0/500,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,04-Feb-2019 10:34 AM,05-Feb-2019 11:00 AM,techsummary_36609.pdf (1513.13 KB),Technical,Attached,Vivek Sharma,02-Feb-2019 09:14 PM,technical_36609.pdf,1.0,109118.0,ankush kapil,24-Jan-2019 07:53 AM,Rejected-AOC,l2,19-Aug-2019 01:35 PM,Finance,Attached,Dev Raj,14-Apr-2019 06:18 AM,finance_36609.pdf,BOQ Comparative Chart,1.0,108970.0,BRAHM DASS GOVT CONTRACTOR,INR,"1,094,672",AOC,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,350.0,EE Hamirpur,EE Hamirpur,No,PWD,C/O link road from NH-70 to Jateri via Panteri,2019_PWD_26014_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"22,900",No,fixed,,EE Hamirpur,EE Hamirpur,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,DD - Demand Draft,C/O link road from NH-70 to Jateri via Panteri Km 0/0 to 0/500,SH C/O Retaining walls and C.D. works on various RDs,Please refer Tender documents. ,NA ,"11,01,576",Civil Works - Roads,NA ,Tender,60.0,90.0,Panteri,177002.0,NA ,NA ,NA ,Hamirpur,No ,No,17-Jan-2019 09:00 AM,24-Jan-2019 11:30 AM,17-Jan-2019 09:00 AM,24-Jan-2019 10:30 AM,NA ,NA ,17-Jan-2019 09:00 AM,24-Jan-2019 10:30 AM,05-Feb-2019 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,109129.0,BALAL,23-Jan-2019 07:15 PM,Rejected-AOC,l4,19-Aug-2019 01:35 PM,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,109180.0,BISHAV SHAMA,24-Jan-2019 10:19 AM,Rejected-AOC,l3,19-Aug-2019 01:35 PM,,,,,,,,,,,,AOC,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,108970.0,BRAHM DASS GOVT CONTRACTOR,22-Jan-2019 03:12 PM,Accepted-AOC,l1,19-Aug-2019 01:35 PM,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,109181.0,Gulam mohammad,24-Jan-2019 10:27 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Feb-2019 09:14 PM,,,,,,,,,,,,AOC,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,109156.0,M/s Madan Chaudhary Cont-,23-Jan-2019 11:15 PM,Rejected-AOC,l6,19-Aug-2019 01:35 PM,,,,,,,,,,,,AOC,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,109140.0,RAVINDER KUMAR GOVT. CONTRACTOR,23-Jan-2019 07:54 PM,Rejected-Technical,Rejected,04-Feb-2019 10:34 AM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,109161.0,sumeet contractor,24-Jan-2019 05:37 AM,Rejected-AOC,l5,19-Aug-2019 01:35 PM,,,,,,,,,,,,AOC,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
