Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Sum,Suresh Kumar Walia,29-Jul-2019 04:28 PM,None,BOQ Comparative Chart,1.0,124463.0,VENYA CONSTRUCTIONS AND SUPPLIER,INR,"2,804,429.21",Technical,Sum,Suresh Kumar Walia,26-Jul-2019 04:36 PM,technical_43194.pdf,1.0,124861.0,Ankit Garg,17-Jul-2019 05:38 PM,Rejected-AOC,L2,30-Aug-2019 04:29 PM,30-Aug-2019,"INR 2,740,642",180.0,Suresh Kumar Walia,30-Aug-2019 04:29 PM,Award.pdf.pdf (448.00 KB),Award,Dr Suresh Kumar Walia,Internal,Er Ravi Bushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,29-Jul-2019 04:32 PM,finsummary_43194.pdf (648.41 KB),Dr Suresh Kumar Walia,Internal,Er Ravi Bhushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,26-Jul-2019 04:44 PM,26-Jul-2019 04:50 PM,techsummary_43194.pdf (648.41 KB),PWD,2019_PWD_29891_4,PWD CIVIL-3034-63-TANDA,"Special repair to Ravi Nursing Hostel on Dr. RPGMC Tanda in Distt. Kangra (H.P.). (SH Repair to plaster in pacthes, dismantling tile floor, aluminum work, painting putty, WS and SI etc)",AOC,"1,500",EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,No,1.0,DD - Demand Draft,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,PWD,PWD CIVIL-3034-63-TANDA,2019_PWD_29891_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,04-Jul-2019 05:50 PM,19-Jul-2019 11:30 AM,04-Jul-2019 05:50 PM,18-Jul-2019 05:50 PM,NA ,NA ,04-Jul-2019 05:50 PM,18-Jul-2019 05:50 PM,26-Jul-2019 04:50 PM,"52,950",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"Special repair to Ravi Nursing Hostel on Dr. RPGMC Tanda in Distt. Kangra (H.P.). (SH Repair to plaster in pacthes, dismantling tile floor, aluminum work, painting putty, WS and SI etc)","Special repair to Ravi Nursing Hostel on Dr. RPGMC Tanda in Distt. Kangra (H.P.). (SH Repair to plaster in pacthes, dismantling tile floor, aluminum work, painting putty, WS and SI etc)",Please refer Tender documents. ,NA ,"29,99,478",Civil Works,NA ,Tender,120.0,180.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,125117.0,Arun Kumar,18-Jul-2019 05:31 PM,Rejected-AOC,L5,30-Aug-2019 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,125073.0,Kapil Sharma,18-Jul-2019 02:55 PM,Rejected-AOC,L6,30-Aug-2019 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,124122.0,Megh Chand Rana,09-Jul-2019 05:52 PM,Rejected-AOC,L3,30-Aug-2019 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,124821.0,Nil,17-Jul-2019 03:19 PM,Rejected-AOC,L4,30-Aug-2019 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,124463.0,VENYA CONSTRUCTIONS AND SUPPLIER,17-Jul-2019 10:16 AM,Accepted-AOC,L1,30-Aug-2019 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
