Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Tender Stage
ErPardeepKumarBhardwaj,Internal,Sh AmarSinghVermaHDMShManojkumarsupdtGRthakurSrDAO,Pradeep Kumar Bhardwaj,03-Aug-2019 01:35 PM,finsummary_36754.pdf (657.87 KB),03-Aug-2019,"INR 663,051,104",730.0,Pradeep Kumar Bhardwaj,03-Aug-2019 01:41 PM,AOC26088_1.pdf (2233.00 KB),AOC,PWD,2019_PWD_26088_1,SD-I-CTR-18-24504 dt 8-1-19,Construction of Art Block of Govt Degree college at koti Tehsil and District Shimla HP,ErPardeepKumarBhardwaj,Internal,Sh AmarSinghVermaHDMShManojKumarsupdtGeetaGRThakurSrDAO,Rajeev Shaunak,02-Mar-2019 11:33 AM,05-Mar-2019 11:00 AM,techsummary_36754.pdf (808.39 KB),Technical,Bid opening summary,Pradeep Kumar Bhardwaj,07-Feb-2019 11:50 AM,technical_36754.pdf,1.0,111073.0,Ajay Kuthiala,05-Feb-2019 11:59 PM,Rejected-Finance,4th Lowest,03-Aug-2019 01:35 PM,1.0,111020.0,M/s Lakshay Construction,INR,"75,107,766",Finance,Bid opening summary,Rajeev Shaunak,06-Mar-2019 12:09 PM,finance_36754.pdf,BOQ Comparative Chart,AOC,"5,000",Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,No,"5,00,000",No,fixed,,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,PWD,SD-I-CTR-18-24504 dt 8-1-19,2019_PWD_26088_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,23-Jan-2019 06:00 PM,07-Feb-2019 11:00 AM,23-Jan-2019 06:00 PM,06-Feb-2019 10:30 AM,NA ,NA ,23-Jan-2019 06:00 PM,06-Feb-2019 10:30 AM,05-Mar-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),Construction of Art Block of Govt Degree college at koti Tehsil and District Shimla HP,"SH Construction of Building Portion with Civil work Water supply and installation site Development Rain harvesting storage tank, septic tank and Soak pit)",As per SBD ,NA ,"6,63,05,104",Civil Works,NA ,Tender,120.0,730.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-I HPPWD Shimla-3,No ,No,1.0,DD - Demand Draft,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,111008.0,", D.S.Rathore",05-Feb-2019 06:10 PM,Rejected-Finance,2nd Lowest,03-Aug-2019 01:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,110565.0,GURCHARAN INDUSTRIES,04-Feb-2019 03:43 PM,Rejected-Finance,5th Lowest,03-Aug-2019 01:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,111020.0,M/s Lakshay Construction,05-Feb-2019 06:37 PM,Accepted-AOC,Awarded,03-Aug-2019 01:41 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,110891.0,rajesh kumar suman,05-Feb-2019 06:09 PM,Rejected-Finance,3rd Lowest,03-Aug-2019 01:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,111005.0,Rajesh Thakur,05-Feb-2019 06:40 PM,Rejected-Technical,no,02-Mar-2019 11:33 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,AOC
