Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
07-Aug-2019,"INR 880,460",90.0,Naresh Raj Chandel,07-Aug-2019 02:10 PM,AOC.pdf (2653.00 KB),Work awarded to lowest responsive bidder.,D.R. Chauhan Executive Engineer,Internal,DAO Gr-I HDM Superintendent Gr-II,Naresh Raj Chandel,07-Aug-2019 02:06 PM,finsummary_42326.pdf (2652.84 KB),Executive Engineer HPPWD Sundernagar,Internal,Assistant Engineer Dehar Divisional Accounts Officer Gr-I HDM Supdr (Tender),Naresh Raj Chandel,30-Jun-2019 02:38 PM,01-Jul-2019 11:00 AM,techsummary_42326.pdf (4421.98 KB),PWD,2019_PWD_29225_1,PW-SNR-CB-E-Tender/18-2044-55 dt 30.05.19,"Special Repair to Veterinary Hospital building at Dehar in Tehsil Sundernagar, Distt. Mandi (HP)",1.0,122875.0,Vineet Kumar,INR,"880,460",Finance,Fin.bidOpenignSummary,Naresh Raj Chandel,02-Jul-2019 11:44 AM,finance_42326.pdf,BOQ Comparative Chart,Technical,BOS,Naresh Raj Chandel,29-Jun-2019 12:36 PM,technical_42326.pdf,1.0,122488.0,AKSHAY KUMAR,22-Jun-2019 03:13 PM,Rejected-Technical,Being Non-Responsive,30-Jun-2019 02:38 PM,AOC,10-Jun-2019 01:00 PM,28-Jun-2019 11:00 AM,10-Jun-2019 01:00 PM,27-Jun-2019 06:00 PM,NA ,NA ,10-Jun-2019 01:00 PM,27-Jun-2019 06:00 PM,01-Jul-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"Special Repair to Veterinary Hospital building at Dehar in Tehsil Sundernagar, Distt. Mandi (HP)",SH Providing Fixing prepainted sheet roofing over steel truss and A.C. sheet in ceiling etc.,As per tender documents ,NA ,"9,00,095",Civil Works,NA ,Tender,120.0,90.0,Sundernagar,175018.0,NA ,NA ,NA ,E.E. Sunder Nagar Division HPPWD,No ,No,350.0,EE Sundernagar,Sundernagar,No,1.0,All tenders due for bid submission closing on 26-June-2018 Between 09.00 Hrs and 18.55 Hrs IST are extended by 24 hours.,Admin Corrigendum Date Extend,,Executive Engineer,Sunder Nagar Division HPPWD,1.0,DD - Demand Draft,"18,000",No,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-CB-E-Tender/18-2044-55 dt 30.05.19,2019_PWD_29225_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123016.0,Baldev Bansal,26-Jun-2019 12:09 PM,Rejected-AOC,not found lowest.,07-Aug-2019 02:10 PM,AOC,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,122958.0,Hukam Chand,25-Jun-2019 04:42 PM,Rejected-AOC,not found lowest.,07-Aug-2019 02:10 PM,AOC,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,122966.0,KAMAL KUMAR,25-Jun-2019 10:03 PM,Rejected-AOC,not found lowest.,07-Aug-2019 02:10 PM,AOC,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,123026.0,suresh kumar,26-Jun-2019 03:04 PM,Rejected-AOC,not found lowest.,07-Aug-2019 02:10 PM,AOC,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,122982.0,Tek Chand,26-Jun-2019 07:53 AM,Rejected-AOC,not found lowest.,07-Aug-2019 02:10 PM,AOC,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,122875.0,Vineet Kumar,26-Jun-2019 10:31 AM,Accepted-AOC,Being lowest.,07-Aug-2019 02:10 PM,AOC,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,122964.0,VIRENDER KUMAR,25-Jun-2019 05:20 PM,Rejected-AOC,not found lowest.,07-Aug-2019 02:10 PM,AOC,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
