S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,115003.0,SURESH THAKUR GOV CONT,INR,"840,573",Finance,Attached,Vivek Sharma,25-May-2019 05:29 PM,finance_39179.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,27-Feb-2019 05:38 PM,technical_39179.pdf,1.0,114958.0,ANKITA DUBEY GOVT. CONTRACTOR,24-Feb-2019 06:59 AM,Rejected-Technical,Rejected,02-Mar-2019 05:32 PM,19-Aug-2019,"INR 632,288",30.0,Vivek Sharma,19-Aug-2019 01:47 PM,AwardletterSuresh.pdf (822.00 KB),Award,EEHamirpur,Internal,SupdtSrDAOAEtoEEHDM,Dev Raj,26-May-2019 04:00 PM,finsummary_39179.pdf (714.66 KB),EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,02-Mar-2019 05:32 PM,02-Mar-2019 05:35 PM,techsummary_39179.pdf (261.14 KB),PWD,2019_PWD_27512_1,A/R and M/O Excise and Taxation Department,A/R and M/O Excise and Taxation Department,AOC,18-Feb-2019 06:00 PM,25-Feb-2019 03:00 PM,18-Feb-2019 06:00 PM,25-Feb-2019 10:30 AM,NA ,NA ,18-Feb-2019 06:00 PM,25-Feb-2019 10:30 AM,02-Mar-2019 05:35 PM,350.0,EE Hamirpur,EE Hamirpur,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,A/R and M/O Excise and Taxation Department,2019_PWD_27512_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"10,800",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,DD - Demand Draft,A/R and M/O Excise and Taxation Department,A/R and M/O Excise and Taxation Department at Hamirpur SH Providing and fixing aluminum partition in Hall No 1 and II and install rack with Almirahs balance Deposit work,Please refer Tender documents. ,NA ,"5,39,931",Civil Works - Buildings,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,115093.0,RAJNI GOSAIN,24-Feb-2019 07:55 PM,Rejected-Technical,Rejected,02-Mar-2019 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,115026.0,saurab katoch,24-Feb-2019 03:42 PM,Rejected-AOC,l2,19-Aug-2019 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,115075.0,Shubham Kapil,24-Feb-2019 07:09 PM,Rejected-Technical,Rejected,02-Mar-2019 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,115003.0,SURESH THAKUR GOV CONT,24-Feb-2019 02:34 PM,Accepted-AOC,l1,19-Aug-2019 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,115054.0,VIKAS KHAJURIA GOVT CONT,24-Feb-2019 06:36 PM,Rejected-Technical,Rejected,02-Mar-2019 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
