Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
HP SIDC Limited,2020_SIDC_40473_1,job No. 1,Construction of New Academic Block (Block-I and Block-II) in Govt. College Una (HP).,SE,Internal,"DM, AE(HQ), Dy. Manager(P) EE(HQ)",Sushant Singh Negi,09-Oct-2020 12:00 PM,finsummary_59727.pdf (376.24 KB),1.0,179672.0,SUNEHARI BAGH BUILDERS PVT. LTD.,INR,"85,095,270",06-Nov-2020,"INR 85,095,270",545.0,Sushant Singh Negi,03-Aug-2021 05:05 PM,suneharibag.pdf (2465.00 KB),AOC,1.0,178609.0,ANS Constructions Ltd,29-Sep-2020 12:54 PM,Rejected-Finance,Second lowest bidder,09-Oct-2020 12:02 PM,MD,Internal,"DM, AE(HQ), Dy. Manager(P), EE(HQ), SE",Sushant Singh Negi,05-Oct-2020 03:05 PM,06-Oct-2020 11:00 AM,techsummary_59727.pdf (705.84 KB),Technical,Tender details,Sushant Singh Negi,05-Oct-2020 03:04 PM,technical_59727.pdf,Finance,Financial details,Sushant Singh Negi,07-Oct-2020 11:19 AM,finance_59727.pdf,BOQ Comparative Chart,AOC,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,09-Sep-2020 12:40 PM,30-Sep-2020 11:00 AM,09-Sep-2020 12:40 PM,29-Sep-2020 05:00 PM,NA ,NA ,09-Sep-2020 12:40 PM,29-Sep-2020 05:00 PM,06-Oct-2020 11:00 AM,1.0,ICICI BANK,"5,00,000",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender conditions),HP SIDC Limited,job No. 1,2020_SIDC_40473_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of New Academic Block (Block-I and Block-II) in Govt. College Una (HP).,Construction of New Academic Block (Block-I and Block-II) in Govt. College Una (HP).,Please refer Tender documents. ,NA ,"7,94,19,295",Civil Works - Buildings,NA ,Tender,120.0,545.0,Una,174303.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,Executive Engineer,HPSIDC Ltd. Shimla,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,180342.0,H. C. Bansal Engg. & Contt.,29-Sep-2020 02:37 PM,Rejected-Finance,Fourth lowest bidder,09-Oct-2020 12:02 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,179986.0,Shiv Kumar Govt Contractor,28-Sep-2020 09:10 PM,Rejected-Finance,Third lowest bidder,09-Oct-2020 12:02 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,179672.0,SUNEHARI BAGH BUILDERS PVT. LTD.,29-Sep-2020 03:27 PM,Accepted-AOC,AOC,03-Aug-2021 05:05 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,178430.0,unipro,29-Sep-2020 12:34 PM,Rejected-Finance,Fifth lowest bidder,09-Oct-2020 12:02 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed similar type of work done certificate (as per tender condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of financial Turnover (with breakup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,detail of existing commitments/ ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,detail of machineries equipments / technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
