Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
19-Aug-2021,"INR 676,084",60.0,Vijay Kumar Chauhan,24-Aug-2021 10:12 AM,Award.pdf (505.00 KB),Award letter,Vijay Kumar Chauhan,Internal,"L.R. Shandil, Head D/Man , Jia Lal, D/man",Vijay Kumar Chauhan,18-Aug-2021 12:03 PM,finsummary_74978.pdf (445.52 KB),Vijay Kumar Chauhan,Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, H.DM, Satya Pal, Supdt. Gr-II, Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,10-Aug-2021 09:47 AM,10-Aug-2021 11:00 AM,techsummary_74978.pdf (814.94 KB),PWD,2021_PWD_50103_5,PW.THD/CB-tender/2021-2764-78,Improvement of Black spot on Chailla Shalowa road km. 0.00 to 6.500,Technical,Bid Opening summary,Vijay Kumar Chauhan,30-Jul-2021 11:19 AM,technical_74978.pdf,1.0,225499.0,ankush,26-Jul-2021 04:53 PM,Rejected-Finance,Higher Bid,18-Aug-2021 12:03 PM,1.0,225637.0,Ramesh Chand Verma,INR,"605,855",Finance,Financial summary,Vijay Kumar Chauhan,11-Aug-2021 12:30 PM,finance_74978.pdf,BOQ Comparative Chart,AOC,"13,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,PW.THD/CB-tender/2021-2764-78,2021_PWD_50103_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,Improvement of Black spot on Chailla Shalowa road km. 0.00 to 6.500,Providing and fixing W beam metal crash barrier in km 0.435 to 0.600,As per SBD ,NA ,"6,73,084",Civil Works - Roads,NA ,Tender,60.0,60.0,"Theog Tehsil Theog Distt. Shimla, H.P.",171201.0,NA ,NA ,NA ,Theog Division,No ,No,20-Jul-2021 05:00 PM,29-Jul-2021 11:00 AM,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,NA ,NA ,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,10-Aug-2021 11:00 AM,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Distt. Shimla, HP",1.0,Fee/PreQual/Technical,.pdf,Copy of On line receipt/UTR No. for EMD and cost of form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,225506.0,Indu Verma,26-Jul-2021 05:26 PM,Rejected-Finance,Higher Bid,18-Aug-2021 12:03 PM,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,225664.0,MANOJ SHARMA,27-Jul-2021 01:13 PM,Rejected-Finance,Higher Bid,18-Aug-2021 12:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,226003.0,Narinder Singh,28-Jul-2021 02:39 PM,Rejected-Finance,Higher Bid,18-Aug-2021 12:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous prov. Act.1952.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,225637.0,Ramesh Chand Verma,28-Jul-2021 04:24 PM,Accepted-AOC,Awarded being L1,24-Aug-2021 10:12 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,226074.0,Sat Parkash Verma,28-Jul-2021 04:12 PM,Rejected-Technical,Technically non responsive,10-Aug-2021 09:47 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 submit the original signed by the bidder and witnesses,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,225705.0,sohan lal verma,27-Jul-2021 07:46 PM,Rejected-Finance,Higher Bid,18-Aug-2021 12:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required d as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
