Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er PP Singh,Internal,BK Goel AE Miss Purnuma Jain DA Jagdish Sharma Supdt Kali Ram HDM,Shakti Kumar Negi,13-Jul-2021 02:40 PM,finsummary_70995.pdf (504.18 KB),21-Aug-2021,"INR 880,008",90.0,Prithi Pal Singh,21-Aug-2021 03:13 PM,AOC.pdf (904.00 KB),AOC,PWD,2021_PWD_47260_1,PWD.NH.EE.CB.Tender-346-416 Dt. 28.4.2021,R.R damages on Kalka Shimla Wangtoo road NH 22 New NH 05 KM 155.00 to 236/00 SH C.O PCC R.wall at Km 165.745 to 165.765,Er PP Singh,Internal,BK Goel AE Miss Purnima Jain DA Jagdish Sharma supdt Kali Ram HDM,Prithi Pal Singh,17-Jun-2021 06:25 PM,21-Jun-2021 11:00 AM,techsummary_70995.pdf (605.37 KB),Finance,Financial,Prithi Pal Singh,02-Jul-2021 03:06 PM,finance_70995.pdf,BOQ Comparative Chart,1.0,213999.0,INDER SINGH,INR,"585,971",Technical,summary,Prithi Pal Singh,11-Jun-2021 03:57 PM,technical_70995.pdf,1.0,215356.0,ANIL SHARMA,08-Jun-2021 04:52 PM,Rejected-Finance,Non Responsive,13-Jul-2021 02:40 PM,AOC,1.0,ICICI BANK,1.0,Date Extended,Date,,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER as per SBD,"17,600",No,fixed,,Nil,Nil,PWD,PWD.NH.EE.CB.Tender-346-416 Dt. 28.4.2021,2021_PWD_47260_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,Executie Engineer,HP PWD Theog,R.R damages on Kalka Shimla Wangtoo road NH 22 New NH 05 KM 155.00 to 236/00 SH C.O PCC R.wall at Km 165.745 to 165.765,R.R damages on Kalka Shimla Wangtoo road NH 22 New NH 05 KM 155.00 to 236/00 SH C.O PCC R.wall at Km 165.745 to 165.765,Please refer Tender documents. ,NA ,"8,80,008",Civil Works - Roads,NA ,Tender,90.0,90.0,Theog,171201.0,NA ,NA ,NA ,Excutive Engineer HP PWD NH Theog Divison,No ,No,07-May-2021 05:00 PM,09-Jun-2021 11:00 AM,07-May-2021 05:00 PM,08-Jun-2021 06:00 PM,NA ,NA ,07-May-2021 05:00 PM,08-Jun-2021 06:00 PM,21-Jun-2021 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,213999.0,INDER SINGH,08-Jun-2021 09:57 AM,Accepted-AOC,Responsive,21-Aug-2021 03:13 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Earnest money deposit as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,215610.0,NARESH KUMAR CONTRACTOR,08-Jun-2021 01:26 PM,Rejected-Technical,Non Responsive,17-Jun-2021 06:25 PM,AOC,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,215636.0,RAJESH CHANDEL,08-Jun-2021 05:01 PM,Rejected-Technical,Non Responsive,17-Jun-2021 06:25 PM,AOC,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,212205.0,suresh sharma,08-Jun-2021 04:20 PM,Rejected-Finance,Non Responsive,13-Jul-2021 02:40 PM,AOC,,,,,,,,,.pdf,"List of machinery, tools and plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,214018.0,suresh sharma,07-Jun-2021 12:52 PM,Rejected-Finance,Non Responsive,13-Jul-2021 02:40 PM,AOC,,,,,,,,,.pdf,Form of Bid as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,215297.0,Suresh Vekta,07-Jun-2021 11:57 AM,Rejected-Finance,Non Responsive,13-Jul-2021 02:40 PM,AOC,,,,,,,,,.pdf,work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,212590.0,VIRENDER KUMAR,21-May-2021 12:31 PM,Rejected-Finance,Non Responsive,13-Jul-2021 02:40 PM,AOC,,,,,,,,,.pdf,Work in hand certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,EPF Number as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
