S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,1.0,Corrigendum,Other,,"1,07,000",Yes,fixed,,Nil,Nil,PWD,No.BGN/2020-21-2468-87 dated 14.06.2021Job2,2021_PWD_48972_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),"2,000",Nil,Nil,No,23-Jun-2021 11:00 AM,08-Jul-2021 11:00 AM,23-Jun-2021 11:30 AM,07-Jul-2021 06:00 PM,NA ,NA ,23-Jun-2021 11:30 AM,07-Jul-2021 06:00 PM,15-Jul-2021 10:30 AM,Microsurfacing on Una Barsar Bhota Bhambla Kalkhar Ner Chowk road Km 0/00 to 39/700,Providing and Laying Microsurfacing- type III in Km. 20/000 to 22/000 and 24/000 to 26/000 Under preventive Maintenance,Please refer Tender documents. ,NA ,"74,46,215",Civil Works - Others,NA ,Tender,120.0,30.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,AOC,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,14-Jul-2021 12:34 PM,15-Jul-2021 10:30 AM,techsummary_73377.pdf (473.77 KB),PWD,2021_PWD_48972_1,No.BGN/2020-21-2468-87 dated 14.06.2021Job2,Microsurfacing on Una Barsar Bhota Bhambla Kalkhar Ner Chowk road Km 0/00 to 39/700,21-Aug-2021,"INR 6,116,831",30.0,SHASHI PAL,21-Aug-2021 03:17 PM,AOCMicroJob2.pdf (564.00 KB),Work Awarded,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,15-Jul-2021 05:20 PM,finsummary_73377.pdf (407.45 KB),Finance,Fin. bid opened,SHASHI PAL,15-Jul-2021 05:16 PM,finance_73377.pdf,BOQ Comparative Chart,1.0,221594.0,MSC Roads and Bridges Private Limited,INR,"6,116,831",1.0,221868.0,Davinder kumar,07-Jul-2021 03:34 PM,Rejected-AOC,Higher side,21-Aug-2021 03:17 PM,Technical,Tech bid opened,SHASHI PAL,14-Jul-2021 12:29 PM,technical_73377.pdf,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,221594.0,MSC Roads and Bridges Private Limited,07-Jul-2021 01:08 PM,Accepted-AOC,Lowest,21-Aug-2021 03:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,221730.0,M/s Satish Kumar Sharma,07-Jul-2021 12:57 PM,Rejected-AOC,Higher side,21-Aug-2021 03:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,221148.0,S.S.Chauhans Construction Private Limted,07-Jul-2021 04:25 PM,Rejected-AOC,Higher side,21-Aug-2021 03:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
