Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er.S.P.Jagota,Internal,Er.VinayKumarA.E.KangraSubDivisionSh.S.K.DayalSr.DAOKangraDivisionSh.AjitKumarSupdt.KangraDivisionSh.Dinesh KumarHDMKangraDivisionSh.PrithviKumarT.A.KangraDivision,Hem Raj,14-Dec-2015 11:51 AM,14-Dec-2015 01:00 PM,techsummary_12012.pdf (170.61 KB),PWD,2015_PWD_9698_1,14325-74 dated 28-10-2015,"Repair to Principal Office at Dr. RPGMC Tanda (SH- Providing and fixing prepainted sheet roofing, facia/soffits of Gutter, Aluminium work for partitions, panting, polishing etc",1.0,32676.0,PARDEEP KUMAR,INR,"2,649,975",Technical,Opened on 7-12-2015,Hem Raj,14-Dec-2015 11:41 AM,technical_12012.pdf,1.0,32675.0,DILWAG SINGH GOVT. COT.,03-Dec-2015 06:44 PM,Rejected-Technical,Non-Responsive,14-Dec-2015 11:51 AM,Er.S.P.Jagota,Internal,Er.VinayKumarA.E.KangraSubDivisionSh.S.K.DayalSr.DAO.KangraDivisionSh.AjitKumarSupdt.KangraDivisionSh.DineshKumarHDMKangraDivisionSh.PrithviKumarT.A.KangraDivision,Jagtar Singh Thakur,12-Feb-2016 01:43 PM,finsummary_12012.pdf (104.32 KB),27-Jul-2021,"INR 2,649,975",90.0,Suresh Kumar Walia,04-Aug-2021 03:16 PM,venya.pdf (590.00 KB),Award,Finance,Opened on 14-12-2015,Jagtar Singh Thakur,12-Feb-2016 01:38 PM,finance_12012.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,12-Nov-2015 10:00 AM,07-Dec-2015 11:30 AM,12-Nov-2015 10:00 AM,07-Dec-2015 11:00 AM,12-Nov-2015 10:00 AM ,07-Dec-2015 11:00 AM ,12-Nov-2015 10:00 AM,07-Dec-2015 11:00 AM,14-Dec-2015 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,"Repair to Principal Office at Dr. RPGMC Tanda (SH- Providing and fixing prepainted sheet roofing, facia/soffits of Gutter, Aluminium work for partitions, panting, polishing etc","Repair to Principal Office at Dr. RPGMC Tanda (SH- Providing and fixing prepainted sheet roofing, facia/soffits of Gutter, Aluminium work for partitions, panting, polishing etc",Please refer Tender documents ,NA ,"22,26,152",Civil Works - Buildings,NA ,Tender,120.0,90.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,500.0,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",No,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",PWD,14325-74 dated 28-10-2015,2015_PWD_9698_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"41,000",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",AOC
,,,,,,,,,,,,,,,,,,,,,2.0,32676.0,PARDEEP KUMAR,03-Dec-2015 08:49 PM,Accepted-AOC,Award,04-Aug-2021 03:16 PM,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3.0,32751.0,PIYUSH BHARTI,06-Dec-2015 05:12 PM,Rejected-Technical,Non-Responsive,14-Dec-2015 11:51 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4.0,32674.0,Surjit Singh,03-Dec-2015 06:09 PM,Rejected-Finance,Rate quoted higher side of L1,12-Feb-2016 01:43 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Detail of Technical Manpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (Gen.Rule-19) Shown in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,List of Machinery tool plant shown in schedule-F with reference to clause-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Valid Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule-No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
