Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"Shri I.S. Uttam SE, 5th Circle",Internal,Saroj Rana Supdt G-II R. K.Chauhan CHD Suraj Parkash Sr DAO Manish Sehgal EE A.K.Kohli (AE(D) for EE(D),Manish Sehgal,13-Aug-2021 03:56 PM,finsummary_67695.pdf (491.99 KB),13-Aug-2021,"INR 53,039,238",545.0,Manish Sehgal,13-Aug-2021 03:59 PM,AOC.pdf (635.00 KB),AOC,PWD,2021_PWD_45070_1,"Panyali to Jhunga Devi Mandir via Dhalera, Kholi","Up-gradation work of link road from Panyali to Jhunga Devi Mandir via Dhalera, Kholi Bhadrol Km 0/00 to 7/00 in District Kangra (HP)",Superintending Engineer,Internal,"Superintending Engineer, Executive Engineer Bhawarna, Executive Engineer (D) Palampur, DAO, CHD, Supdt G-II (Works)",R.K Dhiman,13-May-2021 12:56 PM,17-May-2021 11:00 AM,techsummary_67695.pdf (1107.26 KB),Technical,Summary,R.K Dhiman,13-May-2021 12:50 PM,technical_67695.pdf,1.0,202443.0,M/s Kamala Enterprises,19-Mar-2021 08:27 AM,Rejected-AOC,Bid Rank-L2,13-Aug-2021 03:59 PM,1.0,204133.0,V.B Const Co.,INR,"53,039,238",Finance,Bid opening summary,Manish Sehgal,13-Aug-2021 03:55 PM,finance_67695.pdf,BOQ Comparative Chart,AOC,PWD,"Panyali to Jhunga Devi Mandir via Dhalera, Kholi",2021_PWD_45070_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,04-Mar-2021 10:00 AM,19-Mar-2021 03:00 PM,04-Mar-2021 10:05 AM,19-Mar-2021 10:30 AM,NA ,NA ,04-Mar-2021 10:30 AM,19-Mar-2021 10:30 AM,17-May-2021 11:00 AM,"Up-gradation work of link road from Panyali to Jhunga Devi Mandir via Dhalera, Kholi Bhadrol Km 0/00 to 7/00 in District Kangra (HP)","Improvement, Passing Places, R/walls, Missing C.D. work, GSB, WBM-II, WBM-III, Tarring work, C.C. Pavement, side drain, Parapets and Road side sign boards) (Under NABARD RIDF-XXVI)",Please refer Tender documents. ,NA ,"5,67,79,724",Civil Works - Roads,NA ,Tender,75.0,545.0,Bhawarna,176083.0,NA ,NA ,NA ,"O/o SE, 5th Circle Palampur",No ,No,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6.,1.0,ICICI BANK,"11,36,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,203365.0,Navneet Thakur,15-Mar-2021 04:19 PM,Rejected-AOC,Bid Rank-L3,13-Aug-2021 03:59 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form as per section 1 Point no.3.,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,204133.0,V.B Const Co.,19-Mar-2021 07:05 AM,Accepted-AOC,Bid Rank-L1,13-Aug-2021 03:59 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.1,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity as per Section-2 Cl-15.1,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Regisration as per Q.I Section 3 (1.1),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 3 (1.3.1), (1.3.3)",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 3 (1.4), (1.5)",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 3 (1.2), (1.7)",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 3 (1.6), (1.),(1.9),(1.10)",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 2 Cl (4.2.g),(4.2.h)",,,,,,,,,AOC
