Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Technical bid opening summary,Kulbir Singh Thakur,31-Mar-2021 02:38 PM,technical_67874.pdf,1.0,203615.0,Atul Sharma,15-Mar-2021 06:53 PM,Rejected-Technical,Contractor has not submit the original documents,31-Mar-2021 03:12 PM,1.0,203226.0,naresh vij govt contractor,INR,"3,447,545",Finance,Financial bid opening summary,Kulbir Singh Thakur,31-Mar-2021 07:16 PM,finance_67874.pdf,BOQ Comparative Chart,05-Aug-2021,"INR 3,447,545",30.0,Arvind Kumar,05-Aug-2021 01:05 PM,AOC.pdf (382.00 KB),Award of contract,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hamender sharma HDM and smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,05-Aug-2021 01:04 PM,finsummary_67874.pdf (24.84 KB),ER Arvind Sharma EE B and R Solan,Internal,Shri Deepak Sharma Senior DAO Solan Shri Haminder Sharma HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Kulbir Singh Thakur,31-Mar-2021 03:12 PM,31-Mar-2021 03:15 PM,techsummary_67874.pdf (53.87 KB),PWD,2021_PWD_45164_1,13709-16 dated 23.02.2021 AMP Kaithlighat Basha,AMP for the Year 2021-22 for Kaithlighat to Basha road Km0/00 to 6/00 under PMGSY,AOC,1.0,DD - Demand Draft,AMP for the Year 2021-22 for Kaithlighat to Basha road Km0/00 to 6/00 under PMGSY,SH Providing and laying renewal coat by Bituminous concrete in Km0/0 to 2/0,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,"52,600",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,06-Mar-2021 10:00 AM,17-Mar-2021 11:00 AM,06-Mar-2021 10:00 AM,17-Mar-2021 10:30 AM,NA ,NA ,06-Mar-2021 10:00 AM,17-Mar-2021 10:30 AM,31-Mar-2021 03:15 PM,Executive Engineer B and R Division HPPWD Solan,Near New Bus Stand Bye pass road Solan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F General Rule NO24.1,PWD,13709-16 dated 23.02.2021 AMP Kaithlighat Basha,2021_PWD_45164_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500",EE B and R Division HPPWD Solan,EE Solan,No,AOC
,,,,,2.0,203226.0,naresh vij govt contractor,14-Mar-2021 12:08 PM,Accepted-AOC,L1,05-Aug-2021 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registraiton reffer general rules and directions No 24.3 of SBD,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,203764.0,PIUSH VIJ,16-Mar-2021 01:18 PM,Rejected-Finance,L2,05-Aug-2021 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registraton refer general rules and Directions no 24.4 of SBD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 24.6 of SBD",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fill Form NO 8 A to F of SBD as per Directions and Rules No 24.8 and upload pdf documents,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,AOC
