Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
19-Aug-2021,"INR 547,708",60.0,Vijay Kumar Chauhan,24-Aug-2021 10:07 AM,Award.pdf (475.00 KB),Award letter,Vijay Kumar Chauhan,Internal,"Lekh Ram Shandil, Head D/man, Jjia Lal, D/man",Vijay Kumar Chauhan,18-Aug-2021 11:57 AM,finsummary_74974.pdf (373.42 KB),Vijay Kumar Chauhan,Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, HDM, Satya Pal, Supdt. Gr-II, Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,10-Aug-2021 09:42 AM,10-Aug-2021 11:00 AM,techsummary_74974.pdf (751.49 KB),PWD,2021_PWD_50103_4,PW.THD/CB-tender/2021-2764-78,Imvnt of Blaacn Chailla Mohari Narrkdd k0.00to 10.500,Technical,Bid Opening Summary,Vijay Kumar Chauhan,30-Jul-2021 11:16 AM,technical_74974.pdf,1.0,225636.0,MANOJ SHARMA,27-Jul-2021 01:15 PM,Rejected-Finance,Higher rate,18-Aug-2021 11:57 AM,Finance,Financial summary,Vijay Kumar Chauhan,11-Aug-2021 12:29 PM,finance_74974.pdf,BOQ Comparative Chart,1.0,226046.0,Sat Parkash Verma,INR,"521,921",AOC,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Distt. Shimla, HP",1.0,Fee/PreQual/Technical,.pdf,Copy of On line receipt/UTR No. for EMD and cost of form,Imvnt of Blaacn Chailla Mohari Narrkdd k0.00to 10.500,Providing and fixing W beam metal crash barrier in km 0.060 to 0.120 and 1.00 to 1.074,As per SBD ,NA ,"5,47,708",Civil Works - Roads,NA ,Tender,60.0,60.0,"Theog Tehsil Theog Distt. Shimla, H.P.",171220.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,ICICI BANK,"11,000",No,fixed,,Nil,Nil,20-Jul-2021 05:00 PM,29-Jul-2021 11:00 AM,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,NA ,NA ,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,10-Aug-2021 11:00 AM,PWD,PW.THD/CB-tender/2021-2764-78,2021_PWD_50103_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum,Other,,"3,500",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,225648.0,Ramesh Chand Verma,28-Jul-2021 04:23 PM,Rejected-Technical,Technically non responsive,10-Aug-2021 09:42 AM,,,,,,,,,,,,AOC,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,225723.0,Ramesh Kumar,27-Jul-2021 04:02 PM,Rejected-Technical,Technically non responsive,10-Aug-2021 09:42 AM,,,,,,,,,,,,AOC,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,225496.0,SANJEEV KUMAR,26-Jul-2021 04:45 PM,Rejected-Technical,Technically Non responsive,10-Aug-2021 09:42 AM,,,,,,,,,,,,AOC,,,,,.pdf,Proof of registration under EPF and Miscellaneous prov. Act.1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,226046.0,Sat Parkash Verma,28-Jul-2021 04:00 PM,Accepted-AOC,Awarded being L1,24-Aug-2021 10:07 AM,,,,,,,,,,,,AOC,,,,,.pdf,"List of Machinery, Tools and plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,226095.0,Suksham,28-Jul-2021 04:46 PM,Rejected-Finance,higher Bid,18-Aug-2021 11:57 AM,,,,,,,,,,,,AOC,,,,,.pdf,Form No-7/8 submit the original signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,All other obligatory documents required d as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
