Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
06-Jul-2020 03:00 PM,28-Jul-2020 11:00 AM,06-Jul-2020 03:00 PM,27-Jul-2020 05:00 PM,NA ,NA ,06-Jul-2020 03:00 PM,27-Jul-2020 05:00 PM,03-Sep-2020 11:00 AM,"71,500",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,1.0,ICICI BANK,HP SIDC Limited,Job No. 4,2020_SIDC_38654_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"SRMO industrial road and road side drain (metalling and tarring using cold mix technology) at I.A Bilaspur, Distt. Bilaspur (Part-II).","SRMO industrial road and road side drain (metalling and tarring using cold mix technology) at I.A Bilaspur, Distt. Bilaspur (Part-II).",Please refer Tender documents. ,NA ,"42,66,457",Civil Works - Roads,NA ,Tender,120.0,120.0,Bilaspur,174001.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,"4,500",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,Executive Engineer,HPSIDC Ltd. Shimla,1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),AOC,Finance,Financial detail,Sushant Singh Negi,08-Sep-2020 10:28 AM,finance_57087.pdf,BOQ Comparative Chart,SE,Internal,"DM, AE(HQ), EE(HQ)",Sushant Singh Negi,02-Sep-2020 04:08 PM,03-Sep-2020 11:00 AM,techsummary_57087.pdf (567.40 KB),Technical,opening summary,Sushant Singh Negi,07-Aug-2020 04:08 PM,technical_57087.pdf,1.0,169870.0,Ashutosh Kaushal,26-Jul-2020 07:51 PM,Rejected-Finance,Second lowest bidder,08-Sep-2020 10:37 AM,15-Dec-2020,"INR 5,160,616",120.0,Sushant Singh Negi,05-Aug-2021 10:17 AM,shankardas.pdf (1689.00 KB),AOC,1.0,169954.0,Shankar Dass,INR,"5,160,616",SE,Internal,"DM, AE(HQ),Dy. Manager(P), EE(HQ)",Sushant Singh Negi,08-Sep-2020 10:36 AM,finsummary_57087.pdf (463.78 KB),HP SIDC Limited,2020_SIDC_38654_1,Job No. 4,"SRMO industrial road and road side drain (metalling and tarring using cold mix technology) at I.A Bilaspur, Distt. Bilaspur (Part-II).",AOC
,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,AOC,,,,,,,,,,,,,,,,,,,2.0,169857.0,Gaurav Singh,26-Jul-2020 05:54 PM,Rejected-Finance,Third lowest bidder,08-Sep-2020 10:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,3.0,169844.0,Ravinder Kumar,26-Jul-2020 05:14 PM,Rejected-Finance,Fourth lowest bidder,08-Sep-2020 10:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each of 100.00 lac or above,AOC,,,,,,,,,,,,,,,,,,,4.0,169954.0,Shankar Dass,27-Jul-2020 04:07 PM,Accepted-AOC,AOC,05-Aug-2021 10:17 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender condition),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
